gradientDescent_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 7.0, 26, no_regularization, -0.0427144624222, 0.259407279586, 0.16466177237, 0.0182084925263, 0.228027627643, 0.0798521333338
0, 7.0, 27, no_regularization, -0.0670776903795, 0.118578786532, 0.565680357689, 0.0268029164752, 0.114419648551, 0.234250994602
0, 7.0, 28, no_regularization, -0.0470434970273, 0.267146049424, 0.17609654767, -0.0998838611349, 0.350806662977, 0.284726237202
0, 7.0, 29, no_regularization, -0.0447223030473, 0.234484120751, 0.190726360932, 0.0226614332892, 0.20810574286, 0.10889383915
0, 7.0, 30, no_regularization, -0.067054604714, 0.102861229748, 0.651893865922, 0.0278628587339, 0.110699145735, 0.251698949877
0, 7.0, 26, regularization, -0.052531082088, 0.179451685034, 0.292731060608, 0.0174522354016, 0.119017769685, 0.146635543984
0, 7.0, 27, regularization, -0.0670506454281, 0.032939687741, 2.03555801607, 0.029899483593, 0.0386617907726, 0.773360027963
0, 7.0, 28, regularization, -0.0537416651538, 0.173721111434, 0.30935598276, -0.0983327629171, 0.306773250073, 0.320538909092
0, 7.0, 29, regularization, -0.050185780556, 0.118064574978, 0.425070607041, 0.0299435116835, 0.0854158727845, 0.350561443762
0, 7.0, 30, regularization, -0.0670545484249, 0.0221279354245, 3.03031200781, 0.0315517162842, 0.00757577907289, 4.16481473135
0, 5.0, 11, no_regularization, -0.0478929447595, 0.0538682073356, 0.88907626833, 0.0223394755102, 0.0575245377107, 0.38834689333
0, 5.0, 12, no_regularization, -0.0478636416796, 0.0505922427204, 0.946066809968, 0.0229848719524, 0.0589705897041, 0.389768392477
0, 5.0, 13, no_regularization, -0.0480741487255, 0.0512084880622, 0.938792581945, 0.0225116931831, 0.0561548386325, 0.400886080902
0, 5.0, 14, no_regularization, -0.0478527969225, 0.0641977248919, 0.745397083824, 0.0237295955262, 0.0438886250669, 0.54067757853
0, 5.0, 15, no_regularization, -0.0478900736024, 0.0568784923206, 0.841971572179, 0.0235242296285, 0.068005632628, 0.34591590019
0, 5.0, 11, regularization, -0.0478970102505, 0.0114072267255, 4.19883039088, 0.0234980869292, 0.00553980586612, 4.24168057456
0, 5.0, 12, regularization, -0.0478681670329, 0.0098616638374, 4.85396458672, 0.0234013643583, 0.00589440256885, 3.9700994435
0, 5.0, 13, regularization, -0.0479021659771, 0.0106273191842, 4.50745528075, 0.023274058674, 0.00557777622604, 4.17264116214
0, 5.0, 14, regularization, -0.0478571594866, 0.0197115823506, 2.42787000228, 0.0233473097578, 0.00459841533103, 5.07725120005
0, 5.0, 15, regularization, -0.047887889555, 0.0108954606564, 4.39521476559, 0.0233986288076, 0.00604172073068, 3.87284183606
0, 0.5, 26, no_regularization, -0.00479515121336, 0.00154928956709, 3.0950645478, 0.00227705282672, 0.00482005198543, 0.472412503765
0, 0.5, 27, no_regularization, -0.00478985581452, 0.0014716098375, 3.2548408501, 0.00215411474736, 0.00495456907219, 0.43477338109
0, 0.5, 28, no_regularization, -0.00479514985256, 0.00146716428732, 3.26831145905, 0.00243383933103, 0.00487209226283, 0.499547052833
0, 0.5, 29, no_regularization, -0.00478171740304, 0.00148103973483, 3.22862195429, 0.00236575703814, 0.00483814741763, 0.48897994086
0, 0.5, 30, no_regularization, -0.00479364747355, 0.0015323446989, 3.12830884394, 0.00244347104113, 0.00504500128752, 0.484335067897
0, 0.5, 26, regularization, -0.00479466363056, 0.00158023783821, 3.0341405038, 0.00169829848372, 0.00159671800181, 1.06361829816
0, 0.5, 27, regularization, -0.00479390349284, 0.00152779001049, 3.1378026168, 0.00156342275305, 0.00165559531999, 0.944326632342
0, 0.5, 28, regularization, -0.00479515958079, 0.00153769318814, 3.11841114844, 0.00192190091899, 0.00185554571229, 1.03576048074
0, 0.5, 29, regularization, -0.00478331531311, 0.00155724029135, 3.07166166948, 0.00184834174882, 0.00175041299831, 1.05594608279
0, 0.5, 30, regularization, -0.00479559721756, 0.00153585523102, 3.122427896, 0.0019411751085, 0.00177664020923, 1.09261014043
0, 9.0, 26, no_regularization, -0.0865308150417, 0.16339306575, 0.529586825761, 0.0319292462379, 0.15986599693, 0.199725062559
0, 9.0, 27, no_regularization, 0.0184617990491, 0.582584551757, 0.031689475791, -0.0739488547427, 0.733920709756, 0.100758642943
0, 9.0, 28, no_regularization, 0.000506290482244, 0.334361607887, 0.00151420040549, -0.250223242901, 0.55521624665, 0.450677090973
0, 9.0, 29, no_regularization, 0.00359881060532, 0.480909673074, 0.00748334002581, -0.273959441532, 0.73535297996, 0.372555016431
0, 9.0, 30, no_regularization, -0.0634008765471, 0.429515167106, 0.147610332307, -0.0988720256295, 0.51571874924, 0.191716949937
0, 9.0, 26, regularization, -0.0865198361355, 0.059477238047, 1.45467138315, 0.0360786159324, 0.0663263684605, 0.543955846971
0, 9.0, 27, regularization, 0.0176368773655, 0.486143755935, 0.0362791399668, -0.0667445902878, 0.688414451286, 0.0969540807331
0, 9.0, 28, regularization, -0.00247969461057, 0.2324373824, 0.0106682263626, -0.249478449852, 0.516716993176, 0.482814486744
0, 9.0, 29, regularization, 0.00562869145864, 0.387965661926, 0.0145082207294, -0.268176163693, 0.725318590035, 0.369735682192
0, 9.0, 30, regularization, -0.0600891416991, 0.360700763478, 0.16659000419, -0.0882364230343, 0.455512329987, 0.193708089168
0, 7.0, 16, no_regularization, -0.0671367871576, 0.0923287582885, 0.727149247993, 0.0275090384951, 0.106271347357, 0.258856589093
