cosine_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 3.0, 21, no_regularization, -0.0287171939341, 0.0100692673554, 2.85196458892, 0.0151515445981, 0.0145510060426, 1.04127127387
0, 3.0, 22, no_regularization, -0.0287406104873, 0.0126456034116, 2.27277493622, 0.0150490421662, 0.0168351884995, 0.893903989646
0, 3.0, 23, no_regularization, -0.0287475626259, 0.0219139125418, 1.31184071174, 0.0155714263344, 0.0156406700997, 0.995572838959
0, 3.0, 24, no_regularization, -0.0287398553449, 0.021857509026, 1.31487331473, 0.015487276458, 0.0235537520782, 0.65752905977
0, 3.0, 25, no_regularization, -0.0288162620347, 0.0120047488248, 2.40040524422, 0.0153114965894, 0.0167606619195, 0.913537702921
0, 3.0, 21, regularization, -0.0287503934849, 0.00761904437172, 3.7734907532, 0.0146757014297, 0.0119447466223, 1.22863229282
0, 3.0, 22, regularization, -0.028740390451, 0.00763312387352, 3.76521997117, 0.0149973175519, 0.0117987296183, 1.27109596008
0, 3.0, 23, regularization, -0.0287501444215, 0.00759205189806, 3.78687406349, 0.0151001123103, 0.0118043375545, 1.27920031434
0, 3.0, 24, regularization, -0.0287089715299, 0.00750339673394, 3.82613002456, 0.0149925249637, 0.0119095070147, 1.25887032479
0, 3.0, 25, regularization, -0.0288127511865, 0.00760122302431, 3.79054148186, 0.0148228939757, 0.0119850261673, 1.23678444826
0, 5.0, 6, no_regularization, -0.0478664240574, 0.0442408135027, 1.08195171534, 0.0239633552992, 0.0509924521372, 0.469939261494
0, 5.0, 7, no_regularization, -0.0479150798939, 0.0461793961579, 1.03758567414, 0.0243898628806, 0.0609640207395, 0.400069788456
0, 5.0, 8, no_regularization, -0.0478323427591, 0.0384488163707, 1.24405241238, 0.0233640326669, 0.0636399963617, 0.367128127005
0, 5.0, 9, no_regularization, -0.0479067590135, 0.0418764112876, 1.14400345064, 0.0229750157796, 0.0609225114398, 0.377118658385
0, 5.0, 10, no_regularization, -0.047846797665, 0.0651992012016, 0.733855580793, 0.0244100311373, 0.0571025669972, 0.427476949302
0, 5.0, 6, regularization, -0.047866847979, 0.0105971725534, 4.51694522646, 0.0231327002271, 0.00949549528139, 2.43617626481
0, 5.0, 7, regularization, -0.047892348195, 0.0114076309853, 4.19827291546, 0.0233003129508, 0.00871179171328, 2.6745718582
0, 5.0, 8, regularization, -0.0478690385586, 0.0105073140975, 4.5557825829, 0.0231510736044, 0.0100759951197, 2.29764636934
0, 5.0, 9, regularization, -0.0478686368687, 0.0118992151734, 4.02283984038, 0.0230251230652, 0.00948265171506, 2.42813126086
0, 5.0, 10, regularization, -0.047806598128, 0.0109616600805, 4.36125530047, 0.0232211408785, 0.0104636359468, 2.21922293518
0, 1.0, 26, no_regularization, -0.00958476646236, 0.00534274864931, 1.79397667596, 0.00525244441092, 0.0114886424672, 0.457185818595
0, 1.0, 27, no_regularization, -0.00958162889612, 0.00531793506304, 1.80175740819, 0.00499451931486, 0.0117073395042, 0.42661437409
0, 1.0, 28, no_regularization, -0.0096441181826, 0.00530150151166, 1.81912957327, 0.00522313215344, 0.0107792997967, 0.484552081485
0, 1.0, 29, no_regularization, -0.00958607009033, 0.00541716059334, 1.76957465542, 0.005181528958, 0.0118400039242, 0.43762898992
0, 1.0, 30, no_regularization, -0.00951611452237, 0.00537823933209, 1.76937356908, 0.00529505436595, 0.0114989885192, 0.460480011532
0, 1.0, 26, regularization, -0.00957535907838, 0.00526843930748, 1.81749442663, 0.00547905618125, 0.00925635660294, 0.591923627868
0, 1.0, 27, regularization, -0.00958283819137, 0.00515567452874, 1.85869727384, 0.00527825704412, 0.00905029480421, 0.583213824335
0, 1.0, 28, regularization, -0.00964542146402, 0.00513846854605, 1.87710041963, 0.00560138533126, 0.00917241663146, 0.610677159174
0, 1.0, 29, regularization, -0.0095864631354, 0.00515691976187, 1.85895138534, 0.0057488196219, 0.00944636443795, 0.608574828936
0, 1.0, 30, regularization, -0.00951550098693, 0.00517605065748, 1.83837091571, 0.00554430458741, 0.0091849747081, 0.603627637921
0, 1.0, 21, no_regularization, -0.00958713601008, 0.00538438089177, 1.78054565656, 0.00538788657637, 0.0109656847795, 0.491340639888
0, 1.0, 22, no_regularization, -0.009573383723, 0.0053917807702, 1.7755513681, 0.00522769813718, 0.0113533312999, 0.460454997664
0, 1.0, 23, no_regularization, -0.00959801158156, 0.00539106018517, 1.78035697097, 0.00516549719065, 0.0111705753589, 0.462419976113
0, 1.0, 24, no_regularization, -0.00957126156514, 0.00537530246606, 1.78059962683, 0.00517877696614, 0.0120464027509, 0.429902359505
0, 1.0, 25, no_regularization, -0.00963874012372, 0.00519999275812, 1.85360645141, 0.00532291117337, 0.0106252279062, 0.500969129354
0, 1.0, 21, regularization, -0.00959068949854, 0.00518146182631, 1.85096210684, 0.00570579306427, 0.00940344155326, 0.606777107292
0, 1.0, 22, regularization, -0.00956939317728, 0.00518249872942, 1.84648249366, 0.00562253886132, 0.00917918760969, 0.612531206507
0, 1.0, 23, regularization, -0.0095950401021, 0.00521025800332, 1.84156717306, 0.00566355656922, 0.00942054032419, 0.601192328074
0, 1.0, 24, regularization, -0.00957482198139, 0.00522952602803, 1.83091582871, 0.0055348298047, 0.00909510767897, 0.60855022283
0, 1.0, 25, regularization, -0.00964297587396, 0.00504709202801, 1.91060036561, 0.00580225722554, 0.00949413454667, 0.611141246947
