noInterp_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 1.0, 11, no_regularization, -0.00958333333333, 0.0102482310471, 0.935120733451, 0.00527839369303, 0.014036072762, 0.376059157183
0, 1.0, 12, no_regularization, -0.00969173441734, 0.00716454794515, 1.35273495153, 0.00554939640305, 0.0149832403484, 0.37037358235
0, 1.0, 13, no_regularization, -0.00964092140921, 0.007210866733, 1.336998972, 0.00543853165804, 0.013762397706, 0.395173266624
0, 1.0, 14, no_regularization, -0.00961043360434, 0.00733920632658, 1.30946497165, 0.00558635131806, 0.0145402812707, 0.384198298097
0, 1.0, 15, no_regularization, -0.00961382113821, 0.00725189259412, 1.32569822476, 0.00543237250554, 0.0145464863424, 0.373449118753
0, 1.0, 11, regularization, -0.00963075880759, 0.0072435111528, 1.32957050862, 0.00586967233309, 0.0121162732603, 0.484445357661
0, 1.0, 12, regularization, -0.00966463414634, 0.00730927154585, 1.32224313815, 0.00615299334812, 0.0123303876912, 0.499010534154
0, 1.0, 13, regularization, -0.00962059620596, 0.00721844697021, 1.33277923155, 0.00607292436561, 0.0122228029979, 0.496852020493
0, 1.0, 14, regularization, -0.00961043360434, 0.00738337892059, 1.30163082617, 0.0059928553831, 0.0122212827525, 0.490362223384
0, 1.0, 15, regularization, -0.00956300813008, 0.00731646235007, 1.30705355574, 0.00579576250308, 0.0121326134794, 0.477701075115
0, 1.0, 16, no_regularization, -0.00962059620596, 0.00731088635951, 1.31592747211, 0.00540773589554, 0.0144671099458, 0.37379517511
0, 1.0, 17, no_regularization, -0.00966124661247, 0.00724627167602, 1.33327137657, 0.00565410199557, 0.0142467146844, 0.396870585311
0, 1.0, 18, no_regularization, -0.00961043360434, 0.00725687563145, 1.32432111179, 0.00530918945553, 0.014717940116, 0.360729111119
0, 1.0, 19, no_regularization, -0.00958672086721, 0.00738122562132, 1.29879797191, 0.00533998521803, 0.0142688607988, 0.374240473247
0, 1.0, 20, no_regularization, -0.00959010840108, 0.00738400003773, 1.29876873674, 0.00553707809805, 0.0140677343945, 0.393601268176
0, 1.0, 16, regularization, -0.00961382113821, 0.0072917482413, 1.31845214893, 0.0059928553831, 0.012167626613, 0.492524596104
0, 1.0, 17, regularization, -0.00964430894309, 0.00722543069073, 1.33477288149, 0.00613451589061, 0.0122893190193, 0.499174598771
0, 1.0, 18, regularization, -0.00958333333333, 0.00724698384725, 1.32238922224, 0.00569105691057, 0.0119819782204, 0.474968056684
0, 1.0, 19, regularization, -0.00959349593496, 0.00742304732124, 1.29239320724, 0.00580192165558, 0.0122131809141, 0.47505409904
0, 1.0, 20, regularization, -0.00956639566396, 0.00735972357171, 1.29983083885, 0.0059928553831, 0.0122212827525, 0.490362223384
0, 1.0, 1, no_regularization, -0.00963753387534, 0.00724521994551, 1.33019203666, 0.00554939640305, 0.0135810358062, 0.408613634647
0, 1.0, 2, no_regularization, -0.00962059620596, 0.00724776572749, 1.32738785547, 0.00572185267307, 0.0146206742263, 0.391353543928
0, 1.0, 3, no_regularization, -0.0095460704607, 0.00733424788287, 1.30157455995, 0.00558635131806, 0.014538674052, 0.38424077038
0, 1.0, 4, no_regularization, -0.00961043360434, 0.0072675827322, 1.3223700312, 0.00554323725055, 0.015343796781, 0.361268943383
0, 1.0, 5, no_regularization, -0.00959010840108, 0.00722725031467, 1.32693735287, 0.00554939640305, 0.0140412531805, 0.395220877491
0, 1.0, 1, regularization, -0.00961382113821, 0.00725189259412, 1.32569822476, 0.0060482877556, 0.0122541171638, 0.493571888923
0, 1.0, 2, regularization, -0.00963414634146, 0.00721993085965, 1.33438207772, 0.00607908351811, 0.012325413035, 0.493215399829
0, 1.0, 3, regularization, -0.00949864498645, 0.00736885416691, 1.2890260509, 0.00610372012811, 0.0123094151847, 0.495857848366
0, 1.0, 4, regularization, -0.00959010840108, 0.00724385865583, 1.32389502014, 0.00606060606061, 0.0122308363296, 0.495518531789
0, 1.0, 5, regularization, -0.00961720867209, 0.00717534476194, 1.34031311263, 0.00607908351811, 0.0122187796869, 0.497519692955
0, 1.0, 6, no_regularization, -0.00968834688347, 0.00720503514039, 1.34466337703, 0.00545084996305, 0.0148094779048, 0.368064964753
0, 1.0, 7, no_regularization, -0.00956300813008, 0.00716020860723, 1.33557674848, 0.00569721606307, 0.0143415519796, 0.397252408329
0, 1.0, 8, no_regularization, -0.00962059620596, 0.00723312120396, 1.33007534848, 0.00533998521803, 0.0143113776674, 0.373128663232
0, 1.0, 9, no_regularization, -0.00963753387534, 0.00727637401891, 1.32449676862, 0.00548164572555, 0.0143156967274, 0.382911557148
0, 1.0, 10, no_regularization, -0.00960704607046, 0.00720223008557, 1.33389880028, 0.00545084996305, 0.0142792743716, 0.381731579715
0, 1.0, 6, regularization, -0.00969512195122, 0.00717721231652, 1.35082000137, 0.00605444690811, 0.012234846359, 0.494852712526
0, 1.0, 7, regularization, -0.00961720867209, 0.00715067336948, 1.34493748703, 0.00582039911308, 0.0120628178175, 0.482507420831
0, 1.0, 8, regularization, -0.00960027100271, 0.00724940216929, 1.32428451044, 0.00550012318305, 0.0120078777512, 0.458042902917
0, 1.0, 9, regularization, -0.00967140921409, 0.00724488678637, 1.33492896429, 0.00575264843558, 0.0120517785872, 0.477327756559
0, 1.0, 10, regularization, -0.00961043360434, 0.00722759382862, 1.32968645337, 0.0060236511456, 0.0123081063036, 0.489405193376
