parabolic_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 11.0, 21, no_regularization, 0.00650914609288, 0.376742380787, 0.017277445875, 0.0277736098665, 0.350481507666, 0.0792441519994
0, 11.0, 22, no_regularization, -0.00870643498231, 0.496129629434, 0.0175487099858, -0.0889342503935, 0.704557114014, 0.126227169699
0, 11.0, 23, no_regularization, -0.0162786153506, 0.466416942235, 0.0349014237616, -0.0254856783055, 0.648307800732, 0.0393110776652
0, 11.0, 24, no_regularization, 0.00300431965624, 0.70732521396, 0.00424743752512, -0.0210806886571, 0.690620425483, 0.0305242762584
0, 11.0, 25, no_regularization, -0.0240552499122, 0.589035855452, 0.0408383457297, -0.0430647516263, 0.683097229245, 0.0630433703763
0, 11.0, 21, regularization, 0.00219447527547, 0.273563027423, 0.00802182698495, 0.0383534862478, 0.317489744487, 0.120802283896
0, 11.0, 22, regularization, -0.0112875345631, 0.389340982553, 0.0289913856206, -0.0820851118141, 0.68336300876, 0.120119337397
0, 11.0, 23, regularization, -0.0164228368429, 0.34369091086, 0.0477837391793, -0.0235793918158, 0.601414912216, 0.0392065300293
0, 11.0, 24, regularization, 0.00206909601748, 0.628983857773, 0.00328958524438, -0.0026081115249, 0.631361099197, 0.00413093478236
0, 11.0, 25, regularization, -0.0255465657597, 0.52209875478, 0.0489305242079, -0.0305125394992, 0.642127798328, 0.0475178610529
0, 5.0, 26, no_regularization, -0.0478789302701, 0.0460991532662, 1.03860758556, 0.0236691570743, 0.0625058072658, 0.378671328468
0, 5.0, 27, no_regularization, -0.0478972149074, 0.049622517734, 0.965231453273, 0.0236972535323, 0.0445415002642, 0.532026388688
0, 5.0, 28, no_regularization, -0.0478989052809, 0.0562494985414, 0.851543685239, 0.0240468556574, 0.0459901111556, 0.522870135627
0, 5.0, 29, no_regularization, -0.0479207286634, 0.0448172370068, 1.06924772395, 0.0236022648902, 0.0660324827939, 0.357434158032
0, 5.0, 30, no_regularization, -0.0478880129579, 0.0356463438184, 1.34342004897, 0.0229528427522, 0.0510261016676, 0.449825520705
0, 5.0, 26, regularization, -0.0478913594707, 0.0103285213001, 4.63680696193, 0.0233185909856, 0.00649965336126, 3.58766686306
0, 5.0, 27, regularization, -0.0479048481121, 0.009196986614, 5.20875479358, 0.0234113509953, 0.00510760995344, 4.58362153898
0, 5.0, 28, regularization, -0.0479035211922, 0.00945119437411, 5.0685150782, 0.023828929272, 0.00652286123972, 3.65314060752
0, 5.0, 29, regularization, -0.0479059984169, 0.0114146461785, 4.19688859978, 0.023343356997, 0.00528850325128, 4.41398178046
0, 5.0, 30, regularization, -0.0478814788625, 0.00954620398998, 5.01576112482, 0.0234542614213, 0.0049401597507, 4.74767266746
0, 1.0, 16, no_regularization, -0.00960244940717, 0.00258670983873, 3.71222518405, 0.00460046924243, 0.00755841365785, 0.608655393933
0, 1.0, 17, no_regularization, -0.00960333294397, 0.00252374442349, 3.80519233825, 0.00476915198048, 0.00756597301019, 0.630342187854
0, 1.0, 18, no_regularization, -0.009584041662, 0.00258500012335, 3.70755946023, 0.00478055641939, 0.00771328716358, 0.619781983738
0, 1.0, 19, no_regularization, -0.00957374569294, 0.00252386347952, 3.79328983941, 0.00454537420351, 0.00755110080008, 0.601948553444
