sinc_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 1.0, 16, no_regularization, -0.00958594153602, 0.00244010752671, 3.92849144192, 0.00439996266184, 0.00569779726258, 0.772221695345
0, 1.0, 17, no_regularization, -0.00960607659245, 0.00239973568631, 4.00297276372, 0.00454301609977, 0.00567478027528, 0.800562467511
0, 1.0, 18, no_regularization, -0.00958755561527, 0.00240509947731, 3.98634472533, 0.00460448435775, 0.00595936818252, 0.772646397525
0, 1.0, 19, no_regularization, -0.00956339543859, 0.00239174696706, 3.99849798925, 0.0043750101659, 0.005611342301, 0.779672657845
0, 1.0, 20, no_regularization, -0.0095863225573, 0.00247449169597, 3.87405727525, 0.00450042626807, 0.00555648970721, 0.809940538939
0, 1.0, 16, regularization, -0.00959064031519, 0.00233466534251, 4.10792936382, 0.00473670942328, 0.0033475263283, 1.41498795192
0, 1.0, 17, regularization, -0.00961177972462, 0.00233625242471, 4.11418715844, 0.00496910020828, 0.00346108105456, 1.43570755205
0, 1.0, 18, regularization, -0.00959609276796, 0.00228629405724, 4.19722595944, 0.00490488931698, 0.00320334766832, 1.53117607729
0, 1.0, 19, regularization, -0.00957770118926, 0.0023264807629, 4.11681942185, 0.00472021214015, 0.00336832609751, 1.40135248296
0, 1.0, 20, regularization, -0.00959058760446, 0.00233100015704, 4.1143659195, 0.00494861484802, 0.00352542195465, 1.40369434118
0, 1.0, 26, no_regularization, -0.00958534864571, 0.00248249313262, 3.86117831294, 0.00452745826086, 0.00580326952132, 0.780156469424
0, 1.0, 27, no_regularization, -0.00959558686924, 0.00233506850928, 4.10933847598, 0.00437946957532, 0.00575394985668, 0.761124042511
0, 1.0, 28, no_regularization, -0.00959379677192, 0.00235645673782, 4.07128067234, 0.00456858888686, 0.00540295155091, 0.845572802905
0, 1.0, 29, no_regularization, -0.00956568699642, 0.00234699462501, 4.07571747054, 0.00452703618241, 0.00598571966228, 0.756306081446
0, 1.0, 30, no_regularization, -0.00956478675375, 0.00237875724504, 4.02091754999, 0.00466209249328, 0.00555922426711, 0.83862284903
0, 1.0, 26, regularization, -0.00958759446316, 0.00239135763586, 4.0092683417, 0.00488144274487, 0.00356974406112, 1.36744894348
0, 1.0, 27, regularization, -0.00959670088967, 0.00228982530862, 4.191018788, 0.00474257946055, 0.00357872940852, 1.32521320256
0, 1.0, 28, regularization, -0.00960780164554, 0.00230877548075, 4.16142744309, 0.00489275592889, 0.00340629757302, 1.4363853492
0, 1.0, 29, regularization, -0.00957193423455, 0.00224670552473, 4.26043116429, 0.00491992387289, 0.00381451270007, 1.28979092737
0, 1.0, 30, regularization, -0.00956614621227, 0.00231649336548, 4.12958066482, 0.00491907293739, 0.00329015115329, 1.49509025823
0, 1.0, 1, no_regularization, -0.00957779785094, 0.00231869404603, 4.13068635224, 0.00451853754856, 0.00571701909232, 0.790366006408
0, 1.0, 2, no_regularization, -0.00958281547002, 0.00235476959764, 4.06953422518, 0.00469168984191, 0.00543787718054, 0.862779663118
0, 1.0, 3, no_regularization, -0.00957693687178, 0.00231107687108, 4.14392830962, 0.00464489205794, 0.00570851931501, 0.813677207979
0, 1.0, 4, no_regularization, -0.0095931989409, 0.00246973733074, 3.88429928216, 0.00444067816864, 0.00586615202812, 0.757000184679
0, 1.0, 5, no_regularization, -0.00959639948075, 0.00245124160058, 3.9149137639, 0.00447472930071, 0.00561934444791, 0.796308064435
0, 1.0, 1, regularization, -0.00958198435711, 0.00229726607832, 4.17103810809, 0.0049047092765, 0.00348316063181, 1.40812032374
0, 1.0, 2, regularization, -0.00958787905737, 0.00228157424011, 4.20230860289, 0.00501192160538, 0.00338629488434, 1.48006059028
0, 1.0, 3, regularization, -0.009574298268, 0.00223772400863, 4.27858763237, 0.00498440585006, 0.00358559485917, 1.39011964425
0, 1.0, 4, regularization, -0.00957992767883, 0.00227883698948, 4.2038670265, 0.00483534460205, 0.00335440207883, 1.44149225061
0, 1.0, 5, regularization, -0.00959917727709, 0.00233884882886, 4.10423160258, 0.00487382738638, 0.00316122031708, 1.54175504948
0, 5.0, 16, no_regularization, -0.0479028320799, 0.0545540988677, 0.87807943077, 0.0246997128987, 0.0617776448621, 0.399816356771
0, 5.0, 17, no_regularization, -0.0478792558718, 0.0506514323034, 0.945269535224, 0.0244993633143, 0.0519188162782, 0.471878310611
0, 5.0, 18, no_regularization, -0.0478938160473, 0.0557214488813, 0.859522087254, 0.0242497116503, 0.067501439084, 0.359247328343
0, 5.0, 19, no_regularization, -0.0479029134717, 0.0407198874631, 1.17640092977, 0.0234345000549, 0.0599446253927, 0.390935799521
0, 5.0, 20, no_regularization, -0.047937047889, 0.0448540588852, 1.06873377974, 0.0236911214876, 0.0670004631896, 0.353596383663
0, 5.0, 16, regularization, -0.0478971333588, 0.0100381004659, 4.77153357067, 0.0232380553392, 0.00531572259566, 4.37157035963
0, 5.0, 17, regularization, -0.0478798871405, 0.00997465993757, 4.80015233002, 0.0235477944444, 0.0051929288058, 4.53458834601
0, 5.0, 18, regularization, -0.0478948402646, 0.0104016797766, 4.60452939268, 0.023389249526, 0.00564986904461, 4.13978613332
0, 5.0, 19, regularization, -0.0478983756107, 0.0103353677863, 4.63441423672, 0.0233449836554, 0.00583953301423, 3.99774838134
0, 5.0, 20, regularization, -0.0479149688922, 0.0103565496486, 4.62653784492, 0.0233952337448, 0.00573303595437, 4.08077568867
