axialBottomFactor, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0.9, 9.0, 6, no_regularization, 0.00143017250925, 0.395949462735, 0.00361200770264, -0.0404967854276, 0.836680595592, 0.048401726586
0.9, 9.0, 7, no_regularization, -0.00521503790857, 0.367530120838, 0.0141894163577, -0.0348534132375, 0.590243790487, 0.0590491823874
0.9, 9.0, 8, no_regularization, 0.00162669894504, 0.325489058195, 0.00499770700146, -0.0816827105901, 0.639404725207, 0.127748055918
0.9, 9.0, 9, no_regularization, -0.0388530016495, 0.46943352125, 0.0827657163171, 0.00438268546915, 0.622065938848, 0.00704537123069
0.9, 9.0, 10, no_regularization, 0.00185777447862, 0.400174760051, 0.00464240792793, 0.0299401924758, 0.65314851475, 0.0458397926347
0.9, 9.0, 6, regularization, 0.0320078101706, 0.366387884161, 0.0873604492788, 0.0266961764595, 0.633557253053, 0.0421369597315
0.9, 9.0, 7, regularization, 0.0150199307015, 0.270546671565, 0.0555169672375, -0.0356421361362, 0.512218012662, 0.0695839178926
0.9, 9.0, 8, regularization, -0.000319469116574, 0.244367232182, 0.00130733205808, -0.0812400819881, 0.31099664278, 0.261224948482
0.9, 9.0, 9, regularization, -0.066713415339, 0.227507727392, 0.293235821498, -0.0141679552841, 0.297337360186, 0.0476494284985
0.9, 9.0, 10, regularization, 0.0020689463704, 0.290887058159, 0.00711254183496, 0.030674130971, 0.635437009226, 0.0482724967631
0.8, 5.0, 6, no_regularization, -0.0439922310698, 0.326790856278, 0.134618916731, 0.000270282593419, 0.277062102366, 0.000975530724377
0.8, 5.0, 7, no_regularization, -0.0482667131439, 0.324984641623, 0.148519982061, 0.000973304917986, 0.292733302318, 0.00332488620283
0.8, 5.0, 8, no_regularization, -0.0572145481271, 0.337853032193, 0.169347446006, -0.000986271508076, 0.280303175497, 0.00351858842244
0.8, 5.0, 9, no_regularization, -0.0545314513917, 0.329165778198, 0.165665615941, 0.00697558416669, 0.301712772658, 0.0231199498292
0.8, 5.0, 10, no_regularization, -0.0253414921645, 0.335579355832, 0.0755156469673, 0.00410282182282, 0.295692623795, 0.0138752931005
0.8, 5.0, 6, regularization, -0.0320011139864, 0.245734749918, 0.130226245971, -0.00554667530726, 0.24086571194, 0.0230280817581
0.8, 5.0, 7, regularization, -0.0149829709468, 0.269464003981, 0.0556028661545, 0.00432954274985, 0.266883010742, 0.0162226240547
0.8, 5.0, 8, regularization, -0.0574109467554, 0.23080371884, 0.248743594964, 0.000728224886025, 0.253623069389, 0.00287128804087
0.8, 5.0, 9, regularization, -0.0607437684329, 0.249615306325, 0.243349533838, 0.00336372283952, 0.266397756098, 0.0126266935908
0.8, 5.0, 10, regularization, -0.0610718596258, 0.24328155061, 0.251033666436, 0.00682670676428, 0.266834780164, 0.0255840215435
0.9, 1.0, 6, no_regularization, -0.0142960198943, 0.253026595698, 0.0565000681247, -0.0145216706472, 0.288661510882, 0.0503069169245
0.9, 1.0, 7, no_regularization, -0.00851465863934, 0.258056154925, 0.0329953712665, -0.0158614457254, 0.298796042011, 0.0530845242082
0.9, 1.0, 8, no_regularization, -0.0135832012945, 0.254059696182, 0.0534646049671, -0.0111326792335, 0.286524679422, 0.038854172199
0.9, 1.0, 9, no_regularization, -0.0154210588365, 0.258319325467, 0.0596976583483, -0.0168090608955, 0.295680617784, 0.0568487073029
0.9, 1.0, 10, no_regularization, -0.0142136392503, 0.238035344773, 0.0597123055985, -0.0106173450716, 0.300416702237, 0.0353420598541
0.9, 1.0, 6, regularization, -0.012400376585, 0.0169814185594, 0.730232079357, -0.0131599230732, 0.138134637081, 0.0952688141897
0.9, 1.0, 7, regularization, -0.0127650107816, 0.0171243842935, 0.745428890338, -0.0100559444613, 0.142381739566, 0.0706266442026
0.9, 1.0, 8, regularization, -0.0116807608866, 0.0108670809534, 1.07487566686, -0.0112876682855, 0.141869392856, 0.0795638020171
0.9, 1.0, 9, regularization, -0.0117381113614, 0.0198290022558, 0.591966817593, -0.010848362915, 0.134382646432, 0.0807274094016
0.9, 1.0, 10, regularization, -0.0119028879133, 0.0148368543512, 0.802251449775, -0.00978357285797, 0.140906613629, 0.06943302806
