lateralTopFactor, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
3, 1.0, 6, no_regularization, -0.012521502294, 0.000795650577008, 15.7374388404, 0.00630712149168, 0.0065397570333, 0.964427494716
3, 1.0, 7, no_regularization, -0.0123162811559, 0.00124302824967, 9.90828740956, -0.0016056444838, 0.0535313707319, 0.0299944586108
3, 1.0, 8, no_regularization, -0.0120944055874, 0.00117544666153, 10.2891998278, 0.00576511889769, 0.00555023021521, 1.03871707554
3, 1.0, 9, no_regularization, -0.0119265194539, 0.000773249994245, 15.4238856032, 0.00600774682603, 0.00449829400209, 1.33556117569
3, 1.0, 10, no_regularization, -0.0120745909038, 0.00154416196146, 7.81951065057, 0.00617958334477, 0.00673790061004, 0.917137800395
3, 1.0, 6, regularization, -0.0124816696676, 0.00100139603487, 12.4642691134, 0.00568257337134, 0.00284485173671, 1.99749368236
3, 1.0, 7, regularization, -0.0123194837823, 0.00123836751539, 9.94816452236, 0.00604382653391, 0.00252775549257, 2.39098542231
3, 1.0, 8, regularization, -0.0120811409545, 0.00121904211078, 9.91035571918, 0.0056791468959, 0.00253750646505, 2.23808174447
3, 1.0, 9, regularization, -0.0119531454961, 0.00104222772034, 11.4688424255, 0.00588134735431, 0.00206062642563, 2.8541550672
3, 1.0, 10, regularization, -0.0120878260387, 0.00136996640024, 8.82344708354, 0.00588125728995, 0.00251104412003, 2.34215609477
2, 7.0, 6, no_regularization, 0.00124488525321, 0.501592127843, 0.00248186760539, 0.00885106511486, 0.318933943817, 0.027752032314
2, 7.0, 7, no_regularization, -0.00511471605045, 0.65093198947, 0.00785752756538, -0.0738594437269, 0.557007979592, 0.132600333268
2, 7.0, 8, no_regularization, 0.0242200132152, 0.645208515452, 0.0375382727214, -0.00587497228516, 0.604609853411, 0.00971696417453
2, 7.0, 9, no_regularization, -0.0337412749374, 0.695730675202, 0.0484976099804, -0.00222713987751, 0.652488951135, 0.00341329898941
2, 7.0, 10, no_regularization, -0.0134667960135, 0.590304558761, 0.0228133017331, -0.00635042603316, 0.387196500341, 0.0164010419195
2, 7.0, 6, regularization, -0.0640813818626, 0.230109775189, 0.278481789006, 0.0206611237058, 0.209334858031, 0.098698916655
2, 7.0, 7, regularization, -0.00553599495038, 0.502887584232, 0.0110084144528, -0.0734722557068, 0.509780174575, 0.144125368877
2, 7.0, 8, regularization, 0.035144969457, 0.426221953278, 0.0824569668144, -0.00851433685102, 0.51686366039, 0.016473080821
2, 7.0, 9, regularization, -0.0221885274594, 0.507341605545, 0.0437348863505, 0.00361481698207, 0.634509273088, 0.00569702782195
2, 7.0, 10, regularization, 0.0364786757843, 0.376127256853, 0.0969849302852, -0.0158625266038, 0.351215882473, 0.0451646050064
3, 5.0, 6, no_regularization, -0.0390633234249, 0.161785731396, 0.241450980182, 0.0122061253657, 0.115731312923, 0.105469514321
3, 5.0, 7, no_regularization, -0.0486323539524, 0.195505346194, 0.248752041309, 0.00841518789467, 0.114928233825, 0.0732212408959
3, 5.0, 8, no_regularization, -0.0557475842721, 0.0363827805956, 1.53225188838, 0.0142638754872, 0.0883312075168, 0.161481721899
3, 5.0, 9, no_regularization, -0.0563939368261, 0.00239312991662, 23.5649291057, 0.0154224408074, 0.0783941188995, 0.196729563696
3, 5.0, 10, no_regularization, -0.0582540653751, 0.25303973549, 0.230217065562, 0.0171167919874, 0.133807768432, 0.127920764153
3, 5.0, 6, regularization, -0.0461800242171, 0.116389843054, 0.396770225008, 0.0191625879118, 0.0837083434722, 0.228920883116
3, 5.0, 7, regularization, -0.046212866469, 0.114443931718, 0.403803554939, 0.0201696461556, 0.0771880581212, 0.261305267247
3, 5.0, 8, regularization, -0.0555279317773, 0.00483864695109, 11.4759213347, 0.028606679243, 0.00737681347945, 3.87791819905
3, 5.0, 9, regularization, -0.056401585303, 0.00200744870138, 28.0961527257, 0.0290230513146, 0.0067094592748, 4.32569155365
3, 5.0, 10, regularization, -0.0558489900534, 0.00424005378426, 13.171764533, 0.0291249824376, 0.00965418176716, 3.01682557259
2, 11.0, 6, no_regularization, 0.00961762516334, 0.695471693238, 0.0138289239618, -0.0464842750431, 0.772054375836, 0.0602085507161
2, 11.0, 7, no_regularization, 0.0257307601453, 0.607731536073, 0.0423390240888, -0.000368136219552, 0.505967667426, 0.000727588427587
2, 11.0, 8, no_regularization, -0.0169448450254, 0.614310836976, 0.027583503343, -0.0707984930262, 0.469505542359, 0.150793732211
2, 11.0, 9, no_regularization, 0.0475146166574, 0.64503133469, 0.0736624937456, -0.0509740546747, 0.564540519349, 0.0902929956799
2, 11.0, 10, no_regularization, -0.0235152134209, 0.63084563545, 0.0372757012167, 0.00623133887631, 0.548605155487, 0.0113585131565
2, 11.0, 6, regularization, -0.00300624929007, 0.395426253305, 0.00760255361131, -0.0108200076385, 0.635650212868, 0.017021952356
2, 11.0, 7, regularization, 0.00564748929602, 0.514185183488, 0.0109833761792, 0.00166876112894, 0.412992045175, 0.00404066167482
2, 11.0, 8, regularization, -0.0118623765213, 0.432156825635, 0.027449240224, -0.0674085271427, 0.491546923784, 0.137135487745
2, 11.0, 9, regularization, 0.0405996119723, 0.440147386224, 0.0922409475621, -0.0463361099841, 0.543436580587, 0.0852649814889
2, 11.0, 10, regularization, -0.0446288981485, 0.418150381871, 0.106729301427, 0.0196036741644, 0.311513701376, 0.0629303753825
3.2, 11.0, 6, no_regularization, -0.00617046011514, 0.577872624883, 0.0106778896411, -0.113430465986, 0.898271352853, 0.126276392569
3.2, 11.0, 7, no_regularization, -0.00265972855235, 0.317348063085, 0.00838110851063, 0.0131527716714, 0.371988517984, 0.0353580044425
3.2, 11.0, 8, no_regularization, -0.0801788968989, 0.414140005338, 0.193603360857, -0.0202681748693, 0.681401297891, 0.0297448433574
3.2, 11.0, 9, no_regularization, 0.0291939135117, 0.386301646668, 0.0755728425273, -0.130792372615, 0.942042541272, 0.138839136116
3.2, 11.0, 10, no_regularization, -0.0120856822076, 0.549427657816, 0.0219968580681, 0.0235679101645, 0.714930877552, 0.0329652990303
3.2, 11.0, 6, regularization, -0.0022478730257, 0.450951077332, 0.00498473812059, -0.0608965056778, 1.16437209984, 0.0522998667575
3.2, 11.0, 7, regularization, -0.0128231257751, 0.465123301976, 0.0275693041407, -0.0704396733558, 0.688755554227, 0.102270933314
3.2, 11.0, 8, regularization, -0.0450340782814, 0.302602761002, 0.148822430213, -0.00369586552161, 0.648410677697, 0.00569988380626
3.2, 11.0, 9, regularization, 0.0152879119622, 0.247614045366, 0.0617408917157, 0.0431936438676, 0.347941544958, 0.124140518698
3.2, 11.0, 10, regularization, 0.0224989388204, 0.378494810189, 0.0594431897473, -0.0918913321985, 1.32641962943, 0.0692777233991
3.8, 3.0, 6, no_regularization, -0.0347705641534, 0.0013693274304, 25.3924396617, 0.0206037814866, 0.0135094230158, 1.5251414855
3.8, 3.0, 7, no_regularization, -0.0344244521176, 0.0017148414224, 20.0744230154, 0.0214264104574, 0.0159067469495, 1.34700140295
3.8, 3.0, 8, no_regularization, -0.0345631129253, 0.00241228557371, 14.3279524207, 0.0205328638059, 0.0151992551332, 1.35091250367
3.8, 3.0, 9, no_regularization, -0.0344510185651, 0.00139794259849, 24.6440866759, 0.0212155405373, 0.0143801834185, 1.47533170613
3.8, 3.0, 10, no_regularization, -0.0349413256305, 0.00266518614084, 13.1102758997, 0.0203777347079, 0.0167085797937, 1.2195970549
3.8, 3.0, 6, regularization, -0.0347661741501, 0.00132691517196, 26.2007510991, 0.0178574452159, 0.00306015428711, 5.83547218229
3.8, 3.0, 7, regularization, -0.0344175533417, 0.00153911341205, 22.3619345217, 0.0177817895152, 0.00357468372874, 4.97436720687
3.8, 3.0, 8, regularization, -0.034575081788, 0.00197087096125, 17.5430469411, 0.0181833416879, 0.00447099190617, 4.06695920491
3.8, 3.0, 9, regularization, -0.034443655284, 0.00130247714632, 26.4447290929, 0.0179013311884, 0.00317789099112, 5.63308535077
3.8, 3.0, 10, regularization, -0.0349216676299, 0.00212046847307, 16.4688454808, 0.018430438515, 0.00509092281726, 3.6202549472
3.2, 5.0, 6, no_regularization, -0.049864339306, 0.0844962406619, 0.590136779049, 0.0331116683221, 0.0883413456049, 0.374815077758
3.2, 5.0, 7, no_regularization, -0.0552547050529, 0.00257572544071, 21.4520943031, 0.0335228368223, 0.0194180836046, 1.72637205118
3.2, 5.0, 8, no_regularization, -0.0335889389854, 0.162662258002, 0.206494975528, 0.021696668863, 0.205004701724, 0.105834981737
3.2, 5.0, 9, no_regularization, -0.0565166804104, 0.00210844094481, 26.8049624768, 0.0341812260942, 0.0185465869674, 1.84299279185
3.2, 5.0, 10, no_regularization, -0.00890440656106, 0.488504812178, 0.0182278789053, -0.140439653793, 0.737551377563, 0.190413384159
3.2, 5.0, 6, regularization, -0.0531477548622, 0.0858896659452, 0.618791030066, 0.0226567290965, 0.0997418629711, 0.22715365867
3.2, 5.0, 7, regularization, -0.055234904687, 0.00249882363959, 22.1043629538, 0.0297673286555, 0.00661242735925, 4.50172486415
3.2, 5.0, 8, regularization, -0.0425560225971, 0.0894978476341, 0.475497721141, 0.0299529780768, 0.107060461495, 0.279776283966
