axialBottomBlockRadius, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
16, 5.0, 6, no_regularization, -0.0450043147373, 0.185368844358, 0.242782517706, 0.0094346976411, 0.196667419048, 0.0479728553249
16, 5.0, 7, no_regularization, -0.0573613609597, 0.12419604235, 0.461861423876, 0.00559783457192, 0.135744861257, 0.0412379114766
16, 5.0, 8, no_regularization, -0.0501210735335, 0.215597828587, 0.232474853119, 0.0144981609477, 0.218502973597, 0.0663522363519
16, 5.0, 9, no_regularization, -0.0563831014107, 0.00280765172788, 20.0819428032, 0.0160465423275, 0.0772349744353, 0.207762641794
16, 5.0, 10, no_regularization, -0.0556958388479, 0.101387255067, 0.549337673766, 0.0160163665599, 0.139964669628, 0.114431496195
16, 5.0, 6, regularization, -0.0558869937934, 0.153218463544, 0.364753649795, 0.00830548809934, 0.170081397178, 0.0488324310428
16, 5.0, 7, regularization, -0.0571125574802, 0.0536109120124, 1.06531590933, 0.0111874583729, 0.106157548384, 0.105385425183
16, 5.0, 8, regularization, -0.0487589832688, 0.154825434106, 0.314928768327, 0.0189238378733, 0.17790631093, 0.106369682865
16, 5.0, 9, regularization, -0.0594967897462, 0.0410196263119, 1.45044689812, 0.0187442080158, 0.0692624834931, 0.270625699086
16, 5.0, 10, regularization, -0.056062559242, 0.0579121027723, 0.968062918772, 0.0292955954291, 0.0620346200139, 0.472245907568
16, 9.0, 6, no_regularization, 0.0046010340748, 0.337287242784, 0.0136412929135, -0.0382350865066, 0.374216737633, 0.102173640731
16, 9.0, 7, no_regularization, -0.0422255527821, 0.412193020886, 0.102441212351, 0.0141362279805, 0.753367021535, 0.0187640652914
16, 9.0, 8, no_regularization, 0.0130670451162, 0.33500663426, 0.0390053323721, -0.0716069739914, 0.374419545548, 0.191247959255
16, 9.0, 9, no_regularization, -0.011535413804, 0.426310551317, 0.02705871053, -0.0019855428939, 0.634965248996, 0.00312701033173
16, 9.0, 10, no_regularization, -0.0286711243403, 0.434583648789, 0.0659737760962, 0.02177040068, 0.730301283945, 0.0298101635018
16, 9.0, 6, regularization, -0.00293468872134, 0.252348733874, 0.0116294965158, -0.0454335606364, 0.867883650272, 0.0523498289455
16, 9.0, 7, regularization, -0.037371710264, 0.32540271823, 0.114847566324, -0.0307229135342, 0.775023510925, 0.039641266492
16, 9.0, 8, regularization, 0.0301664213573, 0.263454316257, 0.114503424297, -0.0667002760266, 0.370338891412, 0.180106053059
16, 9.0, 9, regularization, 0.00999897564513, 0.250678194218, 0.0398876961609, 0.0189420722102, 0.350501390169, 0.0540427876792
16, 9.0, 10, regularization, -0.028738466676, 0.332107143601, 0.0865337203061, 0.0299803053209, 0.6766799017, 0.0443050033637
10, 1.0, 6, no_regularization, -0.0125226664837, 0.0016943489799, 7.39084251964, 0.00619539837558, 0.0126083910338, 0.491371052735
10, 1.0, 7, no_regularization, -0.0123105604118, 0.00274655392054, 4.48218413619, 0.00227979306728, 0.0370947367937, 0.0614586667636
10, 1.0, 8, no_regularization, -0.0120975387285, 0.00269832527747, 4.48335077667, 0.0058118237344, 0.00639521440816, 0.90877699534
10, 1.0, 9, no_regularization, -0.0119551273902, 0.00171659367369, 6.96444800738, 0.00497852031389, 0.0166676445944, 0.298693692783
10, 1.0, 10, no_regularization, -0.0121044250326, 0.00362730162727, 3.33703294527, 0.00621495533722, 0.00783809052259, 0.792917014585
10, 1.0, 6, regularization, -0.0124861987995, 0.00276363725827, 4.51803099779, 0.00592657613228, 0.00331560650812, 1.78747873663
10, 1.0, 7, regularization, -0.0122634778057, 0.0032679675216, 3.7526314826, 0.00581250971683, 0.00406180584136, 1.43101614008
10, 1.0, 8, regularization, -0.012136667101, 0.00336202452344, 3.60992818951, 0.00568806589834, 0.00354972058174, 1.60239820779
10, 1.0, 9, regularization, -0.0119249560573, 0.00328152821673, 3.6339641989, 0.00566589089871, 0.00324344734834, 1.74687309218
10, 1.0, 10, regularization, -0.0120502707005, 0.00359605352068, 3.35097089941, 0.00593109919324, 0.00352598874733, 1.68210950694
10, 3.0, 6, no_regularization, -0.0347621332438, 0.0032988435733, 10.537672512, 0.00416462243943, 0.0753710208891, 0.0552549559539
10, 3.0, 7, no_regularization, -0.0344286039336, 0.00416901815328, 8.25820437037, 0.00454186167858, 0.0718994381974, 0.0631696407155
10, 3.0, 8, no_regularization, -0.0345331876654, 0.0114414162632, 3.01826162698, 0.0120107585201, 0.0508294729562, 0.23629516148
10, 3.0, 9, no_regularization, -0.0344217687519, 0.00345832825286, 9.95329715257, 0.00467146199962, 0.070292509484, 0.0664574651541
10, 3.0, 10, no_regularization, -0.0349983606128, 0.0346747949901, 1.00933143578, 0.0113728685373, 0.0629288712741, 0.180725767157
10, 3.0, 6, regularization, -0.0347571152316, 0.00734293117646, 4.73341154864, 0.0171688483132, 0.00426963264321, 4.02115351552
10, 3.0, 7, regularization, -0.0344229211078, 0.00737492019429, 4.66756523473, 0.0169115429435, 0.00477879974702, 3.53886830141
10, 3.0, 8, regularization, -0.0345768460557, 0.00763644061013, 4.52787467631, 0.0176703857535, 0.00514000530988, 3.43781468855
10, 3.0, 9, regularization, -0.0345049297594, 0.00743447015716, 4.64120899404, 0.0174296351479, 0.00408031314252, 4.27164154786
10, 3.0, 10, regularization, -0.0350450094116, 0.00805840805754, 4.34887500873, 0.0175055491095, 0.00667241543809, 2.62357002077
16, 3.0, 6, no_regularization, -0.034737706276, 0.00175499932485, 19.7935724443, 0.00458243090701, 0.0725912272548, 0.0631265110166
16, 3.0, 7, no_regularization, -0.0343845428378, 0.00229194681891, 15.0023301388, 0.00292815699759, 0.075892831429, 0.0385827876291
