axialBottomFactor, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0.7, 0.5, 6, no_regularization, 0.0560937351285, 0.363193949299, 0.154445676302, -0.0525289631519, 0.478453477113, 0.1097890718
0.7, 0.5, 7, no_regularization, -0.00884443994111, 0.151183887631, 0.0585012072364, -0.0150213287427, 0.258118293137, 0.0581955217515
0.7, 0.5, 8, no_regularization, -0.0205019749587, 0.155369593516, 0.131956160113, -0.0266418189924, 0.215674303952, 0.12352801657
0.7, 0.5, 9, no_regularization, -0.00486885739348, 0.285293540238, 0.0170661326205, 0.00166682748747, 0.357616748532, 0.00466093239289
0.7, 0.5, 10, no_regularization, -0.0226561212331, 0.21884048546, 0.103528015785, -0.0388545112233, 0.347821057195, 0.111708335132
0.7, 0.5, 6, regularization, 0.0303682508289, 0.259901014422, 0.116845449397, -0.094282301824, 0.429871315543, 0.219326804127
0.7, 0.5, 7, regularization, -0.0080860673828, 0.0605778472673, 0.133482250485, -0.025161222425, 0.173863140464, 0.144718554823
0.7, 0.5, 8, regularization, -0.0249814672796, 0.108046250646, 0.231210866922, -0.0257613990656, 0.161304473314, 0.159706662415
0.7, 0.5, 9, regularization, 0.0286785502428, 0.775528872059, 0.0369793456776, 0.0320426181457, 0.492907067661, 0.0650074227942
0.7, 0.5, 10, regularization, -0.0252520349095, 0.138186863418, 0.182738317413, -0.0337301905018, 0.321747560305, 0.104834331828
0.7, 11.0, 6, no_regularization, -0.00345766499725, 0.35066274879, 0.00986037156552, -0.107563572409, 0.389573370371, 0.276106070358
0.7, 11.0, 7, no_regularization, -0.0596082927729, 0.379078584137, 0.157245213175, -0.0910469376355, 0.476583790296, 0.191040777067
0.7, 11.0, 8, no_regularization, -0.0669076521185, 0.359899757322, 0.185906355193, -0.0821181069034, 0.408440713847, 0.201052696559
0.7, 11.0, 9, no_regularization, -0.00976208714055, 0.325180736267, 0.0300204964556, -0.0727533974049, 0.401026634391, 0.181417868954
0.7, 11.0, 10, no_regularization, -0.051372534723, 0.326721185972, 0.15723661926, -0.03245287906, 0.438378539074, 0.0740293517298
0.7, 11.0, 6, regularization, -0.00386147661555, 0.237685443057, 0.0162461636938, -0.100390138254, 0.36471768325, 0.275254375821
0.7, 11.0, 7, regularization, -0.0629016888851, 0.256507443943, 0.245223639198, -0.0960615360864, 0.414993589831, 0.231477156371
0.7, 11.0, 8, regularization, -0.0668464663589, 0.222987155965, 0.299777204968, -0.076097556118, 0.368561936336, 0.206471555024
0.7, 11.0, 9, regularization, -0.00575950248542, 0.237271285255, 0.0242739127882, -0.0754912577918, 0.336595154061, 0.224279098736
0.7, 11.0, 10, regularization, -0.0596247284305, 0.241465702645, 0.246928353706, -0.0289270777055, 0.41792848503, 0.0692153771318
0.7, 1.0, 6, no_regularization, -0.0125224078054, 0.00123820633437, 10.1133449715, 0.00401468812682, 0.0206770427752, 0.194161620231
0.7, 1.0, 7, no_regularization, -0.0123192751021, 0.0162835291493, 0.756548226686, -0.00198994250069, 0.0559372585247, 0.0355745446447
0.7, 1.0, 8, no_regularization, -0.0120953453654, 0.00150896998285, 8.01563019998, 0.00441234571682, 0.0200452014142, 0.220119799529
0.7, 1.0, 9, no_regularization, -0.0119449213711, 0.00198381051811, 6.02120074576, 0.00408413552243, 0.0188333045217, 0.216857085156
0.7, 1.0, 10, no_regularization, -0.0120736928305, 0.00196777280554, 6.13571485313, 0.00509791379155, 0.0141750975648, 0.359638709239
0.7, 1.0, 6, regularization, -0.0124759759229, 0.00127318814143, 9.79900418242, 0.00453843089043, 0.00445110891698, 1.01961802667
0.7, 1.0, 7, regularization, -0.0123226645269, 0.00148917285921, 8.27483824374, 0.00515290862179, 0.00396774502614, 1.29869953534
0.7, 1.0, 8, regularization, -0.0120818680046, 0.00151326432379, 7.9839772964, 0.00488924699685, 0.00371791215442, 1.31505178008
0.7, 1.0, 9, regularization, -0.0119737288289, 0.00137662108164, 8.69791185721, 0.00463620659929, 0.00415057052302, 1.117004656
0.7, 1.0, 10, regularization, -0.0120839982155, 0.00160638120957, 7.52249724011, 0.00478242410215, 0.0041393250168, 1.15536327366
1.5, 9.0, 6, no_regularization, -0.00233833726245, 0.496831247365, 0.00470650200617, 0.00318545199823, 0.540792815894, 0.005890337121
1.5, 9.0, 7, no_regularization, -0.0125953056292, 0.503084793604, 0.0250361485565, -0.203770733762, 0.92589530267, 0.220079671183
1.5, 9.0, 8, no_regularization, -0.0120171246519, 0.434008649148, 0.0276886755033, -0.0383731572227, 0.741901964692, 0.0517226790721
1.5, 9.0, 9, no_regularization, -0.0261067496651, 0.619334413404, 0.0421529130307, 0.0239823061868, 0.887767140875, 0.0270141854577
1.5, 9.0, 10, no_regularization, -0.00863504316685, 0.502786002464, 0.0171743905449, 0.0602086052588, 0.749188933988, 0.0803650488247
1.5, 9.0, 6, regularization, -0.0404867174558, 0.35645847612, 0.113580459347, 0.0312159980461, 0.530922589275, 0.0587957617112
1.5, 9.0, 7, regularization, 0.0228298453408, 0.326813104695, 0.0698559666452, 0.000959801999275, 0.767014590867, 0.00125134777187
1.5, 9.0, 8, regularization, -0.0142538011012, 0.454614344892, 0.0313536105082, -0.0767842468028, 0.378469452472, 0.202880962522
1.5, 9.0, 9, regularization, -0.0291340166767, 0.523360551519, 0.0556672003499, 0.0128888601073, 0.884130189686, 0.0145780115391
1.5, 9.0, 10, regularization, -0.0142160359535, 0.345379356562, 0.0411606417215, 0.0656450402011, 0.725131543439, 0.0905284576226
