blackman_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 1.0, 16, no_regularization, -0.00958602925348, 0.00243568224677, 3.93566495228, 0.00447647348057, 0.00588632107885, 0.760487479464
0, 1.0, 17, no_regularization, -0.00960681530556, 0.00239422105285, 4.01250139126, 0.00462347467951, 0.00577696829722, 0.800328899457
0, 1.0, 18, no_regularization, -0.00958597175866, 0.00240030018761, 3.99365538033, 0.00466561972471, 0.00612968985518, 0.761151026389
0, 1.0, 19, no_regularization, -0.0095647868886, 0.00238293468763, 4.01386867136, 0.00443660592825, 0.00580939142552, 0.763695472258
0, 1.0, 20, no_regularization, -0.00958774752433, 0.00246466936102, 3.89007453736, 0.00456258160797, 0.00573864109542, 0.795063070176
0, 1.0, 16, regularization, -0.00959028803247, 0.00233728023193, 4.10318279402, 0.0048805613454, 0.00413395645074, 1.18060298979
0, 1.0, 17, regularization, -0.00961172196268, 0.00233663891826, 4.11348192807, 0.00512241803691, 0.00422891281753, 1.21128485214
0, 1.0, 18, regularization, -0.00959600170478, 0.00229301299711, 4.1848876203, 0.00501013325715, 0.003950975601, 1.26807496758
0, 1.0, 19, regularization, -0.00957887475737, 0.00232329169388, 4.1229755104, 0.0048493392237, 0.00407227420704, 1.19081844128
0, 1.0, 20, regularization, -0.00959039716684, 0.00233545004459, 4.10644500363, 0.00507673400613, 0.00432078941918, 1.17495520231
0, 5.0, 26, no_regularization, -0.047884958733, 0.0436827260737, 1.09619895636, 0.0236789015342, 0.0628546311357, 0.37672485076
0, 5.0, 27, no_regularization, -0.0479021835243, 0.0495135381624, 0.967456281699, 0.0237050779612, 0.04447989638, 0.532939145332
0, 5.0, 28, no_regularization, -0.0479065916775, 0.0585350179657, 0.818426189014, 0.0240521119246, 0.0454852906225, 0.528788792936
0, 5.0, 29, no_regularization, -0.0479157510608, 0.0444931295174, 1.0769247203, 0.0235809444296, 0.0663080691684, 0.355627071115
0, 5.0, 30, no_regularization, -0.0478811224625, 0.0356512953631, 1.343040189, 0.0230561543643, 0.050814309142, 0.453733500535
0, 5.0, 26, regularization, -0.047892762448, 0.0108237917001, 4.4247675653, 0.0232950990322, 0.00656227172689, 3.5498528561
0, 5.0, 27, regularization, -0.0479024878191, 0.0091950585494, 5.20959029916, 0.0233960286126, 0.00516320212332, 4.53130209778
0, 5.0, 28, regularization, -0.0479071359826, 0.00932237375533, 5.13894178027, 0.0238336974721, 0.00654154715693, 3.64343432834
0, 5.0, 29, regularization, -0.047905862006, 0.0114101907595, 4.19851543378, 0.0233104135878, 0.0052913605896, 4.40537234102
0, 5.0, 30, regularization, -0.0478804675942, 0.00946584264687, 5.05823616348, 0.0235038403219, 0.00506720134111, 4.63842636984
0, 0.5, 11, no_regularization, -0.00480509454005, 0.00667817326778, 0.719522292606, 0.00227109408752, 0.00469831579816, 0.483384724459
0, 0.5, 12, no_regularization, -0.00480638538056, 0.00150426067546, 3.19518116705, 0.00232306518247, 0.0051291550452, 0.452913815629
0, 0.5, 13, no_regularization, -0.00478904542644, 0.00162383714648, 2.94921534269, 0.00217993944229, 0.00504594498305, 0.432018075824
0, 0.5, 14, no_regularization, -0.00476645963931, 0.00146040037142, 3.26380336009, 0.00214375828409, 0.00489909616698, 0.437582405207
0, 0.5, 15, no_regularization, -0.00479598543081, 0.00149386643992, 3.21045128444, 0.00230569803228, 0.00471161433095, 0.489364763397
0, 0.5, 11, regularization, -0.00480302888958, 0.00155074193815, 3.09724575793, 0.00154457421312, 0.00149980204301, 1.02985205302
0, 0.5, 12, regularization, -0.00480366827667, 0.0015680001078, 3.06356374133, 0.00159248709131, 0.00163535901202, 0.973784398167
0, 0.5, 13, regularization, -0.00478852118525, 0.00160969453702, 2.97480116577, 0.00149347415744, 0.00181716712531, 0.821869456383
0, 0.5, 14, regularization, -0.00476642771032, 0.0015795566847, 3.01757306748, 0.0013876278535, 0.0018513876614, 0.749506914423
0, 0.5, 15, regularization, -0.00479243809307, 0.00155826187014, 3.0755023818, 0.00154169451471, 0.00177924006079, 0.866490446507
0, 0.5, 6, no_regularization, -0.00478968191494, 0.00153066968928, 3.12914141339, 0.00206378906192, 0.00485662484555, 0.424943067984
0, 0.5, 7, no_regularization, -0.004778060314, 0.00148411329676, 3.21947140048, 0.00229006991135, 0.00491120948573, 0.466294487744
0, 0.5, 8, no_regularization, -0.0047838369627, 0.0014503478989, 3.29840651772, 0.00210855432104, 0.0049073304023, 0.429674415249
0, 0.5, 9, no_regularization, -0.00479254828664, 0.00141935690663, 3.37656319159, 0.0022088948325, 0.00466280685334, 0.473726427445
0, 0.5, 10, no_regularization, -0.00478497978573, 0.00152766367348, 3.13222070329, 0.00223980842704, 0.00494291892971, 0.453134768927
0, 0.5, 6, regularization, -0.00479048381034, 0.00158310240087, 3.0260100722, 0.00138493659146, 0.00147248895093, 0.940541245203
0, 0.5, 7, regularization, -0.00478004226381, 0.00155641755158, 3.07118244648, 0.00154757280457, 0.00193581893844, 0.799440884599
0, 0.5, 8, regularization, -0.00478893547795, 0.00152707016132, 3.13602845452, 0.00153332140875, 0.00168879966771, 0.907935640957
0, 0.5, 9, regularization, -0.00478830857342, 0.00149812767547, 3.19619525881, 0.00159947789018, 0.00182360589044, 0.877096251208
0, 0.5, 10, regularization, -0.00477979712872, 0.00158745056516, 3.0109895915, 0.00155059864203, 0.0016862445585, 0.91955738817
