welch_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 3.0, 16, no_regularization, -0.0287204840274, 0.00882551041363, 3.25425756487, 0.0145080013754, 0.00967508279666, 1.49952219327
0, 3.0, 17, no_regularization, -0.0287441195029, 0.00853496142588, 3.36780895292, 0.0146690473555, 0.0154237107772, 0.951071215444
0, 3.0, 18, no_regularization, -0.0287466295583, 0.0102031384899, 2.81743010612, 0.0151879028271, 0.0168341189788, 0.902209545165
0, 3.0, 19, no_regularization, -0.0287468385289, 0.00907334183565, 3.16827460594, 0.0151567959741, 0.00993520917826, 1.52556385096
0, 3.0, 20, no_regularization, -0.0287374814639, 0.00612975785298, 4.68819195687, 0.0150445703144, 0.0100138278316, 1.50237956627
0, 3.0, 16, regularization, -0.0287208205082, 0.00581391923752, 4.94001022974, 0.0140299108948, 0.00497504154122, 2.82005904445
0, 3.0, 17, regularization, -0.0287413730915, 0.00574356490313, 5.00409999299, 0.0145285481311, 0.00509161217544, 2.85342787913
0, 3.0, 18, regularization, -0.0287474449358, 0.00574946849705, 5.00001781913, 0.0146726606484, 0.00527858592424, 2.77965744215
0, 3.0, 19, regularization, -0.0287497854422, 0.00576715309202, 4.98509142787, 0.0145874683027, 0.00548108691525, 2.66141889889
0, 3.0, 20, regularization, -0.0287469792981, 0.00587458681065, 4.89344701587, 0.0144814502177, 0.0052039363414, 2.78278773368
0, 0.5, 16, no_regularization, -0.00478075245905, 0.00153774748137, 3.10893206914, 0.0021366838405, 0.00482437345978, 0.442893540127
0, 0.5, 17, no_regularization, -0.00480092234958, 0.00144397813725, 3.32478880791, 0.00223449104074, 0.00507129547417, 0.440615430933
0, 0.5, 18, no_regularization, -0.00462975562098, 0.00511386153098, 0.905334568199, 0.00228539707683, 0.00473319516994, 0.482844462308
0, 0.5, 19, no_regularization, -0.00478023291651, 0.00148798553856, 3.21255334319, 0.00231892520397, 0.00515467401083, 0.449868449313
0, 0.5, 20, no_regularization, -0.00478655199661, 0.0015752825969, 3.03853543867, 0.00230275227435, 0.00495357437241, 0.46486680147
0, 0.5, 16, regularization, -0.00478365535943, 0.00153827334478, 3.10975638736, 0.0015499594881, 0.00162726824855, 0.952491692429
0, 0.5, 17, regularization, -0.0047922326142, 0.0015049844976, 3.18424051666, 0.00168507005761, 0.00161257634012, 1.04495521587
0, 0.5, 18, regularization, -0.00479589561131, 0.0014773392942, 3.24630613301, 0.00180695723409, 0.0016894556392, 1.06954997347
0, 0.5, 19, regularization, -0.00477474505508, 0.0015209439115, 3.13933013504, 0.00186464383578, 0.00207812042738, 0.897274196052
0, 0.5, 20, regularization, -0.00478590187754, 0.00161041348873, 2.97184661643, 0.00163868168173, 0.00158452407819, 1.03417909786
0, 3.0, 1, no_regularization, -0.0287360298785, 0.0285373528982, 1.00696199752, 0.0149341709581, 0.0278243566081, 0.536730145045
0, 3.0, 2, no_regularization, -0.0287324865501, 0.00612091684472, 4.69414750747, 0.0144328707934, 0.0166480459119, 0.866940833165
0, 3.0, 3, no_regularization, -0.028732930987, 0.00905687988507, 3.17249774222, 0.0147656852916, 0.0160867763917, 0.917877201251
0, 3.0, 4, no_regularization, -0.0287293067736, 0.00603034248906, 4.764125226, 0.0148289489601, 0.0168284753471, 0.881181964157
0, 3.0, 5, no_regularization, -0.0287389585622, 0.00602817348356, 4.76744052581, 0.0146936746621, 0.017405555177, 0.844194540924
0, 3.0, 1, regularization, -0.0287240920786, 0.00571283768924, 5.02799022851, 0.0147422026233, 0.00542904719124, 2.71543092258
0, 3.0, 2, regularization, -0.0287340906822, 0.00582214168182, 4.93531285435, 0.0144742948351, 0.00500026155049, 2.89470754458
0, 3.0, 3, regularization, -0.0287294803036, 0.00575869673351, 4.98888579015, 0.014674765868, 0.00526655957914, 2.78640460579
0, 3.0, 4, regularization, -0.0287358684189, 0.00573677695227, 5.0090614744, 0.0145617833704, 0.00521088976701, 2.7944907725
0, 3.0, 5, regularization, -0.0287278596675, 0.00576054619395, 4.98700274249, 0.0145564146288, 0.00523697412001, 2.77954679463
0, 0.5, 26, no_regularization, -0.00479515113459, 0.00154928875969, 3.09506610991, 0.00227705681159, 0.00482005830956, 0.472412710667
0, 0.5, 27, no_regularization, -0.00478985574739, 0.00147161008491, 3.25484025728, 0.0021541174696, 0.00495456958683, 0.43477388537
0, 0.5, 28, no_regularization, -0.00479514973554, 0.00146716451469, 3.26831087279, 0.00243384325893, 0.0048720941313, 0.499547667458
0, 0.5, 29, no_regularization, -0.00478171712752, 0.00148103937653, 3.22862254934, 0.00236576161742, 0.0048381473966, 0.488980889478
0, 0.5, 30, no_regularization, -0.00479364746347, 0.00153234425047, 3.12830975286, 0.00244347367749, 0.00504499953972, 0.484335758259
0, 0.5, 26, regularization, -0.00479466331179, 0.0015802260568, 3.03416292318, 0.00169829949575, 0.00159671765003, 1.0636191663
0, 0.5, 27, regularization, -0.00479390262712, 0.00152777519587, 3.13783247699, 0.00156342264571, 0.00165559600823, 0.944326174953
0, 0.5, 28, regularization, -0.00479515946, 0.00153768074589, 3.11843630273, 0.00192190096492, 0.00185554395219, 1.03576148797
0, 0.5, 29, regularization, -0.00478331417846, 0.00155723017135, 3.07168090271, 0.00184834186431, 0.00175041231102, 1.05594656337
0, 0.5, 30, regularization, -0.00479559615775, 0.00153584239127, 3.12245330967, 0.00194117587977, 0.00177664030796, 1.09261051383
