lanczos_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 7.0, 6, no_regularization, -0.0672003808395, 0.102708856766, 0.654280292425, 0.0305894187732, 0.106740043064, 0.286578662468
0, 7.0, 7, no_regularization, -0.0530540775233, 0.212396127161, 0.249788347049, 0.0208861069555, 0.191252600603, 0.109206917394
0, 7.0, 8, no_regularization, -0.0664167304899, 0.102267910624, 0.649438617494, 0.0270180064361, 0.113484326923, 0.238076985331
0, 7.0, 9, no_regularization, -0.0671089327566, 0.0933433337965, 0.718947245905, 0.0296380984484, 0.102827448712, 0.288231389768
0, 7.0, 10, no_regularization, -0.0511611510134, 0.211994244145, 0.241332736272, 0.0240877221281, 0.184780740867, 0.130358402153
0, 7.0, 6, regularization, -0.0670168625022, 0.0468846148415, 1.42939987305, 0.0315591870148, 0.0281552899849, 1.12089724637
0, 7.0, 7, regularization, -0.0522583671885, 0.0774681991492, 0.67457831423, 0.0273335105804, 0.0916384228711, 0.298275654731
0, 7.0, 8, regularization, -0.0669810773716, 0.0221710120065, 3.02111050916, 0.0305044344685, 0.0178899420018, 1.705116454
0, 7.0, 9, regularization, -0.0670855912998, 0.0244910861319, 2.739184001, 0.0316278181841, 0.00837328825991, 3.77722791839
0, 7.0, 10, regularization, -0.0544000592968, 0.107028099435, 0.508278289384, 0.0302417061304, 0.0637973558714, 0.474027578689
0, 9.0, 6, no_regularization, -0.0615246384568, 0.289858466578, 0.212257517205, 0.0230958545203, 0.298467265749, 0.0773815328203
0, 9.0, 7, no_regularization, 0.00167983490003, 0.636199486736, 0.00264042165241, -0.0681511965043, 0.629764143814, 0.108217016122
0, 9.0, 8, no_regularization, -0.0323454999402, 0.49927031778, 0.0647855456019, 0.0376690810801, 0.64871277423, 0.0580674261036
0, 9.0, 9, no_regularization, -0.0368528637084, 0.273997972492, 0.134500497844, 0.0242998665715, 0.267064054152, 0.0909889076935
0, 9.0, 10, no_regularization, 0.00662028453938, 0.521585355741, 0.0126926196576, -0.035399616966, 0.83263023347, 0.0425154114551
0, 9.0, 6, regularization, -0.0636402081207, 0.180077685744, 0.353404186963, 0.0295219588211, 0.199940980124, 0.147653366522
0, 9.0, 7, regularization, -0.00142336515013, 0.592515002462, 0.00240224322459, -0.063760755679, 0.621408666889, 0.102606801412
0, 9.0, 8, regularization, -0.0312792354096, 0.422342722495, 0.0740612629119, 0.0405907341502, 0.587336035178, 0.0691098991362
0, 9.0, 9, regularization, -0.0364412924854, 0.20229132126, 0.180142639132, 0.0239070632155, 0.188369751089, 0.126915617169
0, 9.0, 10, regularization, 0.011060605233, 0.445826711039, 0.024809202677, -0.0436853443415, 0.772549109132, 0.0565470127726
0, 7.0, 11, no_regularization, -0.0557851186823, 0.201392359888, 0.276997194498, 0.0243207405267, 0.188807970357, 0.128812043691
0, 7.0, 12, no_regularization, -0.0632412772663, 0.143827105041, 0.439703470693, 0.0221589795161, 0.148536608465, 0.149181940702
0, 7.0, 13, no_regularization, -0.0674622498297, 0.0891248381756, 0.756941063913, 0.0284597527455, 0.0980827716681, 0.290160568074
0, 7.0, 14, no_regularization, -0.0545207213802, 0.184694098938, 0.295194712195, 0.0252131682974, 0.160621739945, 0.156972327071
0, 7.0, 15, no_regularization, -0.0645165691278, 0.117473692987, 0.549200144198, 0.0276965323176, 0.138416939505, 0.200094962486
0, 7.0, 11, regularization, -0.0564720188762, 0.122702960808, 0.460233546968, 0.0283110756481, 0.0990886140761, 0.285714720223
0, 7.0, 12, regularization, -0.0642154038072, 0.0376203394695, 1.70693313013, 0.0257297130988, 0.0570742397835, 0.450811315164
0, 7.0, 13, regularization, -0.0670777604785, 0.0200040508925, 3.3532088495, 0.0312158644968, 0.00893277275608, 3.49453247599
0, 7.0, 14, regularization, -0.0563537347325, 0.0828564006128, 0.680137374007, 0.0280427781112, 0.0760938789329, 0.368528697766
0, 7.0, 15, regularization, -0.0662551613627, 0.0384189720738, 1.72454279192, 0.0290043278618, 0.0465084830177, 0.623635216198
0, 0.5, 11, no_regularization, -0.00480533226724, 0.00666306368465, 0.721189605063, 0.00237346889797, 0.00473638515527, 0.501113997312
0, 0.5, 12, no_regularization, -0.00480678914142, 0.00151507906993, 3.17263252911, 0.00242447710275, 0.00507117445939, 0.478089863041
0, 0.5, 13, no_regularization, -0.00479107581755, 0.00163107773678, 2.93736816433, 0.00230847169314, 0.00499354814898, 0.462290864986
0, 0.5, 14, no_regularization, -0.00476801238519, 0.00147156322275, 3.24010026311, 0.00226312259944, 0.00492769776976, 0.459265706864
0, 0.5, 15, no_regularization, -0.00479692949157, 0.00150109416555, 3.19562196807, 0.00239612311322, 0.00473508322379, 0.506036113828
0, 0.5, 11, regularization, -0.00480274732966, 0.00153698735803, 3.12477998246, 0.00170609228921, 0.00150357892185, 1.13468755408
0, 0.5, 12, regularization, -0.00480373818992, 0.00155596467049, 3.08730543888, 0.00176098458413, 0.00164997127348, 1.06728196571
0, 0.5, 13, regularization, -0.00478826007568, 0.00159951830247, 2.99356379247, 0.00166416277655, 0.0017819027898, 0.933924558669
0, 0.5, 14, regularization, -0.00476623751727, 0.00156749856836, 3.04066467013, 0.00155938616793, 0.0018859581121, 0.826840298268
0, 0.5, 15, regularization, -0.0047923804947, 0.00154389270798, 3.10408907945, 0.00169323027774, 0.00170716975166, 0.991834746421
0, 9.0, 21, no_regularization, 0.0197547427192, 0.6201213742, 0.0318562519227, 0.020273824199, 0.434510268338, 0.0466590220677
