cosine_window_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 5.0, 16, no_regularization, -0.0479025527846, 0.0545605224491, 0.877970932724, 0.0247089871078, 0.061743925317, 0.400184908571
0, 5.0, 17, no_regularization, -0.0478703211945, 0.0506434692547, 0.94524174388, 0.0245036222671, 0.0519081754343, 0.472057090471
0, 5.0, 18, no_regularization, -0.0478932345171, 0.0557076828051, 0.859724047123, 0.0242660070502, 0.0673933610809, 0.360065244721
0, 5.0, 19, no_regularization, -0.0478942075706, 0.0407197702679, 1.17619051521, 0.0234451514509, 0.0599565277087, 0.391035844584
0, 5.0, 20, no_regularization, -0.0479369773228, 0.0447238741721, 1.07184313099, 0.0236989643917, 0.0670352356298, 0.353529963295
0, 5.0, 16, regularization, -0.047897213944, 0.0100350097825, 4.77301118603, 0.0232350250534, 0.00532195332805, 4.36588290448
0, 5.0, 17, regularization, -0.0478713456733, 0.00995996952264, 4.80637471475, 0.0235358119606, 0.00519692399769, 4.52879664414
0, 5.0, 18, regularization, -0.0478942944988, 0.0104026136228, 4.60406357819, 0.0233853762602, 0.00565898660404, 4.13243181095
0, 5.0, 19, regularization, -0.0478924436138, 0.0103339730486, 4.63446569763, 0.0233482131185, 0.00585550455573, 3.98739560295
0, 5.0, 20, regularization, -0.0479151096287, 0.010353850031, 4.62775774086, 0.0233903094809, 0.00574434741988, 4.0718828043
0, 9.0, 26, no_regularization, -0.0866790857468, 0.16319167666, 0.531148937989, 0.0319329721927, 0.159818753716, 0.199807415903
0, 9.0, 27, no_regularization, 0.0143206953835, 0.588890695315, 0.0243180873758, -0.0695875365409, 0.717499556834, 0.0969861735496
0, 9.0, 28, no_regularization, 0.0135449700613, 0.328682958348, 0.0412098337237, -0.26466365078, 0.566060033536, 0.467554031552
0, 9.0, 29, no_regularization, 0.00426711152651, 0.477807314572, 0.00893061155903, -0.273868855323, 0.740204142558, 0.369990978944
0, 9.0, 30, no_regularization, -0.0569819241743, 0.44385821019, 0.128378664326, -0.0966083517458, 0.495375258227, 0.195020542793
0, 9.0, 26, regularization, -0.0868395763798, 0.0605319960723, 1.43460619201, 0.0360809992984, 0.0663023993845, 0.544188440138
0, 9.0, 27, regularization, 0.0136542040503, 0.500089184364, 0.0273035380033, -0.0618232987965, 0.694583391663, 0.0890077412425
0, 9.0, 28, regularization, 0.0126628079629, 0.250750909257, 0.0504995495346, -0.261142017339, 0.53291795871, 0.490022925801
0, 9.0, 29, regularization, 0.00439600985728, 0.383141241039, 0.0114736013418, -0.266553920758, 0.725386095858, 0.367464888395
0, 9.0, 30, regularization, -0.0528752889049, 0.38373106092, 0.137792569562, -0.0809840329776, 0.432437777695, 0.187273261391
0, 9.0, 11, no_regularization, 0.00871009438848, 0.492272049124, 0.0176936602514, -0.10020561862, 0.836962114699, 0.119725393612
0, 9.0, 12, no_regularization, -0.0873651905793, 0.303976473814, 0.287407737457, 0.0393743456319, 0.267449267714, 0.14722173655
0, 9.0, 13, no_regularization, -0.0473405436792, 0.776757451316, 0.0609463656885, 0.0125243520326, 0.400525671931, 0.0312697859595
0, 9.0, 14, no_regularization, -0.0102659367123, 0.579936897557, 0.0177018167934, -0.0650671949586, 0.703468049322, 0.0924948830601
0, 9.0, 15, no_regularization, -0.0251770569276, 0.584149665206, 0.0431003532608, -0.0681324438385, 0.658891872167, 0.103404589913
0, 9.0, 11, regularization, 0.0124019041695, 0.411311870913, 0.0301520696252, -0.0994194094071, 0.806366883172, 0.12329302143
0, 9.0, 12, regularization, -0.0864706654056, 0.226743418066, 0.381359098064, 0.0430706780352, 0.160751625417, 0.267933079516
0, 9.0, 13, regularization, -0.046063081964, 0.738220840144, 0.0623974283291, 0.00719455571034, 0.349702845409, 0.020573340494
0, 9.0, 14, regularization, -0.0160222895174, 0.463590366809, 0.0345613081387, -0.0602653251859, 0.663111223135, 0.0908826801347
0, 9.0, 15, regularization, -0.0254361892654, 0.556330522884, 0.0457213620664, -0.0696532611088, 0.651715231476, 0.106876834766
0, 7.0, 16, no_regularization, -0.0671363479468, 0.0923352583684, 0.727093302528, 0.0274674327207, 0.106388278797, 0.258181004818
0, 7.0, 17, no_regularization, -0.0671311450361, 0.17111683462, 0.39231175112, 0.0260968530868, 0.155516398064, 0.16780772582
0, 7.0, 18, no_regularization, -0.0674666238806, 0.164393675867, 0.410396710974, 0.0337692239483, 0.206330126259, 0.163665987903
0, 7.0, 19, no_regularization, -0.0672083580094, 0.116212636102, 0.578322291479, 0.0248575904261, 0.123056418853, 0.202001575031
0, 7.0, 20, no_regularization, -0.0669530399716, 0.0912654062293, 0.733608085887, 0.0290252718334, 0.102463089665, 0.283275391443
0, 7.0, 16, regularization, -0.0670321599329, 0.0230497564741, 2.90815046173, 0.0315500100374, 0.00836632622957, 3.77107097807
0, 7.0, 17, regularization, -0.0670077734948, 0.0705715954856, 0.949500617547, 0.0290410304909, 0.0422628360296, 0.687152903572
0, 7.0, 18, regularization, -0.067197069117, 0.0740491897655, 0.907465285304, 0.0331086138701, 0.156229724193, 0.211922628944
0, 7.0, 19, regularization, -0.0670647042944, 0.0369291048745, 1.81603926015, 0.028369622664, 0.041413910557, 0.685026414614
0, 7.0, 20, regularization, -0.0672506473518, 0.0206546648802, 3.25595441716, 0.032203504761, 0.00827417920531, 3.89204825783
0, 11.0, 16, no_regularization, -0.0395696610743, 0.484854861285, 0.0816113526622, -0.13928579031, 0.697222183941, 0.199772459222
