hamming_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 1.0, 16, no_regularization, -0.00958526518531, 0.00244715753948, 3.91689747419, 0.00480234217259, 0.00668110458697, 0.718794640927
0, 1.0, 17, no_regularization, -0.00960602704637, 0.00240272510882, 3.99797172431, 0.00493880249283, 0.0067208189027, 0.734851297785
0, 1.0, 18, no_regularization, -0.00958492684386, 0.00240438158674, 3.9864416267, 0.00490332302465, 0.00703624785876, 0.696866159787
0, 1.0, 19, no_regularization, -0.00956482880107, 0.00238625369758, 4.00830339656, 0.00471309833688, 0.00684628857993, 0.688416545966
0, 1.0, 20, no_regularization, -0.0095858671702, 0.00246882990208, 3.8827572374, 0.00484520898823, 0.0067044254631, 0.722688172894
0, 1.0, 16, regularization, -0.00959033388353, 0.0023493182447, 4.08217741687, 0.00479117139514, 0.00363293943293, 1.31881400271
0, 1.0, 17, regularization, -0.00961190330221, 0.00234795584152, 4.09373257037, 0.00502665985423, 0.00374063356642, 1.34379905569
0, 1.0, 18, regularization, -0.00959603106501, 0.00230059558613, 4.17110730928, 0.00494481763933, 0.00347009212185, 1.42498166207
0, 1.0, 19, regularization, -0.00957779462824, 0.00233774438404, 4.09702390631, 0.00476873240054, 0.00361993074517, 1.31735459495
0, 1.0, 20, regularization, -0.00959059261264, 0.00234360761855, 4.09223478228, 0.00499648563565, 0.00381506489251, 1.30967251578
0, 7.0, 11, no_regularization, -0.0623995179127, 0.181650369658, 0.343514400935, 0.0239356837314, 0.18196038018, 0.131543381629
0, 7.0, 12, no_regularization, -0.0637731024042, 0.134717298327, 0.473384659551, 0.0229055014802, 0.149536824997, 0.15317632617
0, 7.0, 13, no_regularization, -0.0674618924265, 0.094907023945, 0.710820860484, 0.0289492259523, 0.102175073795, 0.283329630967
0, 7.0, 14, no_regularization, -0.0488622005678, 0.176679085369, 0.276559053188, 0.0252820075473, 0.159380564757, 0.158626665591
0, 7.0, 15, no_regularization, -0.067389467658, 0.104315840569, 0.646013752948, 0.0278580897429, 0.120186100478, 0.231791277295
0, 7.0, 11, regularization, -0.0605264961159, 0.103615083827, 0.584147537986, 0.028770926467, 0.0958329287266, 0.300219630657
0, 7.0, 12, regularization, -0.0643812988298, 0.0372953693612, 1.72625449037, 0.0261773950974, 0.0512361157998, 0.510916854035
0, 7.0, 13, regularization, -0.067075403752, 0.0207451027631, 3.23331267711, 0.0311954507613, 0.00899247463543, 3.46906185739
0, 7.0, 14, regularization, -0.0540849911089, 0.0807162332187, 0.670063368323, 0.0298287539321, 0.0744755057242, 0.400517641902
0, 7.0, 15, regularization, -0.0670440523148, 0.0284168313049, 2.35930781991, 0.0288872401445, 0.0426343297985, 0.677558209101
0, 9.0, 11, no_regularization, 0.017775596804, 0.516915255624, 0.0343878355505, -0.102559735942, 0.860242579247, 0.119221878126
0, 9.0, 12, no_regularization, -0.0753869443165, 0.278455606159, 0.270732363253, 0.0164891749059, 0.265496259325, 0.0621069952089
0, 9.0, 13, no_regularization, -0.0133231084522, 0.597452709303, 0.0222998544399, 0.00330027151808, 0.469075303837, 0.00703569659516
0, 9.0, 14, no_regularization, -0.00290183360586, 0.571777189433, 0.00507511257791, -0.0586368503714, 0.670091626996, 0.0875057201271
0, 9.0, 15, no_regularization, -0.0222213062152, 0.616876248979, 0.0360223079621, -0.0670567495252, 0.64600457356, 0.10380228294
0, 9.0, 11, regularization, 0.0223020651761, 0.432795681603, 0.0515302396121, -0.0942322010079, 0.807167007265, 0.116744366605
0, 9.0, 12, regularization, -0.071829016014, 0.189452892932, 0.379139188124, 0.0348515936164, 0.16359751815, 0.213032532587
0, 9.0, 13, regularization, -0.00843538902383, 0.550833415324, 0.0153138658425, 0.00136640897141, 0.403809343439, 0.00338379731328
0, 9.0, 14, regularization, -0.00736223004525, 0.463068700097, 0.0158987857389, -0.0531900427158, 0.632903678281, 0.0840412918129
0, 9.0, 15, regularization, -0.0180195757613, 0.566897341327, 0.0317863119963, -0.0683565949081, 0.590082693218, 0.115842399199
0, 9.0, 26, no_regularization, -0.0866168491817, 0.164023841656, 0.528074750032, 0.0347193184941, 0.173821164426, 0.19974160574
0, 9.0, 27, no_regularization, 0.013835551398, 0.582209550549, 0.0237638688423, -0.0713545794098, 0.703589171066, 0.101415118857
0, 9.0, 28, no_regularization, 0.000538152448144, 0.339603476688, 0.00158464940757, -0.244521939409, 0.550269554327, 0.444367560382
0, 9.0, 29, no_regularization, 0.00398873743616, 0.475477122773, 0.00838891556526, -0.273116535113, 0.723436205015, 0.377526771843
0, 9.0, 30, no_regularization, -0.0557368442355, 0.457640305805, 0.121791816692, -0.0984163999155, 0.534990162989, 0.18395927014
0, 9.0, 26, regularization, -0.0864865376272, 0.0645126560636, 1.34061349981, 0.037747367459, 0.0821506626984, 0.459489506464
0, 9.0, 27, regularization, 0.0134402418063, 0.491748736952, 0.0273315227805, -0.0624407644832, 0.680803250085, 0.0917163137446
0, 9.0, 28, regularization, -0.00197715654195, 0.232082539562, 0.00851919556585, -0.245495010868, 0.512473437299, 0.479039483807
0, 9.0, 29, regularization, 0.00764038985028, 0.382874116879, 0.0199553574229, -0.265122112816, 0.703518007949, 0.376851921089
0, 9.0, 30, regularization, -0.0551445744309, 0.391217140264, 0.140956437629, -0.0891638492453, 0.449960330167, 0.198159355986
0, 1.0, 21, no_regularization, -0.00957018281503, 0.00240540059892, 3.97862327768, 0.00487005491951, 0.00679964064304, 0.716222396913
