welch, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 7.0, 6, no_regularization, -0.0254134369732, 0.444265115747, 0.0572033141302, -0.0510517661942, 0.648074901621, 0.0787744843483
0, 7.0, 7, no_regularization, -0.00884078969707, 0.443784755664, 0.0199213460675, -0.178797334632, 0.783486456044, 0.228207307545
0, 7.0, 8, no_regularization, -0.0333633414376, 0.303934679227, 0.109771420367, 0.0179799390635, 0.370151894016, 0.04857448889
0, 7.0, 9, no_regularization, -0.0544537243829, 0.177654622072, 0.306514537859, 0.042165114588, 0.205358502663, 0.205324415796
0, 7.0, 10, no_regularization, -0.00154067988485, 0.488759050869, 0.00315222783519, 0.0442906453514, 0.681036530103, 0.0650341698187
0, 7.0, 6, regularization, -0.0199210343406, 0.374717104422, 0.0531628636789, -0.0278271293026, 0.632889209603, 0.0439684053392
0, 7.0, 7, regularization, -0.00712557027947, 0.317633387216, 0.0224333164153, -0.153544055899, 0.709808723697, 0.216317510299
0, 7.0, 8, regularization, -0.0293452690385, 0.225060397476, 0.130388417365, 0.0143524759165, 0.32969176986, 0.0435330124334
0, 7.0, 9, regularization, -0.0516639662396, 0.139942174895, 0.369180815421, 0.0426847688317, 0.171931100754, 0.248266710587
0, 7.0, 10, regularization, -0.00296568134474, 0.423650796481, 0.00700029687036, 0.0474605034728, 0.662640507355, 0.0716233054665
0, 0.5, 16, no_regularization, -0.00612524810536, 0.00061038693852, 10.0350248651, 0.00297715988096, 0.0034002386726, 0.875573795732
0, 0.5, 17, no_regularization, -0.00616560144497, 0.000601948391375, 10.2427409614, 0.00296157291408, 0.00394673734952, 0.750385103391
0, 0.5, 18, no_regularization, -0.00538053170879, 0.00052658812874, 10.217723141, 0.00278212350849, 0.00293656717456, 0.947406731434
0, 0.5, 19, no_regularization, -0.00612075634155, 0.000645892833847, 9.47642708016, 0.00304642907176, 0.00346856172054, 0.87829749539
0, 0.5, 20, no_regularization, -0.00631991443851, 0.000645534030576, 9.79021111075, 0.00314382580539, 0.00377330563666, 0.83317549865
0, 0.5, 16, regularization, -0.00611916025785, 0.000832629136058, 7.3492026556, 0.00282212042054, 0.00211952182318, 1.3314892018
0, 0.5, 17, regularization, -0.00617787055036, 0.000826854328088, 7.47153439306, 0.00297757559986, 0.00199763257795, 1.49055218298
0, 0.5, 18, regularization, -0.00534348901877, 0.0010801224043, 4.94711432474, 0.00240016499313, 0.0021674180236, 1.10738443946
0, 0.5, 19, regularization, -0.00610237121564, 0.000931389913168, 6.55189746997, 0.00290607282396, 0.001902142564, 1.52778917782
0, 0.5, 20, regularization, -0.00634846177239, 0.000818160519378, 7.75943304771, 0.0033487493876, 0.00216494259887, 1.54680747164
0, 7.0, 21, no_regularization, -0.0285320498172, 0.301241388668, 0.0947149060205, 0.0182413258143, 0.419528482119, 0.0434805420651
0, 7.0, 22, no_regularization, 0.0071923737721, 0.504293557959, 0.0142622757293, 0.0545669541851, 0.746114261783, 0.0731348494192
0, 7.0, 23, no_regularization, 0.0260066815599, 0.564863095486, 0.0460406809503, 0.015326094357, 0.499360832938, 0.0306914226069
0, 7.0, 24, no_regularization, -0.0514676105104, 0.174666599168, 0.294662006105, 0.0348074503965, 0.173316616766, 0.200831582372
