hamming, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 0.5, 21, no_regularization, -0.00614663529094, 0.000669848340786, 9.17615961208, 0.00340213098458, 0.00781093877966, 0.435559806644
0, 0.5, 22, no_regularization, -0.00579584434895, 0.000651082690259, 8.90185599412, 0.00366490280983, 0.00747541084308, 0.490261055448
0, 0.5, 23, no_regularization, -0.005326761448, 0.000746046869609, 7.13998230539, 0.0024212540327, 0.00711086773444, 0.340500501925
0, 0.5, 24, no_regularization, -0.00611742076509, 0.000615465187952, 9.93950735938, 0.00371112795517, 0.00751941078114, 0.493539728469
0, 0.5, 25, no_regularization, -0.00569609295793, 0.000573684481663, 9.92896468355, 0.00320208940792, 0.00726129715681, 0.440980356369
0, 0.5, 21, regularization, -0.00617083312656, 0.000739754252983, 8.34173389565, 0.00310437542026, 0.00205519135719, 1.51050431845
0, 0.5, 22, regularization, -0.00579561145187, 0.000955277436353, 6.06694058848, 0.00297991813588, 0.00224426634253, 1.32779166153
0, 0.5, 23, regularization, -0.00526682853395, 0.00106639040048, 4.93893093149, 0.00245649525302, 0.00232013992216, 1.058770305
0, 0.5, 24, regularization, -0.00610267973641, 0.000802803098586, 7.60171422751, 0.00291393142116, 0.00204371226532, 1.4258031674
0, 0.5, 25, regularization, -0.00569749376314, 0.000910305118256, 6.25888358626, 0.00292029580287, 0.00227108472806, 1.28585946918
0, 3.0, 26, no_regularization, -0.0346565818048, 0.00228711502044, 15.1529684756, 0.021560084769, 0.0182614769666, 1.18063203805
0, 3.0, 27, no_regularization, -0.0344194066165, 0.00261265539284, 13.1741088821, 0.0206230592401, 0.0179200730133, 1.15083567041
0, 3.0, 28, no_regularization, -0.0340980402093, 0.0335178735351, 1.01730917308, 0.021844814406, 0.0676206771799, 0.323049329245
0, 3.0, 29, no_regularization, -0.0345742584627, 0.00192233030522, 17.985597152, 0.020683929843, 0.01633538653, 1.26620388229
0, 3.0, 30, no_regularization, -0.0343720450409, 0.0024355953256, 14.1123792937, 0.0216413768354, 0.0196069918645, 1.10375813817
0, 3.0, 26, regularization, -0.034651762452, 0.00190379067257, 18.2014561534, 0.0180376191058, 0.0038508876615, 4.68401591823
0, 3.0, 27, regularization, -0.0344222355227, 0.00214412222002, 16.0542319842, 0.0181868781993, 0.00410415565627, 4.43133246457
0, 3.0, 28, regularization, -0.0342132556638, 0.00348825376606, 9.80813265271, 0.0183173999031, 0.00607490781189, 3.01525561709
0, 3.0, 29, regularization, -0.0345785991152, 0.00166562687725, 20.7601111554, 0.0179780910873, 0.00336151210165, 5.34821548863
0, 3.0, 30, regularization, -0.0343651528515, 0.001901171658, 18.0757759074, 0.0182626834622, 0.00383605097877, 4.76080311843
0, 5.0, 11, no_regularization, -0.055600491389, 0.0467907923094, 1.18827847627, 0.033392828783, 0.060574373529, 0.551269899094
0, 5.0, 12, no_regularization, -0.0554154289618, 0.00208865711898, 26.5316065802, 0.032129524274, 0.0189147991589, 1.69864474923
0, 5.0, 13, no_regularization, -0.0557888733145, 0.00213719230391, 26.1038153714, 0.0326512002433, 0.0185186460101, 1.76315267463
0, 5.0, 14, no_regularization, -0.0561718180821, 0.00267690993761, 20.9838281419, 0.0331176906537, 0.0199986596612, 1.65599551244
0, 5.0, 15, no_regularization, -0.0560502759548, 0.00230129534923, 24.3559680306, 0.0332926318668, 0.0202266297174, 1.64598019205
0, 5.0, 11, regularization, -0.0557711496613, 0.00354074423254, 15.7512505842, 0.0300306869926, 0.00723682715306, 4.14970350369
0, 5.0, 12, regularization, -0.0554356392319, 0.00231347973151, 23.9620163846, 0.0290282519409, 0.00557415327057, 5.20765227145
0, 5.0, 13, regularization, -0.0557740054416, 0.00216303598028, 25.7850567212, 0.0290201041571, 0.00546381206634, 5.3113291242
0, 5.0, 14, regularization, -0.0561586865369, 0.00263258007422, 21.332185519, 0.0297444989473, 0.00587695262841, 5.0612112821
0, 5.0, 15, regularization, -0.0560504074004, 0.00241137526033, 23.2441662327, 0.029857181803, 0.0061329130886, 4.86835234279
