blackman, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 9.0, 21, no_regularization, -0.00520238030658, 0.528555252828, 0.00984264233256, -0.0856025625644, 0.93323670931, 0.0917265273756
0, 9.0, 22, no_regularization, -0.000439567452622, 0.431589403295, 0.0010184852762, 0.0299801983681, 0.524723427457, 0.0571352388695
0, 9.0, 23, no_regularization, 0.012878956972, 0.339899257668, 0.0378905122076, -0.0514812425269, 0.379646292743, 0.135603174615
0, 9.0, 24, no_regularization, -0.0856974713959, 0.191713935581, 0.447007001009, 0.0493244832331, 0.195946927091, 0.251723688477
0, 9.0, 25, no_regularization, 0.00813517644472, 0.564211305307, 0.0144186696867, -0.029667719412, 0.703201562525, 0.0421894958616
0, 9.0, 21, regularization, -0.0129795738615, 0.445550507375, 0.0291315432183, -0.099355622767, 0.898360805487, 0.110596568951
0, 9.0, 22, regularization, -0.00237194717352, 0.321503789951, 0.00737766473571, 0.0270510665418, 0.454991921577, 0.0594539490899
0, 9.0, 23, regularization, 0.0097498596981, 0.230618766685, 0.0422769570674, -0.0595062884964, 0.33758024017, 0.176273020205
0, 9.0, 24, regularization, -0.0858025720803, 0.132188289115, 0.64909359713, 0.0465456765503, 0.176120674369, 0.264282865808
0, 9.0, 25, regularization, 0.0109563256646, 0.516479572282, 0.021213473393, -0.0349761238571, 0.694708714888, 0.0503464590375
0, 0.5, 16, no_regularization, -0.00613347948285, 0.000521671866216, 11.7573514695, 0.00302228022223, 0.0024195983424, 1.24908344053
0, 0.5, 17, no_regularization, -0.00615185495754, 0.000532357717968, 11.5558669479, 0.00304361667755, 0.00287962631584, 1.05694848696
0, 0.5, 18, no_regularization, -0.00538405119217, 0.000450915232448, 11.940273481, 0.00270910648937, 0.00177545470508, 1.52586629308
0, 0.5, 19, no_regularization, -0.00612800719527, 0.000547927168525, 11.1839812794, 0.00312586884049, 0.00246126598213, 1.27002480154
0, 0.5, 20, no_regularization, -0.00631099802498, 0.000594977897977, 10.6071133843, 0.00327542775652, 0.00277498992251, 1.18033861311
0, 0.5, 16, regularization, -0.00611869091176, 0.000871876787441, 7.01783898813, 0.00284553464663, 0.0023296664953, 1.22143433507
0, 0.5, 17, regularization, -0.00618071774332, 0.000843243136216, 7.32969825413, 0.00297869184557, 0.00223103183777, 1.33511848426
0, 0.5, 18, regularization, -0.00534106293706, 0.00111036399453, 4.81019103947, 0.00238645733532, 0.00227973338221, 1.04681422571
0, 0.5, 19, regularization, -0.00610071931586, 0.000962152595137, 6.3406982912, 0.00290923965547, 0.00210770468443, 1.38028808161
0, 0.5, 20, regularization, -0.00634923264815, 0.000848052120679, 7.48684248683, 0.00340505393315, 0.00249161273498, 1.36660640931
0, 3.0, 26, no_regularization, -0.0346576198025, 0.00227613061322, 15.2265514119, 0.0215117693364, 0.0154672725636, 1.39079267194
0, 3.0, 27, no_regularization, -0.0344248077821, 0.00261064795201, 13.1863079262, 0.0203983720286, 0.0154396729976, 1.32116606562
0, 3.0, 28, no_regularization, -0.034105738517, 0.0335296783977, 1.01718060377, 0.0221531720736, 0.0666882384466, 0.332190092131
0, 3.0, 29, no_regularization, -0.0345776375858, 0.00186487723989, 18.5415087097, 0.0208727160684, 0.0143885295989, 1.4506496946
0, 3.0, 30, no_regularization, -0.0343672856741, 0.00240227850095, 14.3061204854, 0.0217792482267, 0.0176528416302, 1.23375310803
0, 3.0, 26, regularization, -0.034653054683, 0.0019014684024, 18.2243652533, 0.0180319819462, 0.00400968155359, 4.4971107319
0, 3.0, 27, regularization, -0.0344204036605, 0.00213653502766, 16.110385842, 0.0182085151648, 0.0042615768515, 4.27271777544
0, 3.0, 28, regularization, -0.0342131845782, 0.00349292521216, 9.79499488254, 0.0183218937069, 0.00618291960498, 2.96330777004
0, 3.0, 29, regularization, -0.0345789732053, 0.00165753358764, 20.8617028717, 0.0179839745047, 0.00357840569072, 5.02569469731
0, 3.0, 30, regularization, -0.034367358638, 0.00190467894544, 18.0436491516, 0.0182676078805, 0.0040007501437, 4.56604567251
0, 1.0, 11, no_regularization, -0.0115756877877, 0.00109167610534, 10.6035917898, 0.00623920497278, 0.00501120196949, 1.24505158857
0, 1.0, 12, no_regularization, -0.0112168519867, 0.000890873048239, 12.590853443, 0.00574414564991, 0.00451177049201, 1.273146686
0, 1.0, 13, no_regularization, -0.0113554621996, 0.00100372835947, 11.3132822167, 0.00569377049735, 0.00532744021893, 1.06876290739
0, 1.0, 14, no_regularization, -0.0118787962631, 0.000788713813559, 15.0609714942, 0.0061182020231, 0.00364353959849, 1.67919185663
0, 1.0, 15, no_regularization, -0.0119361666114, 0.00066314166202, 17.9994219863, 0.00618826938083, 0.00330082900516, 1.87476217979
0, 1.0, 11, regularization, -0.0115901193982, 0.000990915135023, 11.696379426, 0.00585059725314, 0.0028541320512, 2.04986915398
0, 1.0, 12, regularization, -0.011221011742, 0.000884722850639, 12.6830811863, 0.00558657398015, 0.00263007294731, 2.1241137003
0, 1.0, 13, regularization, -0.0113325394537, 0.000917569514606, 12.3506058923, 0.00524988653473, 0.00257738754159, 2.03690227023
0, 1.0, 14, regularization, -0.0118734577653, 0.00073859253374, 16.0757890486, 0.00596372714801, 0.00243648061357, 2.44768093569
0, 1.0, 15, regularization, -0.0119068920099, 0.000680806330248, 17.4893967358, 0.00592648383072, 0.00294484781317, 2.01249239578
0, 7.0, 26, no_regularization, -0.0454799729585, 0.252281725679, 0.180274543612, 0.0451350656118, 0.273678897708, 0.164919787348
