cosine_window, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 5.0, 11, no_regularization, -0.0555926232997, 0.0467627632722, 1.18882246064, 0.033321235946, 0.0604421253481, 0.551291599263
0, 5.0, 12, no_regularization, -0.0554120371187, 0.00204900370239, 27.0434050725, 0.0323120102042, 0.0160240754253, 2.01646643232
0, 5.0, 13, no_regularization, -0.0557812327008, 0.00208799752368, 26.7151814445, 0.032586218162, 0.017231753257, 1.89105645119
0, 5.0, 14, no_regularization, -0.0561708173566, 0.00267582891446, 20.9919315293, 0.0329794095153, 0.0178134895102, 1.85137277547
0, 5.0, 15, no_regularization, -0.0560507933361, 0.0023004534662, 24.3651063408, 0.0337985828286, 0.0178704872388, 1.89130729212
0, 5.0, 11, regularization, -0.0557698288342, 0.00354316049852, 15.7401362025, 0.0300310209299, 0.00721684756294, 4.16123808463
0, 5.0, 12, regularization, -0.0554358513098, 0.00232739826967, 23.818807478, 0.0290250404258, 0.00557271071955, 5.20842403032
0, 5.0, 13, regularization, -0.0557745368149, 0.00217395735454, 25.6557639911, 0.0290162579027, 0.00547794244592, 5.29692638964
0, 5.0, 14, regularization, -0.0561586387788, 0.00263811801466, 21.287386867, 0.0297384389847, 0.00588342272011, 5.05461538282
0, 5.0, 15, regularization, -0.0560509724869, 0.00242413888193, 23.1220137199, 0.0298534591579, 0.0061178957415, 4.87969400254
0, 9.0, 1, no_regularization, -0.00590109653009, 0.456852196181, 0.0129168614695, 0.000896532143942, 0.681374952041, 0.00131576915362
0, 9.0, 2, no_regularization, 0.0159511529367, 0.518717367523, 0.0307511449113, -0.038494506352, 0.883927908927, 0.0435493731596
0, 9.0, 3, no_regularization, -0.00785609540634, 0.319048134311, 0.0246235428498, -0.0754242100853, 0.41839770549, 0.180269177138
0, 9.0, 4, no_regularization, -0.0242025775899, 0.495944378657, 0.0488009918682, -0.0401401434225, 0.748626455966, 0.0536183875183
0, 9.0, 5, no_regularization, -0.0454707821876, 0.524993776364, 0.0866120404371, -0.0584668177298, 0.745439522151, 0.078432677625
0, 9.0, 1, regularization, -0.00104797125824, 0.327941349807, 0.00319560573515, 0.0059249082146, 0.631990841027, 0.00937499063273
0, 9.0, 2, regularization, 0.021467792024, 0.428433077117, 0.0501076904905, -0.0467943898494, 0.849865745172, 0.0550609200515
0, 9.0, 3, regularization, -0.00946730530211, 0.26421962647, 0.035831196299, -0.0560519577252, 0.364986859182, 0.153572536422
0, 9.0, 4, regularization, -0.0288188964783, 0.40219254613, 0.071654476831, -0.0397052119514, 0.725699781324, 0.0547129997462
0, 9.0, 5, regularization, -0.0417484488798, 0.460805952409, 0.0905987621504, -0.0590741494826, 0.68900261585, 0.0857386432557
0, 9.0, 21, no_regularization, -0.00550297288925, 0.546116628018, 0.0100765525291, -0.100996173875, 0.843190115893, 0.119778650118
0, 9.0, 22, no_regularization, -0.000436656797036, 0.43162488324, 0.00101165807161, 0.0303707243908, 0.524318806513, 0.0579241560927
0, 9.0, 23, no_regularization, 0.0128849745024, 0.339919694318, 0.0379059369545, -0.0513802000591, 0.37894902853, 0.135586045064
0, 9.0, 24, no_regularization, -0.0856900073192, 0.191671274345, 0.447067551525, 0.0492515915803, 0.196244557868, 0.250970483541
0, 9.0, 25, no_regularization, 0.00813887875387, 0.564212485345, 0.0144252014361, -0.0295906258093, 0.703597267338, 0.0420561977469
0, 9.0, 21, regularization, -0.0129748202278, 0.445622347457, 0.0291161794327, -0.0993203738053, 0.898784326775, 0.110505235624
0, 9.0, 22, regularization, -0.0023739267505, 0.321521076795, 0.00738342498155, 0.0271435656762, 0.455104650697, 0.0596424704397
0, 9.0, 23, regularization, -0.0381173803276, 0.373075318994, 0.102170737079, -0.0186660894189, 0.756048032107, 0.0246890258636
0, 9.0, 24, regularization, -0.0858044258659, 0.132168995869, 0.64920237384, 0.0465844161135, 0.175908079167, 0.264822493283
0, 9.0, 25, regularization, 0.0109532369173, 0.516377504822, 0.0212116848913, -0.0349728828118, 0.694578534669, 0.050351228934
0, 3.0, 6, no_regularization, -0.0347679919126, 0.00138817152414, 25.0458904451, 0.02059344299, 0.0135187667011, 1.52332261111
0, 3.0, 7, no_regularization, -0.0344288715401, 0.00171181675893, 20.1124748666, 0.0214944309985, 0.0162851034772, 1.31988298561
0, 3.0, 8, no_regularization, -0.0345615941223, 0.0024087813935, 14.3481655145, 0.0204668539585, 0.0154216112663, 1.32715405706
0, 3.0, 9, no_regularization, -0.0344513732049, 0.00139741184757, 24.6537005285, 0.0208572094368, 0.0136318839411, 1.53003132413
0, 3.0, 10, no_regularization, -0.0349410409863, 0.0026782480783, 13.046230209, 0.0200340695254, 0.0168272111384, 1.19057575024
0, 3.0, 6, regularization, -0.0347656976023, 0.00134399735991, 25.8673853382, 0.0178431880812, 0.00310860737258, 5.73992979578
0, 3.0, 7, regularization, -0.0344203999253, 0.00153677889437, 22.3977567959, 0.0177856075808, 0.00360618580066, 4.93197205133
0, 3.0, 8, regularization, -0.0345733043767, 0.00197175179501, 17.5343085596, 0.0181530326475, 0.00457327452199, 3.96937305211
0, 3.0, 9, regularization, -0.0344444159947, 0.00129655794555, 26.5660444356, 0.0179126935218, 0.00316833782138, 5.65365643805
0, 3.0, 10, regularization, -0.0349218284661, 0.00212674847351, 16.4202908342, 0.0184024631418, 0.00503664659881, 3.65371339458
0, 3.0, 11, no_regularization, -0.0343548538206, 0.00256201399453, 13.4093154424, 0.0213514278415, 0.0186483947874, 1.14494722387
