lanczos, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 1.0, 21, no_regularization, -0.0119640795924, 0.00106643238629, 11.2187886885, 0.00659296123836, 0.0075621003575, 0.87184260016
0, 1.0, 22, no_regularization, -0.0119402266452, 0.000948827780285, 12.5841874503, 0.00612642329327, 0.00685924943014, 0.89316234315
0, 1.0, 23, no_regularization, -0.0119278323977, 0.00125673092243, 9.49115851677, 0.00612386310502, 0.00792010443581, 0.77320484277
0, 1.0, 24, no_regularization, -0.0120626420257, 0.000723996854137, 16.661180165, 0.00635215723214, 0.00584341360573, 1.08706274461
0, 1.0, 25, no_regularization, -0.0120516068367, 0.000752032607637, 16.0253780412, 0.00644587769648, 0.00626606745507, 1.0286958675
0, 1.0, 21, regularization, -0.0119765410233, 0.000934011352985, 12.8226931986, 0.00616663359031, 0.00259169002532, 2.37938701391
0, 1.0, 22, regularization, -0.0119252277543, 0.000836042675326, 14.2638983705, 0.0057931986411, 0.00253151997808, 2.28842698903
0, 1.0, 23, regularization, -0.011946815453, 0.00108030462476, 11.0587469305, 0.00579116930486, 0.00291414275852, 1.98726342007
0, 1.0, 24, regularization, -0.0120371971082, 0.000732562134886, 16.431639768, 0.00600210383981, 0.0022665319787, 2.64814434397
0, 1.0, 25, regularization, -0.0120440516106, 0.000700685076766, 17.1889654995, 0.00567808851779, 0.00196419956737, 2.89079002568
0, 1.0, 11, no_regularization, -0.01157559192, 0.00111645023751, 10.3682112566, 0.00628961800349, 0.0073482572801, 0.855933286457
0, 1.0, 12, no_regularization, -0.0112174553304, 0.000910412713042, 12.3212859066, 0.00567635787815, 0.0068958717832, 0.823153048172
0, 1.0, 13, no_regularization, -0.0113542720979, 0.00102525946978, 11.0745352103, 0.00584632775705, 0.00732301993413, 0.798349288905
0, 1.0, 14, no_regularization, -0.0118806453978, 0.000803576784851, 14.7847046128, 0.00634137486991, 0.00643643335644, 0.985231186083
0, 1.0, 15, no_regularization, -0.0119394631155, 0.000706994404672, 16.8876345224, 0.00629850469798, 0.00587111229632, 1.0727958145
0, 1.0, 11, regularization, -0.0115883992597, 0.00100680702775, 11.5100500298, 0.00582432214021, 0.00243838643533, 2.3885968425
0, 1.0, 12, regularization, -0.0112217248297, 0.000915412417303, 12.2586548069, 0.00559283885583, 0.00228484954285, 2.44779306074
0, 1.0, 13, regularization, -0.0113311777579, 0.000946443566613, 11.9723754882, 0.00523650245709, 0.00228427689616, 2.29241142608
0, 1.0, 14, regularization, -0.0118726856256, 0.000752703289564, 15.7733940986, 0.00597257578277, 0.00219737807797, 2.71804649489
0, 1.0, 15, regularization, -0.0119056529914, 0.000700739762382, 16.9901204848, 0.00594555163196, 0.00264409739864, 2.24861294255
0, 9.0, 6, no_regularization, 0.0165138612543, 0.578955161063, 0.028523558239, 0.0706472949012, 0.722843179193, 0.0977352999029
0, 9.0, 7, no_regularization, 0.00313530685547, 0.300634607037, 0.0104289618762, 0.055356292014, 0.434955116357, 0.127268975424
0, 9.0, 8, no_regularization, -0.000768849665551, 0.545461922056, 0.0014095386579, -0.0336929334762, 0.724795433358, 0.0464861282585
0, 9.0, 9, no_regularization, -0.0115155407628, 0.326440335849, 0.0352760964201, -0.112803125316, 0.364744261518, 0.309266346911
0, 9.0, 10, no_regularization, -0.00102950976253, 0.314791458559, 0.00327045011718, -0.00806628622645, 0.517562075061, 0.0155851570568
0, 9.0, 6, regularization, 0.0167888870252, 0.518038791606, 0.0324085518252, 0.0633136107496, 0.65292930719, 0.0969685539497
0, 9.0, 7, regularization, -0.0025217039811, 0.212840036143, 0.0118478836351, 0.0417092184138, 0.397735835857, 0.104866634217
0, 9.0, 8, regularization, 0.00159687435746, 0.462679556777, 0.0034513613884, -0.0280483282698, 0.704533067549, 0.0398112303903
0, 9.0, 9, regularization, -0.0112116971632, 0.221066799484, 0.050716331848, -0.109058143171, 0.32854091842, 0.331946911499
0, 9.0, 10, regularization, -4.98875439096e-05, 0.229395360976, 0.000217474074878, -0.010950392468, 0.473778668178, 0.0231128862559
0, 0.5, 1, no_regularization, -0.00679880886813, 0.000568518550579, 11.9588162272, 0.00305026234532, 0.00439078765612, 0.694695937088
0, 0.5, 2, no_regularization, -0.00597289092753, 0.000474932248047, 12.5763010452, 0.002798175367, 0.0040674956309, 0.687935678588
0, 0.5, 3, no_regularization, -0.00645305982392, 0.000527943329718, 12.2230161093, 0.00306799749724, 0.00406041596303, 0.755586995317
0, 0.5, 4, no_regularization, -0.00619608213584, 0.000496267956891, 12.4853560457, 0.00308126400932, 0.00377720031962, 0.815753401619
0, 0.5, 5, no_regularization, -0.0060945881745, 0.000525276817022, 11.6026216597, 0.00298886826495, 0.00441225001151, 0.677402290703
0, 0.5, 1, regularization, -0.00680152906109, 0.000694641889334, 9.79141794574, 0.00311393165156, 0.00199987227229, 1.55706526597
0, 0.5, 2, regularization, -0.00598973272536, 0.000755664767027, 7.92644170632, 0.00271761910686, 0.00221504003496, 1.22689389987
0, 0.5, 3, regularization, -0.00645704673296, 0.00068188887992, 9.46935332589, 0.00309040698383, 0.00191144468632, 1.61679121868
0, 0.5, 4, regularization, -0.00621249884888, 0.000779071680185, 7.97423267576, 0.00312577656277, 0.00207677858096, 1.50510824381
0, 0.5, 5, regularization, -0.00612878172033, 0.000737299110386, 8.3124767601, 0.00305713974445, 0.00202404836112, 1.51040844833
0, 11.0, 1, no_regularization, -0.0829495867963, 0.593859644915, 0.139678773439, -0.00638732704105, 0.726797294753, 0.00878831977934
