parabolic, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 11.0, 16, no_regularization, -0.0257556289271, 0.499882492127, 0.0515233666567, -0.0841368944785, 0.783461692922, 0.107391203984
0, 11.0, 17, no_regularization, 0.0111395678166, 0.500982019672, 0.0222354643066, 0.0569613454954, 0.783180271793, 0.072730822707
0, 11.0, 18, no_regularization, 0.00452911591125, 0.434199866927, 0.0104309472578, 0.0494178347802, 0.81097107493, 0.0609366182198
0, 11.0, 19, no_regularization, -0.0183024807281, 0.400028433048, 0.0457529495807, 0.00209166766036, 0.593507170248, 0.00352425002631
0, 11.0, 20, no_regularization, -0.033379777357, 0.459101432448, 0.0727067593299, -0.0165260786312, 0.667445677054, 0.0247601852845
0, 11.0, 16, regularization, 0.00696580558265, 0.30462075265, 0.022867140607, -0.150187970274, 0.813269742061, 0.184671779247
0, 11.0, 17, regularization, -0.00484013882162, 0.282152572902, 0.017154331686, -0.0500531147214, 0.778626758646, 0.0642838358246
0, 11.0, 18, regularization, 0.00972663775346, 0.3451996502, 0.0281768470734, 0.00886620560614, 0.545197122432, 0.0162623851839
0, 11.0, 19, regularization, -0.0177274513531, 0.273593245135, 0.0647949160598, 0.00530566427634, 0.541975780586, 0.00978948592613
0, 11.0, 20, regularization, -0.00569991548617, 0.363874065158, 0.0156645280111, -0.0378245219109, 0.658662137445, 0.0574262884726
0, 1.0, 16, no_regularization, -0.0118980875535, 0.000918186023497, 12.9582538277, 0.00585869425008, 0.00887161423746, 0.660386497121
0, 1.0, 17, no_regularization, -0.0118289712005, 0.00105912293864, 11.1686479151, 0.00640538924503, 0.00954077556043, 0.67136986972
0, 1.0, 18, no_regularization, -0.0117460177646, 0.000912308648909, 12.8750481306, 0.00575316324348, 0.00819504616665, 0.702029387814
0, 1.0, 19, no_regularization, -0.0119877677694, 0.00107768057712, 11.1236743279, 0.00638786982854, 0.00912192278008, 0.700276683167
0, 1.0, 20, no_regularization, -0.0118706138689, 0.00123144683162, 9.63956669837, 0.00641552206334, 0.00939386673109, 0.682947953914
0, 1.0, 16, regularization, -0.0119083886108, 0.000778393196446, 15.2986802366, 0.00553508190968, 0.00272593101106, 2.03052897789
0, 1.0, 17, regularization, -0.0118012735827, 0.000778953097174, 15.1501722318, 0.00593087883279, 0.00296170526411, 2.00252162315
0, 1.0, 18, regularization, -0.0117330568242, 0.000741477551749, 15.8238867739, 0.00558585933616, 0.00274603584464, 2.03415383199
0, 1.0, 19, regularization, -0.0119932110227, 0.000873390109612, 13.7317916596, 0.00603998054421, 0.00284860696654, 2.12032780062
0, 1.0, 20, regularization, -0.0118537458998, 0.000970920359436, 12.2087726193, 0.00592070131696, 0.00278913898568, 2.12277026973
0, 3.0, 11, no_regularization, -0.0343608335529, 0.00265126067638, 12.9601867742, 0.0212151816427, 0.0204807575042, 1.03585922729
0, 3.0, 12, no_regularization, -0.0338496182072, 0.00155513379872, 21.7663703502, 0.020285227702, 0.0156746000209, 1.29414643276
0, 3.0, 13, no_regularization, -0.0340259999449, 0.00181986361158, 18.6970054944, 0.0197773446447, 0.0152648468415, 1.29561369663
0, 3.0, 14, no_regularization, -0.0346558714703, 0.00199545469303, 17.3674058305, 0.0209158458396, 0.0160387788524, 1.30407969535
0, 3.0, 15, no_regularization, -0.0344996516516, 0.00174708708788, 19.746955885, 0.0208745491097, 0.0160180270775, 1.30319102401
0, 3.0, 11, regularization, -0.034303177894, 0.00218302188628, 15.7136206969, 0.0180708340281, 0.00438111545051, 4.12471075738
0, 3.0, 12, regularization, -0.0338237919418, 0.00139722448542, 24.2078436892, 0.0170823253296, 0.0034386518755, 4.96773908732
0, 3.0, 13, regularization, -0.0340014223005, 0.00149519588856, 22.7404466268, 0.0169812354955, 0.00367687920167, 4.61838275455
0, 3.0, 14, regularization, -0.0346609659922, 0.00168221139542, 20.604405657, 0.0176260326965, 0.00368716088779, 4.78038068663
0, 3.0, 15, regularization, -0.0345005805639, 0.00145216203081, 23.7580792169, 0.0177048228581, 0.00391970800251, 4.51687290144
0, 11.0, 26, no_regularization, -0.0453590052717, 0.524451006386, 0.0864885465361, 0.0241694122932, 0.874476969335, 0.0276387064963
0, 11.0, 27, no_regularization, -0.0420403421594, 0.512839733887, 0.081975594677, -0.175035880248, 0.72529706597, 0.241329916335
0, 11.0, 28, no_regularization, -0.0134813158114, 0.496216211299, 0.027168229301, 0.0959557157131, 0.810536135704, 0.118385487687
0, 11.0, 29, no_regularization, -0.0317648105264, 0.340194196536, 0.0933725820425, -0.0799115064595, 0.394705329769, 0.202458645558
0, 11.0, 30, no_regularization, 0.0114231009858, 0.313454671193, 0.0364425929349, -0.0361540094412, 0.351819663744, 0.102762901472
0, 11.0, 26, regularization, -0.023018109864, 0.461979882107, 0.0498249182605, -0.0738252735002, 0.891798323379, 0.0827824762224
0, 11.0, 27, regularization, -0.0428339362277, 0.359777001559, 0.119056904811, 0.00202957691871, 0.605532493144, 0.00335172256104
0, 11.0, 28, regularization, -0.00668953321727, 0.421290695456, 0.0158786635675, 0.095925632862, 0.786418270801, 0.121977879232
0, 11.0, 29, regularization, 0.0100867902829, 0.417862541349, 0.0241390153096, -0.048392569925, 0.412952903998, 0.117186656049
0, 11.0, 30, regularization, 0.0247622096261, 0.471155307519, 0.0525563635407, 0.101128497589, 0.427464641835, 0.236577456219
0, 9.0, 6, no_regularization, 0.0423897960632, 0.611457404659, 0.0693258365018, 0.0285477562217, 0.642821038465, 0.0444101149675
