sinc, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 0.5, 21, no_regularization, -0.00614619818726, 0.000647079043982, 9.4983731036, 0.00305037905068, 0.00386639739209, 0.788946075982
0, 0.5, 22, no_regularization, -0.00579225580505, 0.000638624743487, 9.06988942117, 0.00301000063281, 0.00373849475021, 0.805137049514
0, 0.5, 23, no_regularization, -0.00531283438271, 0.000689382454876, 7.70665737883, 0.00280118562736, 0.00399424117394, 0.701306081774
0, 0.5, 24, no_regularization, -0.0061081205984, 0.000584437341808, 10.4512839298, 0.0030340560415, 0.00277323479616, 1.09404946372
0, 0.5, 25, no_regularization, -0.00569386739983, 0.000521373376757, 10.9209017063, 0.00293471199479, 0.00307781527063, 0.953504917206
0, 0.5, 21, regularization, -0.00617345392684, 0.000767484933051, 8.04374608671, 0.00310265681232, 0.00198297638631, 1.56464637388
0, 0.5, 22, regularization, -0.00579511372067, 0.000999364810201, 5.7987970574, 0.00297614344708, 0.00218049065061, 1.36489622014
0, 0.5, 23, regularization, -0.00526343989319, 0.00110702263842, 4.75459101787, 0.00246306103593, 0.00230119565551, 1.07033968625
0, 0.5, 24, regularization, -0.00610174731934, 0.000848208660451, 7.19368665263, 0.00290672625813, 0.00196321388731, 1.48059581124
0, 0.5, 25, regularization, -0.00569669599365, 0.000957148029957, 5.95173976789, 0.00291732593947, 0.00219306406158, 1.33025112699
0, 0.5, 16, no_regularization, -0.00612524802082, 0.000610386765075, 10.0350275781, 0.00297715981388, 0.00340023864114, 0.875573784105
0, 0.5, 17, no_regularization, -0.00616560136778, 0.00060194828492, 10.2427426446, 0.00296157253873, 0.00394673751829, 0.750384976201
0, 0.5, 18, no_regularization, -0.00538053171577, 0.000526588180747, 10.2177221451, 0.00278212189817, 0.0029365677291, 0.947406004161
0, 0.5, 19, no_regularization, -0.00612075605003, 0.000645893685906, 9.47641412757, 0.0030464243076, 0.00346856304778, 0.878295785787
0, 0.5, 20, no_regularization, -0.0063199007447, 0.000645572286204, 9.78960974589, 0.00314404039441, 0.00377332423507, 0.833228262015
0, 0.5, 16, regularization, -0.0061191602307, 0.000832629427567, 7.34920005, 0.00282212089814, 0.00211952109325, 1.33148988568
0, 0.5, 17, regularization, -0.00617787049727, 0.000826854225089, 7.47153525957, 0.0029775761841, 0.00199763386227, 1.49055151714
0, 0.5, 18, regularization, -0.00534348911753, 0.00108012231698, 4.9471148161, 0.00240016388549, 0.00216741691014, 1.10738449731
0, 0.5, 19, regularization, -0.00610237120792, 0.000931390319813, 6.55189460112, 0.00290606700359, 0.00190214441673, 1.52778462983
0, 0.5, 20, regularization, -0.00634846829684, 0.000818214741164, 7.75892681646, 0.00334843492651, 0.00216485600255, 1.54672408814
0, 11.0, 1, no_regularization, -0.0338494903018, 0.44183188802, 0.0766116960309, 0.027247183625, 0.662005170175, 0.0411585662054
0, 11.0, 2, no_regularization, -0.0441769613601, 0.501201835555, 0.0881420582013, 0.0262443488786, 0.683757814862, 0.038382521279
0, 11.0, 3, no_regularization, -0.0598405535072, 0.500456637518, 0.119571904979, 0.0515983830351, 0.676903351797, 0.0762271052405
0, 11.0, 4, no_regularization, -0.0361782232576, 0.366086674601, 0.0988242013917, 0.0150568474317, 0.424679982742, 0.0354545729573
0, 11.0, 5, no_regularization, 0.0343001836622, 0.587828220675, 0.0583506923551, -0.0409822344877, 0.705975349149, 0.0580505176804
0, 11.0, 1, regularization, -0.101418919075, 0.567920421253, 0.178579454585, 0.0240128041918, 0.584460765343, 0.0410853997662
0, 11.0, 2, regularization, -0.0223245830827, 0.401837232537, 0.055556283179, -0.00659844472778, 0.690084292309, 0.00956179527823
0, 11.0, 3, regularization, -0.0355141117838, 0.330649581751, 0.107407097253, -0.00494409319517, 0.570609322234, 0.00866458538709
0, 11.0, 4, regularization, 0.0318400811658, 0.555958206907, 0.0572706379189, 0.0172885198592, 0.447674428668, 0.0386185110251
0, 11.0, 5, regularization, 0.00403350075879, 0.370885779556, 0.0108753179041, -0.0262302801028, 0.667434587854, 0.0393001510262
0, 9.0, 11, no_regularization, -0.0329306629552, 0.548238634846, 0.0600662938767, 0.066255245903, 0.81200194109, 0.0815949353693
0, 9.0, 12, no_regularization, -0.0274598294615, 0.507494694371, 0.054108604023, -0.0465281211306, 0.707742321687, 0.0657416120314
0, 9.0, 13, no_regularization, -0.00843553394794, 0.56633531521, 0.0148949460177, -0.125144377121, 0.716719009107, 0.174607308487
0, 9.0, 14, no_regularization, -0.0378085990872, 0.526277413572, 0.0718415765376, -0.0643940974968, 0.776856050813, 0.0828906429053
0, 9.0, 15, no_regularization, -0.0211626392395, 0.412326763628, 0.0513249226252, -0.0755603836043, 0.94526967071, 0.0799352670942
0, 9.0, 11, regularization, -0.0315403464822, 0.513509962322, 0.0614210994847, 0.0565570946999, 0.853413438368, 0.0662716242294
0, 9.0, 12, regularization, 0.03750404693, 0.415750338313, 0.0902080972012, -0.00389249497375, 0.571951329385, 0.00680564022456
0, 9.0, 13, regularization, -0.00600082624776, 0.570115313776, 0.0105256359595, -0.0862252596458, 0.749852312103, 0.114989656302
0, 9.0, 14, regularization, 0.0171410401596, 0.343144773204, 0.0499527939754, -0.0213352109648, 0.537374006128, 0.0397027223527
0, 9.0, 15, regularization, -0.0361175862714, 0.327532186418, 0.110271868748, -0.0451631563941, 0.914301731713, 0.0493963369286
0, 3.0, 21, no_regularization, -0.0350041608373, 0.00241334068749, 14.5044423354, 0.0216952189731, 0.017535349634, 1.23722762454
0, 3.0, 22, no_regularization, -0.0346083221136, 0.00219647139906, 15.7563272294, 0.021031151832, 0.0151244940288, 1.39053589442
0, 3.0, 23, no_regularization, -0.0343162032931, 0.00309954729578, 11.0713597885, 0.0203188204173, 0.0179039236925, 1.13488086558
0, 3.0, 24, no_regularization, -0.0337763903119, 0.00145156820279, 23.2688965266, 0.0201806088377, 0.013524757142, 1.49212356465
0, 3.0, 25, no_regularization, -0.035228041478, 0.0016694575572, 21.1014897181, 0.021202040597, 0.0135934986769, 1.55971917907
0, 3.0, 21, regularization, -0.0349889991477, 0.00199607215102, 17.528925059, 0.0183683727589, 0.00443818393837, 4.13871372029
0, 3.0, 22, regularization, -0.0345989446621, 0.001853299877, 18.6688323307, 0.0177668677986, 0.00426690978685, 4.16387237745
0, 3.0, 23, regularization, -0.0343194468367, 0.00241326677965, 14.2211574477, 0.0175546696917, 0.00455831976283, 3.85112730239
0, 3.0, 24, regularization, -0.0337623804778, 0.00143805123617, 23.4778703489, 0.0177421106467, 0.00365875446173, 4.84922145836
0, 3.0, 25, regularization, -0.0352137028142, 0.00148045463036, 23.7857358761, 0.0179513313675, 0.00353039998168, 5.0847868402
0, 3.0, 1, no_regularization, -0.0350591460969, 0.00173230961502, 20.2383833657, 0.0203142145717, 0.0129859651529, 1.56432073647
0, 3.0, 2, no_regularization, -0.0343699463969, 0.00139767708484, 24.5907633242, 0.0192944345161, 0.0123688917311, 1.55991619425
0, 3.0, 3, no_regularization, -0.03494015491, 0.00152242079718, 22.9503925423, 0.020537659462, 0.0127900546161, 1.60575228789
0, 3.0, 4, no_regularization, -0.0345908490317, 0.00169401540973, 20.419441779, 0.0205025459526, 0.0134025646704, 1.5297479592
0, 3.0, 5, no_regularization, -0.0345698761119, 0.00142554416263, 24.2503017572, 0.0214645123336, 0.0146290868742, 1.4672489485
0, 3.0, 1, regularization, -0.0350458725729, 0.00151231996454, 23.1735832328, 0.0178509000097, 0.00350288861226, 5.09605128387
0, 3.0, 2, regularization, -0.0343636934355, 0.00137367913783, 25.0158079054, 0.0170442164399, 0.00318332274267, 5.35422193026
0, 3.0, 3, regularization, -0.0349360733331, 0.00143478417007, 24.3493579466, 0.0175983071533, 0.0031581094985, 5.57241829696
0, 3.0, 4, regularization, -0.0345920975431, 0.00151191350226, 22.8796802802, 0.0179574101936, 0.00347765393045, 5.16365646287
0, 3.0, 5, regularization, -0.0345546926329, 0.00134630945449, 25.6662333595, 0.0180045375783, 0.00297880910608, 6.04420657287
0, 3.0, 11, no_regularization, -0.0343535662787, 0.00256369921342, 13.3999987592, 0.0213567534935, 0.0183236785088, 1.16552762499
0, 3.0, 12, no_regularization, -0.0338453187931, 0.00138606626096, 24.4182545571, 0.0199500522715, 0.0132679857578, 1.50362328055
0, 3.0, 13, no_regularization, -0.0340224340076, 0.00158073195379, 21.5232151953, 0.0197640756877, 0.0136952862308, 1.44312980062
0, 3.0, 14, no_regularization, -0.0346633482619, 0.00176244493508, 19.6677624203, 0.0207564557189, 0.0141679146182, 1.46503252443
0, 3.0, 15, no_regularization, -0.0345080423052, 0.00152802935718, 22.5833634302, 0.0208786987397, 0.0141696012806, 1.47348526795
0, 3.0, 11, regularization, -0.0343131271759, 0.0021290750863, 16.1164476522, 0.0180322859352, 0.00420110175058, 4.29227545673
0, 3.0, 12, regularization, -0.0338266937352, 0.00135104128091, 25.0374982714, 0.0169895582894, 0.00306774220446, 5.53813102832
0, 3.0, 13, regularization, -0.0340021536435, 0.00144788440129, 23.4840251151, 0.016970212425, 0.00317619830915, 5.34293226469
0, 3.0, 14, regularization, -0.0346600080734, 0.00159565678894, 21.7214681213, 0.017610530265, 0.00333856972883, 5.27487268363
0, 3.0, 15, regularization, -0.0344972754605, 0.00139719137022, 24.6904441266, 0.0177155311862, 0.00347470188952, 5.0984319661
0, 11.0, 21, no_regularization, -0.000802874755539, 0.338393843935, 0.002372604496, -0.0547684729345, 0.452721560659, 0.120976064967
0, 11.0, 22, no_regularization, -0.0771380947386, 0.421232260544, 0.183124850502, 0.0223968086006, 0.611381192895, 0.0366331330778
0, 11.0, 23, no_regularization, 0.0158234551943, 0.44733631357, 0.0353726149976, -0.104829330488, 0.864801392066, 0.121217809604
0, 11.0, 24, no_regularization, 0.003988515275, 0.39631176588, 0.0100640849412, -0.00134839414225, 0.647691364938, 0.00208184671781
0, 11.0, 25, no_regularization, -0.0100640105835, 0.357476512937, 0.0281529281486, 0.0370338071517, 0.444042541687, 0.0834014844861
0, 11.0, 21, regularization, 0.00232069035781, 0.231739923802, 0.0100142017816, -0.0960956818278, 0.638506363241, 0.150500742608
0, 11.0, 22, regularization, -0.0696845295043, 0.31523791023, 0.221053773175, 0.0167513063472, 0.556835625332, 0.0300830363309
0, 11.0, 23, regularization, 0.0114068840627, 0.305068338188, 0.0373912420097, -0.0273518272158, 0.785967695305, 0.0348001926532
0, 11.0, 24, regularization, -0.020706312528, 0.35842033871, 0.057771031082, -0.0996369058445, 0.800338773028, 0.124493413542
0, 11.0, 25, regularization, -0.0205708108906, 0.263514181218, 0.0780633922452, 0.0122295883164, 0.577869492156, 0.0211632357866
0, 0.5, 11, no_regularization, -0.00582191542689, 0.000713507130536, 8.15957567588, 0.00304408537363, 0.00383847396072, 0.793045727229
0, 0.5, 12, no_regularization, -0.00575103229992, 0.000644972435245, 8.91671021217, 0.00267720601779, 0.00403642555463, 0.663261586659
0, 0.5, 13, no_regularization, -0.00606469158543, 0.000778773585709, 7.78749009561, 0.00292525049107, 0.00424030319, 0.68986823819
0, 0.5, 14, no_regularization, -0.00604037561769, 0.000602330921817, 10.0283339256, 0.00292433458552, 0.00336356074017, 0.869416315453
0, 0.5, 15, no_regularization, -0.00558154186501, 0.000516996821135, 10.7960854629, 0.00285179293572, 0.00343908021112, 0.829231294605
0, 0.5, 11, regularization, -0.00581305667895, 0.00099404085139, 5.84790521519, 0.00297012847778, 0.00219490545487, 1.35319198884
0, 0.5, 12, regularization, -0.00574533825464, 0.000978569439525, 5.87116051512, 0.00246961708834, 0.00220026248744, 1.12241930335
0, 0.5, 13, regularization, -0.00603378613511, 0.000966510650479, 6.24285529821, 0.00287166279127, 0.00194093773154, 1.47952339975
0, 0.5, 14, regularization, -0.00601998035151, 0.000804936706201, 7.47882449034, 0.00268875482111, 0.00197971930543, 1.35814951834
0, 0.5, 15, regularization, -0.00559285835917, 0.000984023944852, 5.68366083817, 0.00258412010446, 0.0020329790492, 1.27110021398
0, 0.5, 6, no_regularization, -0.00636782692515, 0.00052072143846, 12.2288549209, 0.00309088728849, 0.00293047785321, 1.05473832027
0, 0.5, 7, no_regularization, -0.00613924195194, 0.000734510695525, 8.35827441227, 0.00358258130614, 0.00441474714335, 0.811503171033
0, 0.5, 8, no_regularization, -0.0063298111727, 0.000654246206273, 9.67496809612, 0.00320153700787, 0.00331197399028, 0.966655238619
0, 0.5, 9, no_regularization, -0.00605358137541, 0.000555327556548, 10.9009201939, 0.00305174520445, 0.0031999913417, 0.95367295676
0, 0.5, 10, no_regularization, -0.00616650738461, 0.000769901628079, 8.00947440518, 0.00342388748476, 0.00445650533768, 0.768289775357
0, 0.5, 6, regularization, -0.00639465980426, 0.000628323471713, 10.1773371395, 0.00311285073215, 0.00192430650474, 1.6176480849
0, 0.5, 7, regularization, -0.00611044459017, 0.000843344803243, 7.24548792697, 0.00284953685648, 0.00192814622638, 1.47786346155
0, 0.5, 8, regularization, -0.00634766428547, 0.000768137493486, 8.26370843672, 0.00331135357305, 0.00233280450544, 1.41947324147
0, 0.5, 9, regularization, -0.00602424491187, 0.000864569345578, 6.967914075, 0.00298748802604, 0.00218134490927, 1.36956242608
0, 0.5, 10, regularization, -0.00618379611934, 0.000819085970767, 7.54963012436, 0.00319576673741, 0.00211688477369, 1.50965549808
