noInterp, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 5.0, 16, no_regularization, -0.056594422043, 0.0270414470759, 2.09287697823, 0.033938172043, 0.035137735686, 0.965861100051
0, 5.0, 17, no_regularization, -0.056640625, 0.00848740282826, 6.67349319293, 0.0332432184751, 0.0248301214989, 1.33882625087
0, 5.0, 18, no_regularization, -0.0564684139785, 0.0084858457628, 6.65442379663, 0.0337472507331, 0.0234670176657, 1.43807156128
0, 5.0, 19, no_regularization, -0.0557123655914, 0.00826835342327, 6.73802421588, 0.0344498411535, 0.027063477683, 1.2729273583
0, 5.0, 20, no_regularization, -0.056342405914, 0.0229013616235, 2.46022078688, 0.0338694403715, 0.0317206042899, 1.06774259601
0, 5.0, 16, regularization, -0.0559307795699, 0.00830506296823, 6.73454009727, 0.02943242913, 0.0147853269586, 1.99065121877
0, 5.0, 17, regularization, -0.0565524193548, 0.00848739553831, 6.66310637928, 0.0299059139785, 0.0145170060633, 2.06006072106
0, 5.0, 18, regularization, -0.0564936155914, 0.00850786185629, 6.64016606589, 0.0303183040078, 0.0151112795417, 2.00633599055
0, 5.0, 19, regularization, -0.0556955645161, 0.0081840966636, 6.80534050433, 0.0303106671554, 0.0151026511418, 2.00697658119
0, 5.0, 20, regularization, -0.0564096102151, 0.0084830246115, 6.64970488693, 0.0298753665689, 0.0156832740986, 1.90491898446
0, 11.0, 21, no_regularization, 0.00343161962366, 0.377869855368, 0.00908148552976, 0.0349615102639, 0.705810355922, 0.0495338584517
0, 11.0, 22, no_regularization, -0.0569808467742, 0.488075333183, 0.116746008045, -0.000649132453568, 0.6778549498, 0.000957627371106
0, 11.0, 23, no_regularization, -0.0218329973118, 0.390217447869, 0.0559508485103, -0.0436140640274, 0.677482941934, 0.0643766231262
0, 11.0, 24, no_regularization, -0.0159610215054, 0.431770433875, 0.0369664531268, -0.172119379277, 1.10718790677, 0.155456339637
0, 11.0, 25, no_regularization, -0.045358702957, 0.312219925785, 0.1452780531, 0.00581928152493, 0.375672270408, 0.0154903142534
0, 11.0, 21, regularization, -0.0140709005376, 0.271749550858, 0.0517789284037, -0.0825161901271, 0.697848820345, 0.118243647795
0, 11.0, 22, regularization, -0.0692624327957, 0.321284746163, 0.215579586715, 0.0143038245357, 0.557715252823, 0.0256471818966
