cosine, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 11.0, 16, no_regularization, -0.0199239905259, 0.382883804595, 0.0520366499883, -0.068740277905, 0.555761768386, 0.123686589858
0, 11.0, 17, no_regularization, 0.0140137119509, 0.534527165432, 0.0262170247971, -0.0168823824698, 0.865727441354, 0.0195008055231
0, 11.0, 18, no_regularization, 0.00213359102168, 0.488640361944, 0.00436638310677, 0.0300998641424, 0.791721154064, 0.0380182643698
0, 11.0, 19, no_regularization, -0.0184309693022, 0.395061492814, 0.0466534188662, -0.00877353103025, 0.561282847759, 0.0156312117238
0, 11.0, 20, no_regularization, -0.0337719616965, 0.451546429727, 0.074791781029, -0.0249800029886, 0.758527496838, 0.0329322313202
0, 11.0, 16, regularization, -0.0202677157016, 0.358657958557, 0.0565098730366, -0.0518102150795, 0.826786421782, 0.0626645693671
0, 11.0, 17, regularization, 0.0138588663897, 0.409084112811, 0.0338777917687, 0.0798346429711, 0.730292709734, 0.109318690858
0, 11.0, 18, regularization, 0.01009738474, 0.335679957012, 0.0300803921387, 0.0173539826287, 0.703035835618, 0.0246843499997
0, 11.0, 19, regularization, 0.00203450731756, 0.286162351422, 0.0071096260827, 0.0167969876762, 0.705147021931, 0.0238205468559
0, 11.0, 20, regularization, -0.000252606601323, 0.241166502553, 0.00104743651647, -0.00382805140307, 0.37338410777, 0.0102523147702
0, 3.0, 6, no_regularization, -0.0348658101511, 0.00520517405599, 6.69829861136, 0.0207968853077, 0.0171227390025, 1.21457701975
0, 3.0, 7, no_regularization, -0.0343828523244, 0.00555720885064, 6.1870721883, 0.0217164881674, 0.0202943617109, 1.07007495366
0, 3.0, 8, no_regularization, -0.0345983948184, 0.0056189926302, 6.15740170799, 0.0205496643033, 0.019568508284, 1.05013954079
0, 3.0, 9, no_regularization, -0.0344286908851, 0.00553255380174, 6.22292925091, 0.0205714069738, 0.0174637996314, 1.17794565948
0, 3.0, 10, no_regularization, -0.0349531763362, 0.00550894690623, 6.34480181623, 0.0204081975707, 0.0217769302296, 0.937147584876
0, 3.0, 6, regularization, -0.0348685618504, 0.0050418755372, 6.91579187014, 0.0178783024981, 0.00967023061694, 1.8487979456
0, 3.0, 7, regularization, -0.0343601320182, 0.00543320706875, 6.32409764314, 0.0175846478915, 0.0101562893049, 1.73140478413
0, 3.0, 8, regularization, -0.0346234922226, 0.00533966468048, 6.48420721045, 0.0181381972179, 0.0100090063498, 1.81218760225
0, 3.0, 9, regularization, -0.0344021682473, 0.0054103699573, 6.35856115548, 0.0182130030284, 0.00951648419456, 1.91383736431
0, 3.0, 10, regularization, -0.0349245708685, 0.00529793297465, 6.59211262876, 0.0183727207434, 0.0102161579313, 1.79839826937
0, 11.0, 11, no_regularization, -0.0316264093626, 0.56885440625, 0.0555966676448, -0.03634710322, 0.669004671123, 0.0543301187403
0, 11.0, 12, no_regularization, -0.0264471851582, 0.49372908492, 0.0535661883529, 0.0376768103347, 0.740643516519, 0.0508703708253
0, 11.0, 13, no_regularization, -0.0221102416142, 0.528891179217, 0.0418048976483, 0.0285324691896, 0.642597697783, 0.0444017606786
0, 11.0, 14, no_regularization, -0.0459297837385, 0.538361020617, 0.0853140958939, -0.0282827529936, 0.967912459933, 0.0292203625476
0, 11.0, 15, no_regularization, -0.00249127126159, 0.443765368231, 0.00561393799503, 0.00432548710022, 0.663138947921, 0.00652274627177
0, 11.0, 11, regularization, -0.0295362634871, 0.535526294225, 0.0551537129093, -0.0316695915446, 0.622875405817, 0.0508441836824
0, 11.0, 12, regularization, -0.0110431007713, 0.246964987304, 0.0447152484727, -0.0228128047394, 0.377333340424, 0.0604579619541
0, 11.0, 13, regularization, -0.0104576889389, 0.308097705569, 0.0339427679915, -0.121875600781, 0.46802820376, 0.26040225739
0, 11.0, 14, regularization, -0.0184822410678, 0.354053944902, 0.0522017656742, -0.0578174773591, 0.806753518624, 0.0716668425045
0, 11.0, 15, regularization, -0.00967275714459, 0.413540983464, 0.0233900811077, 0.0061552158569, 0.582121196039, 0.0105737703742
0, 3.0, 21, no_regularization, -0.0350641286756, 0.00543102975277, 6.45625788695, 0.0216080515805, 0.0202563346984, 1.066730576
0, 3.0, 22, no_regularization, -0.0346428342456, 0.00553447189302, 6.25946520557, 0.0206706313315, 0.019133553748, 1.0803341399
0, 3.0, 23, no_regularization, -0.0343577267942, 0.00597750420466, 5.7478381642, 0.0206876740389, 0.0225220916651, 0.918550299259
0, 3.0, 24, no_regularization, -0.0337891122809, 0.00585825508214, 5.76777757321, 0.0203044209587, 0.0176083656303, 1.15311218457
0, 3.0, 25, no_regularization, -0.0353300795464, 0.0048331565467, 7.30993900261, 0.0212691936099, 0.0190922865197, 1.11402023995
0, 3.0, 21, regularization, -0.0350002870582, 0.00523626314637, 6.68421087325, 0.0182718864942, 0.0101855419491, 1.79390420123
0, 3.0, 22, regularization, -0.0346384730995, 0.00532935283378, 6.49956461505, 0.0176685327502, 0.0103741905534, 1.7031239844
0, 3.0, 23, regularization, -0.0343807216249, 0.00566443686386, 6.06957451398, 0.0173492560465, 0.0102935807182, 1.68544421241
0, 3.0, 24, regularization, -0.0337608890075, 0.00575726364937, 5.86405123399, 0.0177352319451, 0.0100268371363, 1.76877630543
0, 3.0, 25, regularization, -0.0353222928938, 0.00467779442864, 7.55105711306, 0.0178938338058, 0.00982960797564, 1.82040157147
0, 11.0, 21, no_regularization, -0.00421093089587, 0.422442069999, 0.00996806709114, 0.0357033589386, 0.70738223903, 0.0504725125521
