gradientDescent, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 7.0, 26, no_regularization, -0.045246674829, 0.251747220564, 0.179730583431, 0.0451851057586, 0.273525081041, 0.165195475262
0, 7.0, 27, no_regularization, -0.0195147898832, 0.315760803702, 0.0618024455677, 0.022787885018, 0.369623023147, 0.061651692646
0, 7.0, 28, no_regularization, -0.0440610094084, 0.606310069447, 0.0726707531817, -0.11367170417, 0.760043791294, 0.149559414171
0, 7.0, 29, no_regularization, -0.0294164083695, 0.30629814051, 0.0960384817241, -0.0216804645831, 0.350749012137, 0.0618119049033
0, 7.0, 30, no_regularization, -0.0131206254104, 0.56027937322, 0.0234180054407, 0.0534133197672, 0.795006400805, 0.0671860248082
0, 7.0, 26, regularization, -0.0539935058689, 0.150744557831, 0.358178806888, 0.0376336588398, 0.216183356662, 0.174082128342
0, 7.0, 27, regularization, 0.01483637165, 0.233580255358, 0.063517233626, 0.0173835043526, 0.31600470633, 0.0550102704308
0, 7.0, 28, regularization, -0.0374332705833, 0.346228774837, 0.108117156354, -0.192924807878, 0.732782868819, 0.263276907918
0, 7.0, 29, regularization, -0.0339298951581, 0.225146812345, 0.150701201606, -0.00281709180295, 0.306062402241, 0.00920430533877
0, 7.0, 30, regularization, -0.00874110307648, 0.530265496799, 0.0164843896675, -0.106760274213, 0.837376364849, 0.127493775433
0, 11.0, 16, no_regularization, -0.0276139495292, 0.465166210851, 0.0593636186058, -0.0307872689517, 0.774909714235, 0.0397301367968
0, 11.0, 17, no_regularization, 0.00680152617321, 0.497104006273, 0.0136823000567, 0.056092455641, 0.785180178294, 0.0714389603707
0, 11.0, 18, no_regularization, -0.0101608580666, 0.4395448369, 0.0231167726557, 0.00424862878596, 0.572543290788, 0.00742062452625
0, 11.0, 19, no_regularization, -0.0221562266849, 0.387563466544, 0.0571679959479, -0.0347180443345, 0.540426426813, 0.0642419441612
0, 11.0, 20, no_regularization, -0.0361428483927, 0.465683101226, 0.0776125401535, -0.0235937564232, 0.641301933396, 0.0367904027644
0, 11.0, 16, regularization, -0.022523543631, 0.406675155675, 0.0553846068951, 0.0203903755937, 0.751378180505, 0.0271373006599
0, 11.0, 17, regularization, 0.0100032869709, 0.431298985809, 0.0231933932146, 0.059741595804, 0.752449477264, 0.0793961556347
0, 11.0, 18, regularization, 0.0192805546955, 0.317318012377, 0.0607609840711, 0.00993510593708, 0.474237370822, 0.0209496478944
0, 11.0, 19, regularization, -0.0021756930666, 0.292187700513, 0.00744621715007, -0.0194512743925, 0.520902902848, 0.0373414590054
0, 11.0, 20, regularization, -0.0288408164774, 0.352202342136, 0.0818870661181, -0.0262092271747, 1.01464840955, 0.0258308463583
0, 11.0, 1, no_regularization, -0.0422572058987, 0.475186718259, 0.0889275820955, 0.0251803799361, 0.718031046526, 0.0350686506633
0, 11.0, 2, no_regularization, -0.0384083067863, 0.513861102471, 0.0747445303831, 0.0435538786077, 0.745311796203, 0.058437125012
0, 11.0, 3, no_regularization, -0.068959870392, 0.499537982673, 0.138047301274, 0.0498645106856, 0.691387059443, 0.0721224240525
0, 11.0, 4, no_regularization, 0.00812522294389, 0.374404470478, 0.0217017252319, 0.0130255789316, 0.371277503727, 0.035083135393
0, 11.0, 5, no_regularization, -0.0202893064327, 0.32803830064, 0.0618504192743, -0.143064148156, 0.410049944424, 0.348894445913
0, 11.0, 1, regularization, -0.0710120821459, 0.501144030218, 0.141699946251, 0.0261170468941, 0.606014097741, 0.0430964345408
0, 11.0, 2, regularization, -0.0376692386426, 0.434783983665, 0.0866389748885, -0.0362005228582, 0.825374785957, 0.0438594968905
0, 11.0, 3, regularization, -0.0581951176827, 0.251296992801, 0.231579045312, -0.085441866946, 0.497552147586, 0.171724446092
0, 11.0, 4, regularization, -0.0430085684367, 0.370939699297, 0.11594490565, 0.0271092747841, 0.518474350234, 0.0522866266612
0, 11.0, 5, regularization, 0.00176896295625, 0.482608095279, 0.00366542329803, -0.0283336381799, 0.741079118134, 0.0382329463705
0, 7.0, 16, no_regularization, -0.0170970815977, 0.471250606792, 0.0362802325372, -0.152205377249, 0.613205305726, 0.248212753262
0, 7.0, 17, no_regularization, -0.00954455066045, 0.388998715687, 0.0245362009578, 0.0373066376666, 0.432808853467, 0.0861965677638
0, 7.0, 18, no_regularization, -0.0597858830143, 0.216326066859, 0.276369296971, 0.037059146144, 0.192590462589, 0.192424617739
0, 7.0, 19, no_regularization, -0.0465346356189, 0.25105093863, 0.185359337323, 0.0318842078016, 0.259364547029, 0.122932020459
0, 7.0, 20, no_regularization, -0.00376012771732, 0.369117951274, 0.0101867917947, 0.0072813467171, 0.376077803193, 0.019361277521
0, 7.0, 16, regularization, -0.0117278856801, 0.367781277835, 0.0318882074398, -0.142308695956, 0.534026873194, 0.266482274769
0, 7.0, 17, regularization, -0.0533429193173, 0.139580333504, 0.382166441205, 0.0284015983425, 0.207272904627, 0.137025137915
0, 7.0, 18, regularization, -0.0684228252214, 0.067467821746, 1.01415494751, 0.043309305969, 0.0769180895675, 0.56305748378
0, 7.0, 19, regularization, -0.0599280267332, 0.222660883139, 0.269144835358, 0.0452756139752, 0.277283163988, 0.163282953512
0, 7.0, 20, regularization, 0.0139274120679, 0.346105760365, 0.04024033594, 0.0212613115714, 0.405379501027, 0.052447919832
0, 3.0, 21, no_regularization, -0.035004159908, 0.00241737155018, 14.4802564196, 0.0217686383856, 0.0176259658844, 1.23503236807
