radius5_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 9.0, 1, no_regularization, 0.0171958310588, 0.333962946653, 0.0514902363604, -0.25532660018, 0.569437034758, 0.448384254263
0, 9.0, 2, no_regularization, -0.0502274786549, 0.383872829574, 0.130844057681, 0.0267311057782, 0.281076229131, 0.0951026910416
0, 9.0, 3, no_regularization, -0.0857401442999, 0.238333539575, 0.359748545894, 0.0385954132781, 0.256801707868, 0.15029266588
0, 9.0, 4, no_regularization, 0.0136310755768, 0.668423086287, 0.0203928856685, 0.0332297618353, 0.528567726877, 0.0628675572601
0, 9.0, 5, no_regularization, -0.0257544882847, 0.272172646794, 0.0946255569324, 0.0256917451045, 0.308370462309, 0.0833145461215
0, 9.0, 1, regularization, 0.0169755330643, 0.258166912821, 0.0657541002401, -0.253362513846, 0.547524162542, 0.4627421604
0, 9.0, 2, regularization, -0.0454312083905, 0.248973317293, 0.182474206009, 0.0242035350656, 0.196728684389, 0.123030025544
0, 9.0, 3, regularization, -0.0802218143048, 0.123022887357, 0.652088534321, 0.0421040099875, 0.139976024445, 0.300794440723
0, 9.0, 4, regularization, 0.0172490348545, 0.601174965835, 0.0286922041582, 0.0375708101106, 0.474489943758, 0.079181467605
0, 9.0, 5, regularization, -0.0295451228213, 0.181705182027, 0.162599230753, 0.0238257309135, 0.232646803971, 0.102411597782
0, 3.0, 11, no_regularization, -0.0287482411342, 0.0143301731497, 2.00613355009, 0.0150338582976, 0.00951915535968, 1.57932691815
0, 3.0, 12, no_regularization, -0.0287213004692, 0.0106732518297, 2.69096063012, 0.0149591167035, 0.0176232789353, 0.848827097297
0, 3.0, 13, no_regularization, -0.0287386116494, 0.00618904009348, 4.64346832713, 0.0149320620955, 0.00927624662096, 1.60970947687
0, 3.0, 14, no_regularization, -0.0286924636045, 0.0111878415968, 2.56461117689, 0.0143575802486, 0.0134162585827, 1.07016275515
0, 3.0, 15, no_regularization, -0.0287413053799, 0.0113965137326, 2.52193837994, 0.0150047142078, 0.0131178038672, 1.14384346341
0, 3.0, 11, regularization, -0.0287509635199, 0.00589643629034, 4.87598985289, 0.0144395724122, 0.00492891471447, 2.92956426489
0, 3.0, 12, regularization, -0.0287174160881, 0.0057219188283, 5.01884366938, 0.0146470322974, 0.00489491925866, 2.99229293139
0, 3.0, 13, regularization, -0.0287378753293, 0.00592279911111, 4.85207666007, 0.0142706842262, 0.00488417100903, 2.92182321214
0, 3.0, 14, regularization, -0.0287009852497, 0.00579410595811, 4.95347952854, 0.0142825436662, 0.00503255024853, 2.83803299736
0, 3.0, 15, regularization, -0.0287388235684, 0.00571516194997, 5.02852304448, 0.0146295397011, 0.00492275730226, 2.97181819107
0, 7.0, 16, no_regularization, -0.0671260423564, 0.0922585510265, 0.727586132771, 0.027440831727, 0.106078332009, 0.258684607944
0, 7.0, 17, no_regularization, -0.067095475634, 0.159721789164, 0.420077160325, 0.0267181036627, 0.139758141768, 0.191173861677
0, 7.0, 18, no_regularization, -0.0521808948666, 0.210376423483, 0.248035849278, 0.032028538785, 0.192254906356, 0.166594129596
0, 7.0, 19, no_regularization, -0.0671993416328, 0.0862995227572, 0.778675703942, 0.0250962103412, 0.120607968904, 0.20808086372
0, 7.0, 20, no_regularization, -0.0666288666488, 0.103175318298, 0.645783000704, 0.0276710154835, 0.10949837058, 0.25270709817
0, 7.0, 16, regularization, -0.0670326380755, 0.0230477457172, 2.90842492356, 0.0315607164838, 0.0083704811628, 3.77047816846
0, 7.0, 17, regularization, -0.0670090795368, 0.0785157726128, 0.853447368687, 0.0276120343817, 0.0457175611667, 0.603969977335
0, 7.0, 18, regularization, -0.0531685378516, 0.113792433685, 0.467241416056, 0.0336594272035, 0.102398330932, 0.328710701603
0, 7.0, 19, regularization, -0.067058526225, 0.0344539683215, 1.94632228135, 0.0290577323866, 0.0399712061143, 0.726966614505
0, 7.0, 20, regularization, -0.0672785612667, 0.0209763049737, 3.2073599879, 0.0321306748132, 0.0085357952656, 3.76422744612
0, 11.0, 16, no_regularization, -0.0474785717605, 0.482451545351, 0.098411067843, -0.138766270843, 0.699786286787, 0.198298071088
0, 11.0, 17, no_regularization, 0.010529364416, 0.52871200569, 0.019915122605, -0.0191399441848, 0.702307046524, 0.0272529576338
0, 11.0, 18, no_regularization, -0.0106371030006, 0.519917886033, 0.0204591980509, 0.00338816280998, 0.554485090941, 0.00611046692749
0, 11.0, 19, no_regularization, -0.000266806563751, 0.537716258536, 0.000496184668987, -0.126663328698, 0.916806542133, 0.138157095174
0, 11.0, 20, no_regularization, 0.0115696627169, 0.595241986682, 0.0194369062933, -0.0977551805599, 0.758063692899, 0.12895378248
0, 11.0, 16, regularization, -0.0453705703168, 0.391184643016, 0.115982493502, -0.137312656034, 0.645516335337, 0.212717554176
0, 11.0, 17, regularization, 0.0128013610313, 0.434986033433, 0.0294293610538, -0.0156867543897, 0.661031507732, 0.0237307211627
0, 11.0, 18, regularization, -0.0055476106734, 0.420226139066, 0.013201488812, 0.00303530840848, 0.532879263852, 0.00569605277289
0, 11.0, 19, regularization, 7.82288350426e-05, 0.452212181707, 0.000172991436779, -0.121726951763, 0.881059055688, 0.138159810035
0, 11.0, 20, regularization, 0.013992955412, 0.574228133869, 0.024368286029, -0.0868831042072, 0.735526069203, 0.118123759096
0, 1.0, 26, no_regularization, -0.00958294643865, 0.00247947040845, 3.86491663945, 0.00469527373327, 0.00629587849652, 0.745769432474
