convergenceTolerance_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
1, 11.0, 21, no_regularization, 0.0065266632659, 0.376899344892, 0.0173167275411, 0.0278783884211, 0.351759249482, 0.0792541730236
1, 11.0, 22, no_regularization, -0.00870409164325, 0.49624274139, 0.0175399878271, -0.088733817526, 0.705252963939, 0.125818425534
1, 11.0, 23, no_regularization, -0.0162867484984, 0.466740353683, 0.03489466546, -0.0254343386676, 0.648439978534, 0.0392238904287
1, 11.0, 24, no_regularization, 0.00302501041133, 0.707413371555, 0.00427615667581, -0.0211383995842, 0.691094685463, 0.0305868356809
1, 11.0, 25, no_regularization, -0.0240713593604, 0.589124074752, 0.0408595750744, -0.0430699486649, 0.684350401112, 0.0629355204511
1, 11.0, 21, regularization, 0.00215456086446, 0.273689692585, 0.00787227624142, 0.0382897448299, 0.318654945004, 0.120160522943
1, 11.0, 22, regularization, -0.0113481877025, 0.38957686312, 0.0291295217369, -0.0820252500517, 0.683460689664, 0.120014583563
1, 11.0, 23, regularization, -0.0164196016472, 0.343643517033, 0.0477809149113, -0.0236442479455, 0.601422622766, 0.039313865243
1, 11.0, 24, regularization, 0.00209996301501, 0.629143122094, 0.00333781446743, -0.00250071106183, 0.631826715388, 0.00395790649702
1, 11.0, 25, regularization, -0.025568769915, 0.522078759579, 0.0489749284871, -0.0305111592836, 0.642223243585, 0.0475086499724
7, 0.5, 6, no_regularization, -0.00479214085124, 0.00156198370039, 3.06798390409, 0.00215376364505, 0.00489157663196, 0.440300501679
7, 0.5, 7, no_regularization, -0.00477780214242, 0.00150215202563, 3.1806382183, 0.00236660958102, 0.0049621830264, 0.476929119388
7, 0.5, 8, no_regularization, -0.00478702376959, 0.00147058192541, 3.25519013043, 0.00218614144318, 0.00490879923448, 0.445351569448
7, 0.5, 9, no_regularization, -0.00479332793446, 0.00143321350171, 3.34446188844, 0.0022914111177, 0.00466601866199, 0.491084859211
7, 0.5, 10, no_regularization, -0.00478728548999, 0.00152948096198, 3.13000658981, 0.00231260211903, 0.00486638204679, 0.475220008786
7, 0.5, 6, regularization, -0.00479090807527, 0.00159292912248, 3.00760906914, 0.00158686624276, 0.00148056807215, 1.07179553079
7, 0.5, 7, regularization, -0.00478024749816, 0.00157013013111, 3.04449128352, 0.00173796770612, 0.00191165083941, 0.909144949638
7, 0.5, 8, regularization, -0.00478903275398, 0.00153264091377, 3.12469327351, 0.00171290303678, 0.00157878095261, 1.0849529404
7, 0.5, 9, regularization, -0.00478849172068, 0.00151180584059, 3.16739861171, 0.00176760810516, 0.00167773148492, 1.0535703246
7, 0.5, 10, regularization, -0.00478061656033, 0.00159131447362, 3.00419347626, 0.00175286682568, 0.00166086510865, 1.05539385261
4, 1.0, 1, no_regularization, -0.00957812057149, 0.00231864798828, 4.1309075892, 0.00451868015743, 0.00571564147069, 0.790581456272
4, 1.0, 2, no_regularization, -0.00958215135639, 0.00235404029898, 4.07051287972, 0.0046918351955, 0.00543877513289, 0.862663941945
4, 1.0, 3, no_regularization, -0.0095771796057, 0.00231138215798, 4.14348599718, 0.00464507239705, 0.0057083574989, 0.813731865593
4, 1.0, 4, no_regularization, -0.00959440633628, 0.00246893776137, 3.88604625292, 0.00444298044091, 0.00586563939942, 0.757458844359
4, 1.0, 5, no_regularization, -0.00959631010348, 0.00245103492035, 3.91520741864, 0.00447463553144, 0.00561945423539, 0.796275820391
4, 1.0, 1, regularization, -0.00958381263467, 0.00229691073392, 4.17247936245, 0.00490494823764, 0.0034833337376, 1.40811894786
4, 1.0, 2, regularization, -0.00958759965562, 0.00228154769052, 4.20223504222, 0.00501201228658, 0.00338561144066, 1.48038615016
4, 1.0, 3, regularization, -0.00957450082802, 0.0022379870187, 4.27817531917, 0.00498456378952, 0.00358606450675, 1.38998163032
4, 1.0, 4, regularization, -0.00958121240811, 0.00227911740856, 4.20391348516, 0.00483939864389, 0.00335211730599, 1.44368415605
4, 1.0, 5, regularization, -0.00959905102862, 0.00233869542416, 4.10444683367, 0.00487375008826, 0.00316131343022, 1.54168518745
4, 0.5, 16, no_regularization, -0.0047807538492, 0.00153774702228, 3.1089339013, 0.00213666743116, 0.00482440232349, 0.442887489037
4, 0.5, 17, no_regularization, -0.00480092157735, 0.00144397995953, 3.32478407728, 0.00223448321673, 0.00507123856304, 0.440618832845
4, 0.5, 18, no_regularization, -0.00462975897119, 0.00511385082084, 0.905337119402, 0.0022854056891, 0.00473318954651, 0.482846855517
4, 0.5, 19, no_regularization, -0.00478023096734, 0.00148797018365, 3.21258518475, 0.00231893573923, 0.00515473430027, 0.449865231485
4, 0.5, 20, no_regularization, -0.00478655526068, 0.00157528695404, 3.03852910633, 0.00230275102343, 0.00495365704857, 0.464858790355
4, 0.5, 16, regularization, -0.00478364933374, 0.00153823361516, 3.10983278912, 0.00154995087974, 0.00162726466146, 0.952488501993
4, 0.5, 17, regularization, -0.0047922339476, 0.00150496182718, 3.18428936938, 0.00168507289108, 0.00161257823068, 1.0449557479
4, 0.5, 18, regularization, -0.00479590033675, 0.00147732764391, 3.24633493222, 0.00180696349879, 0.00168945227307, 1.06955581261
4, 0.5, 19, regularization, -0.00477475097273, 0.00152097039107, 3.13927937109, 0.00186463545326, 0.00207810131222, 0.89727841578
4, 0.5, 20, regularization, -0.00478590176949, 0.00161042760158, 2.9718205058, 0.00163869146937, 0.00158450804558, 1.03419573914
7, 0.5, 1, no_regularization, -0.00479642033884, 0.00154847401315, 3.0975142612, 0.00246948208381, 0.00502438442514, 0.491499430549
7, 0.5, 2, no_regularization, -0.00478934414541, 0.00145729397002, 3.2864639832, 0.00248539831498, 0.00503580259442, 0.493545620261
7, 0.5, 3, no_regularization, -0.00479073381724, 0.00153530887496, 3.12037134376, 0.00231543394578, 0.00474160176816, 0.488323157236
7, 0.5, 4, no_regularization, -0.00477743852817, 0.00148124582505, 3.2252840463, 0.00228189282759, 0.00526403055515, 0.433487762596
7, 0.5, 5, no_regularization, -0.00479666251414, 0.00149609105189, 3.20613007349, 0.00215901771698, 0.0046124478292, 0.468085016229
7, 0.5, 1, regularization, -0.00479961343006, 0.00155739663408, 3.08181828895, 0.00185969825771, 0.00185801246691, 1.00090730866
7, 0.5, 2, regularization, -0.0047908852493, 0.00152071530035, 3.15041562889, 0.00188054109908, 0.00181424669226, 1.03654101016
7, 0.5, 3, regularization, -0.00478734424863, 0.00155254098393, 3.08355418517, 0.00170527226029, 0.0015333751698, 1.11210373943
7, 0.5, 4, regularization, -0.00477610321368, 0.0015597300773, 3.06213445722, 0.00166364742898, 0.00178217833973, 0.933490993522
7, 0.5, 5, regularization, -0.00480283125692, 0.00154441353178, 3.10980910106, 0.00153268993908, 0.00146668270038, 1.04500444348
3, 9.0, 1, no_regularization, 0.0172043483692, 0.33395337329, 0.0515172169087, -0.255404784587, 0.570196198095, 0.447924390657
3, 9.0, 2, no_regularization, -0.0502380195259, 0.38379982966, 0.130896409126, 0.026628924577, 0.281389676513, 0.0946336230491
3, 9.0, 3, no_regularization, -0.085743964863, 0.238307124218, 0.359804454627, 0.0385639453836, 0.257322156805, 0.149866400401
3, 9.0, 4, no_regularization, 0.0136476673018, 0.668274719077, 0.0204222409021, 0.0332176242744, 0.528512328131, 0.0628511815266
3, 9.0, 5, no_regularization, -0.0257560685731, 0.27209660002, 0.0946578111275, 0.0254056257306, 0.308715796592, 0.0822945440793
3, 9.0, 1, regularization, 0.0169819741168, 0.258144992911, 0.0657846349269, -0.253334822267, 0.547392304258, 0.462803039605
3, 9.0, 2, regularization, -0.0454591170538, 0.248978462285, 0.182582527969, 0.0242228500637, 0.196762734454, 0.123106898931
3, 9.0, 3, regularization, -0.0802343375668, 0.122952979561, 0.652561148604, 0.0420799946916, 0.140144587844, 0.300261289708
3, 9.0, 4, regularization, 0.0172940689402, 0.60106930834, 0.0287721710296, 0.0375344518168, 0.474744888868, 0.0790623610636
3, 9.0, 5, regularization, -0.0295315309901, 0.181885949715, 0.162362903987, 0.0238520835921, 0.232416805469, 0.10262632921
1, 5.0, 26, no_regularization, -0.0478812231048, 0.0461863184098, 1.03669711623, 0.0237094061326, 0.0628192277616, 0.377422756971
1, 5.0, 27, no_regularization, -0.0479077620674, 0.0494997830724, 0.967837818549, 0.0237262286092, 0.0446434176638, 0.531460847999
1, 5.0, 28, no_regularization, -0.0479169478584, 0.0563246121306, 0.850728412427, 0.0240262306591, 0.0462846298363, 0.519097392463
1, 5.0, 29, no_regularization, -0.0479147768925, 0.0449745251517, 1.0653759374, 0.0235467502794, 0.0661213336989, 0.356114266942
1, 5.0, 30, no_regularization, -0.0478772107049, 0.0356964673215, 1.34123106003, 0.0229561648072, 0.0510490038356, 0.449688790816
1, 5.0, 26, regularization, -0.047884223173, 0.0103812850861, 4.61255256702, 0.023349565467, 0.00650933836722, 3.58708737352
1, 5.0, 27, regularization, -0.0478857995139, 0.00924667570909, 5.17870432796, 0.0234837298829, 0.00508385086964, 4.61927985008
1, 5.0, 28, regularization, -0.0479033783703, 0.00953386510652, 5.02454962757, 0.0239055793501, 0.00651449609295, 3.66959761876
1, 5.0, 29, regularization, -0.0478950487669, 0.0114523814757, 4.18210385922, 0.0234028166108, 0.00527502258378, 4.43653391794
1, 5.0, 30, regularization, -0.0478895655324, 0.00953218218853, 5.02398764367, 0.0234809148262, 0.0049297147518, 4.76313864156
8, 11.0, 16, no_regularization, -0.047473325791, 0.482524749766, 0.0983852658626, -0.138853490593, 0.700334808929, 0.198267298473
8, 11.0, 17, no_regularization, 0.0105375129173, 0.528667067488, 0.0199322287415, -0.0191696685145, 0.702202353271, 0.0272993509993
8, 11.0, 18, no_regularization, -0.0106217202466, 0.519899332083, 0.020430340243, 0.00325063593857, 0.554880900403, 0.00585825883755
8, 11.0, 19, no_regularization, -0.000261282368347, 0.537715765651, 0.000485911674974, -0.12654907224, 0.917205091286, 0.137972492131
8, 11.0, 20, no_regularization, 0.0115794227692, 0.595293026826, 0.0194516351568, -0.0978844063889, 0.75830826304, 0.129082605531
8, 11.0, 16, regularization, -0.0453667242172, 0.391143221844, 0.115984942813, -0.137326065836, 0.64539775048, 0.212777416306
8, 11.0, 17, regularization, 0.0128087567269, 0.434935520006, 0.0294497831005, -0.0156365814878, 0.660875260878, 0.0236604128092
8, 11.0, 18, regularization, -0.0055490882467, 0.420177866149, 0.0132065220321, 0.00304734152567, 0.532645343973, 0.00572114552422
8, 11.0, 19, regularization, 8.84993736568e-05, 0.452112461745, 0.00019574637097, -0.121717281733, 0.880996482464, 0.138158646664
8, 11.0, 20, regularization, 0.0139927229506, 0.574238866235, 0.0243674257758, -0.0869226221389, 0.735637363569, 0.118159607496
1, 3.0, 1, no_regularization, -0.0287401754901, 0.0285176679654, 1.00780244461, 0.0149818240718, 0.0278928253369, 0.537121065753
1, 3.0, 2, no_regularization, -0.0287304887642, 0.00615385100527, 4.66870074359, 0.0144779078636, 0.0170562275243, 0.848834118971
1, 3.0, 3, no_regularization, -0.0287250288056, 0.00910929982278, 3.15337395458, 0.0148353109386, 0.0163548046103, 0.907091909201
1, 3.0, 4, no_regularization, -0.0287352708439, 0.00605022421731, 4.74945552624, 0.014909271368, 0.017192681417, 0.867187090042
1, 3.0, 5, no_regularization, -0.0287372924551, 0.00605600551791, 4.74525532881, 0.0146618750836, 0.0176599502843, 0.830233089425
1, 3.0, 1, regularization, -0.0287076841111, 0.00581000636704, 4.9410761878, 0.0147565577682, 0.00552360634497, 2.6715440686
1, 3.0, 2, regularization, -0.0287359404861, 0.00599614568569, 4.79240198494, 0.0144806270595, 0.00512420798293, 2.82592492492
1, 3.0, 3, regularization, -0.0287063255827, 0.00602423557442, 4.76513994649, 0.0146710666056, 0.00536051482448, 2.7368764169
1, 3.0, 4, regularization, -0.0287144168037, 0.00587214061126, 4.88994026278, 0.0145816689073, 0.00543224262133, 2.68428159856
1, 3.0, 5, regularization, -0.0287166037211, 0.00597742134186, 4.80417927375, 0.0145560445736, 0.00539721487109, 2.69695480378
4, 3.0, 16, no_regularization, -0.0287204858491, 0.00882553239237, 3.25424966701, 0.0145080010436, 0.00967506321146, 1.49952519446
4, 3.0, 17, no_regularization, -0.0287441178688, 0.00853495793496, 3.36781013894, 0.0146690198494, 0.0154236852071, 0.951071008802
4, 3.0, 18, no_regularization, -0.0287466291716, 0.0102031127151, 2.81743718551, 0.0151879102937, 0.0168341305186, 0.902209370242
4, 3.0, 19, no_regularization, -0.0287468374821, 0.00907336363704, 3.16826687787, 0.0151567723006, 0.00993521080461, 1.52556121844
4, 3.0, 20, no_regularization, -0.0287374768587, 0.00612973390779, 4.68820951954, 0.0150445668817, 0.01001389368, 1.50236934427
4, 3.0, 16, regularization, -0.0287208224918, 0.00581391574277, 4.94001354036, 0.0140299175036, 0.00497501029162, 2.82007808651
4, 3.0, 17, regularization, -0.0287413727447, 0.00574358353333, 5.00408370105, 0.0145285748512, 0.00509162008412, 2.85342869483
4, 3.0, 18, regularization, -0.0287474349319, 0.00574947977951, 5.00000626742, 0.0146726626616, 0.00527856695775, 2.77966781117
4, 3.0, 19, regularization, -0.0287497777273, 0.00576716622918, 4.98507873448, 0.0145874811868, 0.00548114179168, 2.66139460376
4, 3.0, 20, regularization, -0.028746979619, 0.00587460310317, 4.8934334991, 0.0144814440132, 0.00520393731081, 2.78278602302
8, 1.0, 21, no_regularization, -0.00957113789752, 0.00241262221043, 3.96711008303, 0.00451970780074, 0.00576501165727, 0.783989360201
8, 1.0, 22, no_regularization, -0.00957126704969, 0.00242231818039, 3.951283992, 0.00453377522134, 0.00523284988807, 0.866406512382
8, 1.0, 23, no_regularization, -0.00956776689464, 0.00230142587281, 4.15732134051, 0.00456922487462, 0.0058364403092, 0.78287871246
8, 1.0, 24, no_regularization, -0.00957153627974, 0.00234015602165, 4.09012740655, 0.00451635202272, 0.00587663206437, 0.768527274339
8, 1.0, 25, no_regularization, -0.00959312516083, 0.00228085476219, 4.2059342488, 0.00456790984411, 0.00545715317885, 0.837049958908
8, 1.0, 21, regularization, -0.00957530293508, 0.00235249545108, 4.07027479295, 0.00494295431559, 0.00372068303451, 1.328507231
8, 1.0, 22, regularization, -0.00958139946227, 0.00232272016409, 4.12507697242, 0.00488268012281, 0.00337788234074, 1.44548555286
8, 1.0, 23, regularization, -0.00957398328078, 0.00225952454335, 4.23716719916, 0.00494348964752, 0.00381254592045, 1.29663740468
8, 1.0, 24, regularization, -0.00957969747656, 0.00225615608437, 4.24602603646, 0.00478145820339, 0.00309498356439, 1.54490584648
8, 1.0, 25, regularization, -0.00959810922646, 0.00223455065382, 4.29531960265, 0.00489476798171, 0.00368439075378, 1.32851489128
8, 3.0, 16, no_regularization, -0.0287204840276, 0.00882551041354, 3.25425756492, 0.0145080013739, 0.00967508279612, 1.49952219321
8, 3.0, 17, no_regularization, -0.0287441195031, 0.00853496142684, 3.36780895256, 0.0146690473559, 0.0154237107753, 0.951071215589
8, 3.0, 18, no_regularization, -0.0287466295585, 0.010203138489, 2.81743010638, 0.015187902827, 0.016834118982, 0.902209544988
8, 3.0, 19, no_regularization, -0.0287468385289, 0.00907334183518, 3.16827460611, 0.0151567959771, 0.00993520918589, 1.52556385009
8, 3.0, 20, no_regularization, -0.0287374814638, 0.00612975785239, 4.68819195731, 0.0150445703154, 0.0100138278312, 1.50237956643
8, 3.0, 16, regularization, -0.0287208205087, 0.00581391923917, 4.94001022841, 0.014029910894, 0.00497504153985, 2.82005904506
8, 3.0, 17, regularization, -0.0287413730917, 0.00574356490576, 5.00409999072, 0.0145285481308, 0.00509161217526, 2.85342787917
8, 3.0, 18, regularization, -0.0287474449354, 0.00574946849733, 5.00001781882, 0.0146726606478, 0.00527858592301, 2.7796574427
8, 3.0, 19, regularization, -0.0287497854428, 0.00576715309356, 4.98509142664, 0.0145874683026, 0.00548108691801, 2.66141889754
8, 3.0, 20, regularization, -0.0287469792977, 0.00587458681097, 4.89344701555, 0.0144814502177, 0.00520393634217, 2.78278773327
6, 0.5, 11, no_regularization, -0.00480599407914, 0.00665595638053, 0.722059130855, 0.00234157755094, 0.00468966896263, 0.499305509537
6, 0.5, 12, no_regularization, -0.00480696077781, 0.00152930779359, 3.1432264963, 0.00238887490466, 0.0050730135497, 0.470898585477
6, 0.5, 13, no_regularization, -0.004791037636, 0.00164452640674, 2.91332362701, 0.00226740017739, 0.00496626679674, 0.456560283648
6, 0.5, 14, no_regularization, -0.00476869187931, 0.00148435036686, 3.21264573767, 0.00223334645909, 0.00489354032929, 0.456386646233
6, 0.5, 15, no_regularization, -0.00479724539328, 0.00151031693249, 3.17631702995, 0.0023701320072, 0.00470023783735, 0.504257888476
6, 0.5, 11, regularization, -0.00480304098399, 0.0015526647787, 3.09341787736, 0.00173894568465, 0.00150062825603, 1.15881176945
6, 0.5, 12, regularization, -0.0048040365615, 0.00157847937961, 3.0434585485, 0.00179379851352, 0.00164811047483, 1.08839701035
6, 0.5, 13, regularization, -0.00478857719264, 0.00162118894193, 2.95374405092, 0.00169937930124, 0.00177208400027, 0.95897220503
6, 0.5, 14, regularization, -0.00476671951528, 0.00158802545019, 3.00166443473, 0.00159501825012, 0.00188613393028, 0.845654820431
6, 0.5, 15, regularization, -0.00479282056352, 0.00156497642391, 3.0625512885, 0.00172501961196, 0.00168647259374, 1.02285659332
3, 3.0, 11, no_regularization, -0.0287511850589, 0.0143128480291, 2.00876757724, 0.0149671497879, 0.0094001703446, 1.59222112358
3, 3.0, 12, no_regularization, -0.0287201206264, 0.0106761052425, 2.69013090205, 0.0148662298771, 0.0179179646734, 0.829682954962
3, 3.0, 13, no_regularization, -0.0287359000081, 0.00617502267308, 4.65356995907, 0.0148686319296, 0.00897433365253, 1.65679508979
3, 3.0, 14, no_regularization, -0.0286911329273, 0.0111679880268, 2.56905118974, 0.0143065947525, 0.0133842838151, 1.06890999549
3, 3.0, 15, no_regularization, -0.0287379199038, 0.0114224024935, 2.51592604271, 0.0149335507663, 0.0130322522207, 1.1458917855
3, 3.0, 11, regularization, -0.0287503834147, 0.00589930766911, 4.87351822066, 0.0144443030778, 0.00502410476322, 2.87500037489
3, 3.0, 12, regularization, -0.0287166832931, 0.00572440394369, 5.01653684394, 0.0146537247967, 0.00499159962653, 2.93567711616
