convergenceTolerance, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
7, 11.0, 6, no_regularization, 0.0294335961415, 0.769009547469, 0.0382746823344, -0.0357440595918, 1.1304966703, 0.0316180140383
7, 11.0, 7, no_regularization, -0.029042246309, 0.523338059113, 0.0554942370486, 0.01171657931, 0.688634949439, 0.0170142095163
7, 11.0, 8, no_regularization, -0.0575589456339, 0.524098209231, 0.109824732503, -0.0672383652388, 0.728088088584, 0.0923492174822
7, 11.0, 9, no_regularization, 0.015428046547, 0.506958656549, 0.0304325537155, 0.0310822642313, 0.880634632793, 0.0352953007682
7, 11.0, 10, no_regularization, 0.00950642941007, 0.45152080497, 0.0210542444676, -0.041791681286, 0.749024067481, 0.0557948443853
7, 11.0, 6, regularization, 0.0263152550853, 0.733574154363, 0.0358726584474, -0.0203094044533, 1.04945572475, 0.0193523213741
7, 11.0, 7, regularization, -0.0307980232864, 0.45694039833, 0.0674005261933, 0.0101284857208, 0.652194469223, 0.015529855279
7, 11.0, 8, regularization, -0.0603694717425, 0.430965716362, 0.140079522455, -0.07442083395, 0.673117032447, 0.110561507676
7, 11.0, 9, regularization, 0.014038197004, 0.405539072733, 0.0346161392277, 0.0292600606708, 0.816762925984, 0.0358244231465
7, 11.0, 10, regularization, 0.00806766719401, 0.351130220251, 0.0229762826687, -0.0221742725455, 0.758758972813, 0.0292243958095
8, 9.0, 11, no_regularization, -0.0285586217303, 0.581335875428, 0.0491258546692, 0.0587375128796, 0.761610392288, 0.0771227828222
8, 9.0, 12, no_regularization, -0.0254915833139, 0.519343582179, 0.0490842366954, 0.0205043839117, 0.791798822915, 0.0258959514946
8, 9.0, 13, no_regularization, 0.00703856224602, 0.498344293176, 0.0141238945492, -7.35930913859e-05, 0.955825040207, 7.69943120238e-05
8, 9.0, 14, no_regularization, -0.10135072553, 0.592879439303, 0.170946601975, -0.0367999070778, 0.729629353367, 0.0504364399651
8, 9.0, 15, no_regularization, -0.0427038608497, 0.424040459424, 0.100707043162, 0.0243214805216, 0.918883788752, 0.0264685053967
8, 9.0, 11, regularization, -0.0313581869302, 0.49568076514, 0.063262868232, 0.0608458271934, 0.730152627795, 0.0833330250103
8, 9.0, 12, regularization, -0.0228584658469, 0.407441659368, 0.0561024267434, 0.0230661888344, 0.731990603803, 0.0315115914255
8, 9.0, 13, regularization, 0.00457051014117, 0.376864836492, 0.0121277171511, -0.00234500251122, 0.887507222784, 0.00264223484724
8, 9.0, 14, regularization, -0.101281771538, 0.541738178443, 0.186957049675, -0.0370119067286, 0.758030882411, 0.0488263837099
8, 9.0, 15, regularization, -0.0415827926179, 0.312942844556, 0.132876636553, 0.0253502274555, 0.879557682759, 0.0288215633294
5, 0.5, 6, no_regularization, -0.00636782704411, 0.000520723026022, 12.2288178665, 0.00309088429931, 0.00293047918281, 1.05473682169
5, 0.5, 7, no_regularization, -0.00613924061014, 0.000734514063425, 8.35823426104, 0.00358257664359, 0.00441475992347, 0.811499765716
5, 0.5, 8, no_regularization, -0.00632981157548, 0.000654250411385, 9.67490652713, 0.00320153750897, 0.00331197257558, 0.966655802821
5, 0.5, 9, no_regularization, -0.00605358032606, 0.000555330860624, 10.9008534466, 0.00305174444765, 0.00319998867372, 0.953673515382
5, 0.5, 10, no_regularization, -0.0061665072881, 0.000769901064953, 8.00948013818, 0.0034238903516, 0.00445651001077, 0.768289613021
5, 0.5, 6, regularization, -0.00639465956382, 0.000628319925938, 10.1773941902, 0.00311284959665, 0.00192430557441, 1.61764827689
5, 0.5, 7, regularization, -0.00611044564802, 0.000843341110673, 7.2455209057, 0.00284953790728, 0.00192814534273, 1.47786468381
5, 0.5, 8, regularization, -0.00634766486426, 0.000768133705965, 8.26374993698, 0.00331135177429, 0.00233280547996, 1.41947187742
5, 0.5, 9, regularization, -0.00602424520398, 0.000864572941305, 6.96788543357, 0.00298748763285, 0.00218134942177, 1.36955941264
5, 0.5, 10, regularization, -0.00618379521404, 0.000819084661326, 7.54964108842, 0.00319576598674, 0.00211689338748, 1.50964900058
1, 0.5, 11, no_regularization, -0.0058131799903, 0.000907687618358, 6.4043839232, 0.00323041893054, 0.00589792087836, 0.547721645842
1, 0.5, 12, no_regularization, -0.00575348316982, 0.000955597760446, 6.02082111111, 0.00266237218126, 0.00623288394912, 0.427149326539
1, 0.5, 13, no_regularization, -0.00606097754612, 0.000994123757029, 6.09680384687, 0.00290155652565, 0.00659502489228, 0.43996142138
1, 0.5, 14, no_regularization, -0.00602549194008, 0.00100774089355, 5.97920753105, 0.00286995834386, 0.00615484750763, 0.46629235579
1, 0.5, 15, no_regularization, -0.00558186561831, 0.000828134170955, 6.74029138524, 0.00283212549875, 0.0058268852387, 0.486044495941
1, 0.5, 11, regularization, -0.00579577907439, 0.00140542447092, 4.1238637823, 0.00297758600229, 0.00246381695899, 1.20852565424
1, 0.5, 12, regularization, -0.00573874965791, 0.00129437096186, 4.4336205207, 0.00247639668186, 0.0024371844483, 1.01608915303
1, 0.5, 13, regularization, -0.00602465988487, 0.00136770749049, 4.40493301875, 0.00289012959276, 0.00225020036467, 1.28438766527
1, 0.5, 14, regularization, -0.00599830068568, 0.00124287870119, 4.82613522941, 0.00270308702456, 0.0022006333209, 1.22832231925
1, 0.5, 15, regularization, -0.00559517788631, 0.00138242399616, 4.04736745155, 0.00260316544847, 0.00230905378172, 1.12737324227
3, 5.0, 6, no_regularization, -0.0556892068866, 0.00208442708697, 26.7167929427, 0.0330254315235, 0.0178031202539, 1.85503614268
