radius2, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 1.0, 6, no_regularization, -0.0125457096823, 0.000937501888562, 13.38206337, 0.00673000446195, 0.0114905068503, 0.585701270591
0, 1.0, 7, no_regularization, -0.0123358668965, 0.00126144299399, 9.77917112014, 0.00796330228603, 0.014100555207, 0.564750973925
0, 1.0, 8, no_regularization, -0.0120749486961, 0.0015184780952, 7.95200716714, 0.00648041479966, 0.0124143327856, 0.522010720316
0, 1.0, 9, no_regularization, -0.0119941733677, 0.00110503177278, 10.8541434402, 0.00669999840571, 0.0122180881929, 0.548367166772
0, 1.0, 10, no_regularization, -0.0121272120956, 0.00186276984618, 6.5103115774, 0.00676518867912, 0.0125704296958, 0.538182770426
0, 1.0, 6, regularization, -0.0125224591139, 0.000567676404362, 22.0591502795, 0.00623084137629, 0.00255373557828, 2.43989292755
0, 1.0, 7, regularization, -0.0123372260979, 0.000829494972494, 14.8731776647, 0.00649154517535, 0.0030520010133, 2.12698001969
0, 1.0, 8, regularization, -0.0120706742239, 0.00114624257927, 10.5306454691, 0.00603471770197, 0.00287592185249, 2.09835941708
0, 1.0, 9, regularization, -0.0119944294209, 0.000936202316813, 12.8117920726, 0.00586438730636, 0.00218800761838, 2.6802408077
0, 1.0, 10, regularization, -0.0121093053495, 0.00123304733706, 9.82063298427, 0.00633227774881, 0.00267621791544, 2.36612934705
0, 0.5, 6, no_regularization, -0.00632638768794, 0.00296440472334, 2.13411739569, 0.00291821773084, 0.0099178557244, 0.294238776196
0, 0.5, 7, no_regularization, -0.00629834767956, 0.00291364860511, 2.16167030867, 0.00355360331343, 0.0100643295481, 0.353088926237
0, 0.5, 8, no_regularization, -0.00628060532025, 0.00298161784427, 2.10644208893, 0.00377156399434, 0.0108642905398, 0.347152350217
0, 0.5, 9, no_regularization, -0.00622944107076, 0.00276738905145, 2.25101745904, 0.00324934200991, 0.0101651087145, 0.319656395339
0, 0.5, 10, no_regularization, -0.0059826155289, 0.00302651755027, 1.97673247537, 0.00383452282533, 0.0128211153011, 0.299078725623
0, 0.5, 6, regularization, -0.00636059968946, 0.00161248011158, 3.94460659935, 0.00308670252124, 0.00191761270849, 1.60965898253
