radius3, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 3.0, 21, no_regularization, -0.0350053927046, 0.00246701698474, 14.1893602359, 0.0217185078267, 0.0185357419677, 1.17170965503
0, 3.0, 22, no_regularization, -0.0346151966592, 0.00228023916725, 15.1805113939, 0.0208681093133, 0.0168496140183, 1.23849183078
0, 3.0, 23, no_regularization, -0.0343220285303, 0.00316688928465, 10.8377734254, 0.0205165818967, 0.0195135978022, 1.05139923989
0, 3.0, 24, no_regularization, -0.0337702067304, 0.00154994024248, 21.7880701493, 0.0198987073505, 0.0140417637303, 1.41710882855
0, 3.0, 25, no_regularization, -0.0352216244612, 0.00171411802849, 20.547957536, 0.0214290450581, 0.0161626033709, 1.32584117585
0, 3.0, 21, regularization, -0.0349890466429, 0.00199285659403, 17.5572325413, 0.0183494338099, 0.00447163048367, 4.10352194282
0, 3.0, 22, regularization, -0.0345998944547, 0.00184832739181, 18.7195702493, 0.0177613905177, 0.00430180841918, 4.12881950728
0, 3.0, 23, regularization, -0.0343204805344, 0.00241275053861, 14.2246286904, 0.0175422235608, 0.00463196203412, 3.78721229395
0, 3.0, 24, regularization, -0.0337619733677, 0.00144145784308, 23.4221025123, 0.0177508870197, 0.00368956811046, 4.81110159461
0, 3.0, 25, regularization, -0.0352136789929, 0.00147400713758, 23.8897615182, 0.0179680864175, 0.00355933853671, 5.04815325437
0, 5.0, 16, no_regularization, -0.0566073473573, 0.0255519534228, 2.21538237882, 0.0336946231109, 0.0324207088826, 1.0392932256
0, 5.0, 17, no_regularization, -0.0567813861615, 0.002927335305, 19.3969532853, 0.0333501313381, 0.0213292672486, 1.56358542229
0, 5.0, 18, no_regularization, -0.0566247717943, 0.00258613054209, 21.895558199, 0.0338919612302, 0.0194703016626, 1.740700366
0, 5.0, 19, no_regularization, -0.0557818448172, 0.00273041360385, 20.4298150063, 0.0343183793217, 0.0211292037498, 1.62421545686
0, 5.0, 20, no_regularization, -0.0564982803849, 0.0217415396624, 2.59863290558, 0.0334214081009, 0.0283147540123, 1.18035311507
0, 5.0, 16, regularization, -0.0559655661397, 0.00316062849396, 17.7071004222, 0.029365972904, 0.00682346120674, 4.30367697774
0, 5.0, 17, regularization, -0.0567371498058, 0.00280806699464, 20.205055618, 0.0295543416829, 0.00594900633251, 4.96794591079
0, 5.0, 18, regularization, -0.0566060140965, 0.00247746806276, 22.8483325163, 0.0303915836113, 0.005357671475, 5.67253586806
0, 5.0, 19, regularization, -0.0557599474907, 0.00260460996136, 21.4081756262, 0.0304637518313, 0.00593124940889, 5.13614412938
0, 5.0, 20, regularization, -0.0564878650683, 0.00347535959181, 16.2538187995, 0.0299448104968, 0.00926444833475, 3.23222812787
0, 9.0, 1, no_regularization, -0.00591524584641, 0.456696458615, 0.0129522481176, 0.00106373692605, 0.680368856928, 0.00156347092495
0, 9.0, 2, no_regularization, 0.0159798027091, 0.518537086671, 0.0308170873789, -0.0385817398662, 0.88152038361, 0.0437672691222
0, 9.0, 3, no_regularization, -0.00783278007008, 0.319012269841, 0.0245532250969, -0.0756590201511, 0.416472653857, 0.181666237748
0, 9.0, 4, no_regularization, -0.0242315926547, 0.495823935271, 0.048871365279, -0.0399203529239, 0.74708414539, 0.0534348816933
0, 9.0, 5, no_regularization, -0.0454655311901, 0.524856547456, 0.0866246813734, -0.0585356661345, 0.744310901104, 0.0786441069822
0, 9.0, 1, regularization, -0.001071789155, 0.327922939161, 0.00326841775003, 0.0060725340367, 0.631181964344, 0.0096208928324
0, 9.0, 2, regularization, 0.000872685363138, 0.259767793899, 0.00335948252106, -0.0293711847109, 0.646909912864, 0.0454022795552
0, 9.0, 3, regularization, -0.00949526440682, 0.264122851552, 0.0359501813305, -0.0558769860596, 0.364463892631, 0.15331281696
0, 9.0, 4, regularization, -0.0288042773266, 0.402368200661, 0.0715868631749, -0.0397754072615, 0.725025573208, 0.0548606955828
0, 9.0, 5, regularization, -0.0417534483768, 0.460733956513, 0.0906237705873, -0.0590376264685, 0.688268931273, 0.085776974357
0, 9.0, 6, no_regularization, 0.0165744823855, 0.578818377291, 0.02863503136, 0.0705913910863, 0.721616623771, 0.0978239535523
0, 9.0, 7, no_regularization, 0.00316867560359, 0.300612450176, 0.0105407330992, 0.0552551690967, 0.43406634856, 0.127296597121
0, 9.0, 8, no_regularization, -0.000771882020273, 0.545264762871, 0.00141560957691, -0.03383709865, 0.723135815033, 0.046792176444
0, 9.0, 9, no_regularization, -0.0114705411677, 0.326364089976, 0.0351464561207, -0.113542594761, 0.362279983599, 0.313411173404
0, 9.0, 10, no_regularization, -0.00100807801283, 0.31497821199, 0.00320046903072, -0.00809743994153, 0.516014287299, 0.0156922785683
0, 9.0, 6, regularization, 0.0168080424976, 0.518090460653, 0.032442292947, 0.063408301982, 0.652152438375, 0.0972292645873
0, 9.0, 7, regularization, -0.0146892878467, 0.327876010056, 0.044801349889, 0.0538710140708, 0.572165148339, 0.0941529106188
0, 9.0, 8, regularization, 0.0015867943623, 0.462510158199, 0.00343083137564, -0.0282149802982, 0.704866124434, 0.0400288499052
0, 9.0, 9, regularization, -0.0112188461546, 0.221216353021, 0.0507143617613, -0.109073135343, 0.328362628188, 0.332172805247
0, 9.0, 10, regularization, -8.79333343779e-05, 0.229414349313, 0.000383294831562, -0.0109236786704, 0.47395886166, 0.0230477358988
0, 7.0, 21, no_regularization, -0.0304619494127, 0.327329144916, 0.093062136036, 0.0182612290019, 0.43901895068, 0.041595536989
0, 7.0, 22, no_regularization, 0.00727079683225, 0.504154669297, 0.0144217583909, 0.0545994391806, 0.744562986617, 0.0733308533488
0, 7.0, 23, no_regularization, 0.0260240014766, 0.564822316463, 0.0460746693572, 0.0159194390599, 0.496660095748, 0.0320529859277
0, 7.0, 24, no_regularization, -0.0514695576734, 0.174536017114, 0.29489361866, 0.0349489807924, 0.171412550111, 0.203888109533
0, 7.0, 25, no_regularization, -0.0658032977305, 0.169173611441, 0.388969042926, -0.0176286372244, 0.25945837766, 0.0679439892572
0, 7.0, 21, regularization, -0.0344810736617, 0.205226415262, 0.168014792919, 0.0204238989468, 0.413794089111, 0.0493576382172
0, 7.0, 22, regularization, -0.000738110726552, 0.426488781034, 0.00173066856474, 0.045695694236, 0.683138103824, 0.0668908584959
0, 7.0, 23, regularization, 0.0269167057049, 0.442572917051, 0.0608186914923, 0.0220721225511, 0.441739885435, 0.0499663337609
0, 7.0, 24, regularization, -0.0530087996685, 0.134690743889, 0.393559335542, 0.0399756929355, 0.156097367233, 0.256094600724
0, 7.0, 25, regularization, -0.0645469648931, 0.105495877083, 0.611843483156, -0.0166364754355, 0.238178588682, 0.0698487447069
0, 11.0, 11, no_regularization, -0.0329149607129, 0.563355777875, 0.0584265964877, -0.0361387516893, 0.668813284788, 0.0540341415329
0, 11.0, 12, no_regularization, -0.0319267765483, 0.521521418927, 0.0612185336777, 0.0698604807146, 0.729350258492, 0.0957845423391
0, 11.0, 13, no_regularization, -0.00952522555384, 0.527644537342, 0.0180523532032, -0.00734017525164, 0.623727092784, 0.0117682482236
0, 11.0, 14, no_regularization, 0.00276559016566, 0.319131775509, 0.00866598182286, -0.124381451253, 0.697028326227, 0.178445332238
0, 11.0, 15, no_regularization, 0.0062873727738, 0.339172546809, 0.0185373870408, 0.0089750621734, 0.606080905719, 0.0148083565886
0, 11.0, 11, regularization, -0.0308102535385, 0.531566392215, 0.0579612518582, -0.0327313396161, 0.618566659832, 0.052914813781
0, 11.0, 12, regularization, -0.0334192932762, 0.411255268278, 0.0812616782179, 0.066922560947, 0.705710660967, 0.0948300268771
0, 11.0, 13, regularization, -0.00886278092548, 0.453229213251, 0.0195547433095, -0.0204337379087, 0.578369782581, 0.0353298850045
0, 11.0, 14, regularization, -0.000453369311509, 0.206654965133, 0.00219384669136, -0.125750312691, 0.692996008621, 0.181458927796
0, 11.0, 15, regularization, -0.00275462417833, 0.223113443318, 0.0123462940528, -0.000201474131152, 0.584897939031, 0.00034446031984
0, 9.0, 26, no_regularization, -0.0391617230358, 0.568018166173, 0.0689444904548, -0.0519366092244, 0.536538718412, 0.0967993686981
0, 9.0, 27, no_regularization, -0.0223954299834, 0.532681985522, 0.0420427771016, -0.0287058409795, 0.812968365289, 0.0353099114371
